NOM_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,SOUS_TYPE_CLIENT_PARTENAIRE,CATEGORIE_INSTITUTION,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE,RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,LONGITUDE,LATITUDE
Académie de danse de Baie-Comeau,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,1660,rue de Bretagne,Baie-Comeau,9,Côte-Nord,Québec,Canada,G5C 3S3,-68.260630526726132,49.204232931720583
Académie de danse de Forestville inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,10,10e Rue,Forestville,9,Côte-Nord,Québec,Canada,G0T 1E0,-69.076467770747769,48.742235526695509
Académie de danse de l'Outaouais,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,855,boulevard de la Gappe,Gatineau,7,Outaouais,Québec,Canada,J8T 8H9,-75.682140731984418,45.484855205207325
À la Portée des Sons inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,175,rue Ringuet,Drummondville,17,Centre-du-Québec,Québec,Canada,J2C 2P7,-72.50043059588009,45.877319477349694
Arc-en-Son de Sept-Îles,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / orchestre de jeunes,Musique,Arts de la scène,500,avenue Jolliet,Sept-Îles,9,Côte-Nord,Québec,Canada,G4R 2B4,-66.376552815124143,50.212416442427021
Association des orchestres de jeunes de la Montérégie inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Ensemble musical / orchestre de jeunes,Musique,Arts de la scène,3875,Grande Allée,Longueuil,16,Montérégie,Québec,Canada,J4T 2V8,-73.463371007821777,45.491403669448353
Atelier de musique de Jonquière inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,1910,rue du Centre,Jonquière,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G7S 2X3,-71.185758199746743,48.426577253475564
Atelier de musique Roberval inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Musique,Arts de la scène,243,avenue Ménard,Roberval,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G8H 1P4,-72.228871447327165,48.524647743228243
Ballet classique du Haut-Richelieu inc.,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",École de formation spécialisée (préparatoire ou de loisirs) en arts,Danse,Arts de la scène,240,rue Jean-Talon,Saint-Jean-sur-Richelieu,16,Montérégie,Québec,Canada,J2W 1M5,-73.269916437225007,45.358737158291895
CAMMAC,Organisme de formation / École,Soutenu,Organismes de formation spécialisée,"Organisme de formation en arts privé (école, camp, orchestre de jeunes, maîtrise, concours)",Camp de formation spécialisée en arts,Musique,Arts de la scène,85,chemin Cammac,Harrington,15,Laurentides,Québec,Canada,J8G2T2,-74.580005037694477,45.852931430063734
