TYPE,NOM,WKT
RUI,Saint-Martin,"POLYGON  (( 286157.57670725 5048427.37405195, 286092.41179377 5048374.22007440, 286209.34483215 5048225.94364096, 286157.55892698 5048184.89532697, 286181.28819969 5048171.42399558, 286345.46611920 5047962.30283420, 286279.45668108 5047909.51838014, 286188.76741719 5047834.07281894, 286352.39809513 5047627.50623728, 286389.08225230 5047586.96487638, 286451.39207079 5047532.74552283, 286505.54844273 5047476.06112748, 286652.69917613 5047594.43041467, 286706.36951163 5047636.85328332, 286734.48567259 5047665.32277068, 286735.91009173 5047684.58317970, 286727.59815627 5047748.08382093, 286713.13281643 5047830.38278881, 286690.09288730 5047828.81294421, 286686.91932292 5047897.63650527, 286758.43237046 5047952.58057617, 286800.49778411 5047901.77566986, 286821.01349463 5047870.74749387, 286829.56289902 5047851.21605266, 286851.55263394 5047796.78576200, 286884.98349917 5047819.16762616, 286927.80719553 5047818.14453729, 286955.83627038 5047802.99335005, 286997.72448920 5047803.05483770, 287007.29740120 5047762.93262921, 287060.33070878 5047699.29675783, 286998.50223658 5047646.42691123, 287039.48642572 5047596.77317483, 287398.28019704 5047880.46778101, 287307.40813566 5047994.33455454, 287275.17483881 5048035.95285308, 287153.96085136 5048187.27160989, 287110.95117118 5048241.09430336, 287094.44041423 5048226.75494429, 287071.73944283 5048206.02145869, 287037.80922298 5048181.44103184, 287084.15204123 5048123.72398671, 287126.07760315 5048064.22063269, 287066.70655536 5048014.84151664, 287022.00375617 5048075.51681962, 286964.73432672 5048033.76618407, 286915.18157563 5047989.66501859, 286798.53509806 5048121.30747851, 286766.59818690 5048152.16336479, 286743.60583879 5048164.10738163, 286705.60949400 5048174.50884598, 286634.48407127 5048174.18400681, 286612.10461939 5048167.97541270, 286584.11529568 5048152.91048467, 286545.12286971 5048207.65891801, 286497.15296247 5048263.57506053, 286460.79876042 5048237.76803574, 286442.27287003 5048217.58570327, 286391.41320789 5048279.55798345, 286342.57564344 5048335.51066266, 286274.85596485 5048278.91798887, 286157.57670725 5048427.37405195))"
RUI,Pont-Viau,"POLYGON  (( 290700.68945179 5046875.51672735, 290670.35410785 5046917.66072765, 290688.91184173 5046974.43256935, 290751.21375490 5047009.61935116, 290819.05688220 5047053.36478654, 290892.10132362 5047108.01892312, 290959.27919170 5047169.78577511, 291020.53176487 5047235.66415892, 290954.44644601 5047317.84471077, 290909.67158744 5047384.29680687, 290862.38462749 5047444.69278024, 290833.05960237 5047481.25261495, 290809.61951309 5047511.70161305, 290758.79654453 5047575.67385832, 290709.91847482 5047636.60890541, 290657.15255516 5047703.61794781, 290605.37018638 5047769.60724513, 290555.56528568 5047834.56095343, 290508.66920485 5047894.45924133, 290456.88335158 5047960.44947487, 290410.00667459 5048021.34611325, 290258.08439915 5048222.92069738, 290389.12293195 5048335.92474314, 290421.02027150 5048371.07685049, 290445.65644842 5048398.46437769, 290497.35310016 5048455.83046240, 290549.50047658 5048514.71646382, 290628.42406245 5048597.05209437, 290723.88070165 5048702.14158334, 290661.31277857 5048781.91379983, 290446.52959156 5049065.02845432, 290343.05511420 5049202.00935901, 290281.57086516 5049284.18855250, 290114.44281813 5049494.38558354, 289871.05420193 5049799.04367216, 289758.55694325 5049945.57645616, 289576.22943114 5050181.17864565, 289455.84742016 5050071.19207397, 289379.93419893 5049973.17445211, 288981.84157396 5049318.62803649, 288950.81857870 5049279.35506483, 288864.52983623 5049194.02658551, 288816.98770471 5049158.48595923, 288768.04427285 5049126.72890671, 288800.63315247 5049083.42700652, 288860.70092148 5049016.92031121, 288956.02770565 5048905.73009680, 289046.10771704 5048801.11606575, 289101.97839529 5048736.13782003, 289160.48758182 5048658.92779267, 289193.74172566 5048618.29185048, 289380.55315654 5048390.72087427, 289493.12244262 5048251.76170031, 289588.82205375 5048133.73558175, 289651.36191793 5048054.54098946, 289671.87661047 5048028.14621851, 289695.31588515 5047997.69857299, 289807.35796187 5047853.59503974, 289952.14460258 5047662.78091916, 290101.63047160 5047471.91887342, 290251.16975470 5047284.05960938, 290394.63573421 5047092.31245532, 290560.78390380 5046883.13300788, 290616.43031869 5046814.02134684, 290700.68945179 5046875.51672735))"
