District,Bureau,Candidat1,Vote1,Candidat2,Vote2,Candidat3,Vote3,Candidat4,Vote4,Candidat5,Vote5,Rejetes
2,50,Mamadou Garanké BAH,54,Véronic BOYER,50,Gilles CHAGNON,26,Roch GIVOGUE,6,,0,1
2,51,Mamadou Garanké BAH,26,Véronic BOYER,66,Gilles CHAGNON,37,Roch GIVOGUE,10,,0,1
2,52,Mamadou Garanké BAH,33,Véronic BOYER,45,Gilles CHAGNON,43,Roch GIVOGUE,14,,0,5
2,BVA-02-4,Mamadou Garanké BAH,23,Véronic BOYER,75,Gilles CHAGNON,83,Roch GIVOGUE,4,,0,0
2,BVA-02-5,Mamadou Garanké BAH,22,Véronic BOYER,53,Gilles CHAGNON,58,Roch GIVOGUE,9,,0,2
2,BVA-02-6,Mamadou Garanké BAH,32,Véronic BOYER,69,Gilles CHAGNON,55,Roch GIVOGUE,16,,0,0
3,53,Richard M BÉGIN,44,Mike DUGGAN,60,,0,,0,,0,4
3,54,Richard M BÉGIN,42,Mike DUGGAN,42,,0,,0,,0,2
3,55,Richard M BÉGIN,65,Mike DUGGAN,69,,0,,0,,0,1
3,56,Richard M BÉGIN,79,Mike DUGGAN,49,,0,,0,,0,2
3,57,Richard M BÉGIN,40,Mike DUGGAN,68,,0,,0,,0,4
3,58,Richard M BÉGIN,38,Mike DUGGAN,67,,0,,0,,0,6
3,59,Richard M BÉGIN,73,Mike DUGGAN,90,,0,,0,,0,0
3,60,Richard M BÉGIN,69,Mike DUGGAN,95,,0,,0,,0,0
3,BVA-03-1,Richard M BÉGIN,67,Mike DUGGAN,62,,0,,0,,0,0
3,BVA-03-2,Richard M BÉGIN,28,Mike DUGGAN,39,,0,,0,,0,0
3,BVA-03-3,Richard M BÉGIN,53,Mike DUGGAN,82,,0,,0,,0,1
3,BVA-03-4,Richard M BÉGIN,72,Mike DUGGAN,57,,0,,0,,0,2
3,BVA-03-5,Richard M BÉGIN,109,Mike DUGGAN,79,,0,,0,,0,1
3,BVA-03-6,Richard M BÉGIN,67,Mike DUGGAN,70,,0,,0,,0,2
3,61,Richard M BÉGIN,57,Mike DUGGAN,77,,0,,0,,0,2
3,62,Richard M BÉGIN,59,Mike DUGGAN,89,,0,,0,,0,0
3,63,Richard M BÉGIN,65,Mike DUGGAN,78,,0,,0,,0,4
3,64,Richard M BÉGIN,50,Mike DUGGAN,87,,0,,0,,0,0
3,65,Richard M BÉGIN,68,Mike DUGGAN,69,,0,,0,,0,2
3,66,Richard M BÉGIN,41,Mike DUGGAN,40,,0,,0,,0,47
3,67,Richard M BÉGIN,50,Mike DUGGAN,83,,0,,0,,0,2
3,68,Richard M BÉGIN,49,Mike DUGGAN,54,,0,,0,,0,4
3,69,Richard M BÉGIN,43,Mike DUGGAN,52,,0,,0,,0,7
3,70,Richard M BÉGIN,52,Mike DUGGAN,81,,0,,0,,0,0
3,71,Richard M BÉGIN,68,Mike DUGGAN,76,,0,,0,,0,1
3,72,Richard M BÉGIN,47,Mike DUGGAN,41,,0,,0,,0,0
3,73,Richard M BÉGIN,47,Mike DUGGAN,52,,0,,0,,0,1
3,74,Richard M BÉGIN,66,Mike DUGGAN,67,,0,,0,,0,2
3,75,Richard M BÉGIN,111,Mike DUGGAN,59,,0,,0,,0,1
3,76,Richard M BÉGIN,46,Mike DUGGAN,68,,0,,0,,0,0
3,77,Richard M BÉGIN,66,Mike DUGGAN,93,,0,,0,,0,2
3,78,Richard M BÉGIN,60,Mike DUGGAN,68,,0,,0,,0,0
3,79,Richard M BÉGIN,60,Mike DUGGAN,71,,0,,0,,0,2
3,80,Richard M BÉGIN,61,Mike DUGGAN,48,,0,,0,,0,0
