ï»¿objectid,nom,st_length(shape)
1,Express A,86.825372450684
2,Express A,76.8536704576301
3,Express A,90.4224051583702
4,Express A,83.1435905609873
5,Express A,90.9317110272319
6,Express A,78.3089674765924
7,Express A,80.8606051455721
8,Express A,38.1337057870685
9,Express A,464.264539216695
10,Express A,846.968179817085
11,Express A,3086.01031639233
12,Express A,2603.49556584952
13,Express A,1794.64822606145
14,Express A,230.56015335828
15,Express A,55.0828216548499
16,Express A,51.4039045799322
17,Express A,359.36797583133
18,Express A,114.062609527037
19,Express A,306.322420634567
20,Express A,172.130192393229
21,Express A,65.690888908435
22,Express A,49.4109940783341
23,Express A,227.786987285041
24,Express A,54.901267371167
25,Express A,68.4780621513197
26,Express A,181.719913264605
27,Express A,301.758409929425
28,Express A,482.545113758597
29,Express A,442.973271327941
30,Express A,148.29973435706
31,Express A,440.628303763994
32,Express A,488.617435685087
33,Express A,68.3432773581471
34,Express A,84.6968139313722
35,Express A,149.260253353848
36,Express A,80.0470266841547
37,Express A,80.4709859648805
38,Express A,81.237246429455
39,Express A,70.0542596244511
40,Express A,57.7672802288582
41,Express A,82.8610892376512
42,Express A,82.008441050069
43,Express A,172.229373191131
44,Express A,155.085801130503
45,Express A,122.639245908008
46,Express A,213.184810906463
48,Express A,175.131253900392
50,Express A,27.9643482162432
51,Express A,246.158832795971
52,Express A,215.75489635605
53,Express A,171.41862768691
54,Express A,142.092420041026
55,Express A,63.1709886926454
56,Express A,39.8804640607407
57,Express A,73.9817632587873
58,Express A,358.09644771793
59,Express A,5268.11955367453
60,Express A,1363.88983542795
61,Express A,67.1280167873296
62,Express A,67.1272478676878
63,Express A,67.0379719579881
64,Express A,1340.77435539231
65,Express A,222.380429783819
66,Express A,624.703001502862
67,Express A,1373.2128261131
68,Express A,2189.77086874561
69,Express A,81.1700822547939
70,Express A,93.3516443112279
71,Express A,83.0992813573018
72,Express A,76.4824240814842
73,Express A,84.5865551787044
74,Express A,80.8582744807234
75,Express A,84.9290534884853
76,Express A,37.7300568091277
77,Express A,42.3195117756573
78,Express A,133.462980115536
79,Express A,115.348398602538
80,Express A,84.9376033815412
81,Express A,149.18616994648
82,Express A,171.705056824108
83,Express A,180.345634699263
84,Express A,42.4039760108648
85,Express A,75.8037414981609
86,Express A,115.433626948866
87,Express A,181.087712891212
88,Express A,96.5789306435415
89,Express A,92.8708821425209
90,Express A,155.22321537557
91,Express A,1290.20256436333
92,Express A,882.395753116149
93,Express B,2681.44024994327
94,Express B,2205.28732930236
95,Express B,1340.77435539231
96,Express B,222.945842637434
97,Express B,619.841648642771
98,Express B,1373.2128261131
99,Express B,44.1024760709283
100,Express B,90.7871683403002
101,Express B,78.9406282093245
102,Express B,133.462980115536
103,Express B,115.348398602538
104,Express B,38.4744651800386
105,Express B,211.223480168372
106,Express B,2335.25491671334
107,Express B,1794.64822606145
108,Express B,359.36797583133
109,Express B,181.719913264605
112,Express B,442.973271327941
115,Express B,488.617435685087
116,Express B,68.3432773581471
117,Express B,84.6968139313722
119,Express B,80.0470266841547
120,Express B,80.4709859648805
121,Express B,81.237246429455
122,Express B,70.0542596244511
123,Express B,57.7672802288582
124,Express B,82.8610892376512
125,Express B,82.008441050069
126,Express B,172.229373191131
127,Express B,155.085801130503
128,Express B,122.639245908008
129,Express B,213.184810906463
131,Express B,168.983810592633
133,Express B,27.9643482162432
134,Express B,272.428027237193
135,Express B,36.8747595659958
136,Express B,215.75489635605
137,Express B,171.41862768691
139,Express B,358.09644771793
140,Express B,64.3354920095438
141,Express B,227.000672175324
142,Express B,76.6467382289031
143,Express B,107.725045084913
144,Express B,33.3659540917303
145,Express B,67.5090947630963
146,Express B,91.3599267493686
147,Express B,265.896034577627
148,Express B,178.004566236203
149,Express B,117.673094774413
150,Express B,139.219317287817
151,Express B,32.0913819417301
152,Express B,104.925722530036
153,Express B,128.452233407831
154,Express B,105.003995099044
155,Express B,232.396159176061
156,Express B,284.111910255605
157,Express B,84.5865551787044
158,Express B,81.1686147670061
159,Express B,118.269937875414
160,Express B,91.9068063201524
161,Express B,79.0024130234008
162,Express B,45.0447908765595
163,Express B,86.8678805484362
164,Express B,86.1619362002879
165,Express B,84.9290534884853
166,Express B,37.7300568091277
167,Express B,42.3195117756573
168,Express B,90.8976651074256
169,Express B,5734.73850806847
170,Express B,1752.25357976915
171,Express B,84.9376033815412
172,Express B,149.18616994648
173,Express B,171.705056824108
174,Express B,180.345634699263
175,Express B,42.4039760108648
176,Express B,75.8037414981609
177,Express B,115.433626948866
178,Express B,181.087712891212
179,Express B,96.5789306435415
180,Express B,92.8708821425209
181,Express B,155.22321537557
182,Express B,832.676934950079
184,Express B,84.151590809143
186,Express B,1289.05718458069
187,Express A,20.9659572492779
189,Express B,20.9659572492779
