"Probl̬me","Date r̩alis̩e","secteur","District","Coordonn̩e x","Coordonn̩e y","Emplacement pour tri"
"EGREGARD","2018-07-15","01","03","290404,09999999998","5050486,7000000002","DU;Louiseville;Rue;1755"
"EGPUISARD","2018-03-22","01","03","290395,90000000002","5050375,5999999996","DU;Charette;Rue;1685"
"EGREGARD","2018-03-13","01","03","290845,70000000001","5049922,0999999996","DU;Port-Royal;Rue;1290"
"EGPUISARD","2018-03-22","01","03","291214,70000000001","5049881,9000000004","DU;L'Assomption;Rue;1115"
"EGREGARD","2018-03-22","01","04","291326","5049362,0999999996","DU;Auriol;Rue;755"
"EGPUISARD","2018-03-22","01","04","291765,59999999998","5049277","DU;Forges;Rue;370"
"EGREGARD","2018-03-22","01","04","291816,59999999998","5049554,5999999996","DU;Jeanne-Le Ber;Rue;665"
"EGPUISARD","2018-04-03","01","04","291860,5","5049367,9000000004","DU;Charles-Garnier;Rue;2660"
"EGPUISARD","2018-04-05","01","02","292446,59999999998","5050700,5","VP;Provencher;Avenue;650"
"EGPUISARD","2018-04-03","01","","292612,90000000002","5052204","VP;Fabrique;Rue"
"EGPUISARD","2018-05-10","01","02","293316,59999999998","5051747,0999999996","VP;Boissy;Rue;4628"
"EGPUISARD","2018-05-13","01","02","293138,09999999998","5052260,4000000004","VP;Champagnat;Avenue;1016"
"EGPUISARD","2018-11-07","04","18","279192,20000000001","5047429,5999999996","FA;Odile;Rue;363"
"EGPUISARD","2018-11-07","04","17","275406,09999999998","5043949,5","LO;1re;Avenue;7811"
"EGPUISARD","2018-11-07","04","18","276459,20000000001","5046873,2999999998","FA;9e;Avenue;1063"
"EGPONCEAU","2018-11-07","04","17","278564,70000000001","5042470,5999999996","DO;Lynne;Rue;973"
"EGPUISARD","2018-03-07","05","19","279461,20000000001","5048178,2000000002","FA;Nicole;Rue;3900"
"EGPUISARD","2018-11-07","04","17","277047,5","5041929,2000000002","IL;Tour;Chemin;263"
"EGCONDUITEMAITR","2018-01-05","04","16","282879,09999999998","5042874,5","CH;Chomedey (A-13);Desserte ouest;510"
"EGPUISARD","2018-04-03","01","03","291327,20000000001","5052048,2999999998","VP;Charron;Rue;3571"
"EGPUISARD","2018-11-07","04","16","282111,29999999999","5044052,5999999996","CH;Chomedey (A-13);Desserte ouest;2400"
"EGPONCEAU","2018-11-07","04","18","276800","5045740,7000000002","FA;Dagenais Ouest;Boulevard;4850"
"EGPUISARD","2018-02-27","05","","280124,59999999998","5047315","FA;Jacques;Rue"
