ï»¿Poste_budgetaire,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026,2026-2027
Revenus autonomes,105 914 000 000,109 691 000 000,112 774 000 000,117 042 000 000,121 085 000 000,125 151 000 000
Transferts fÃ©dÃ©raux,29 547 000 000,28 790 000 000,29 748 000 000,29 118 000 000,30 968 000 000,31 434 000 000
Total des revenus,135 461 000 000,138 481 000 000,142 522 000 000,146 160 000 000,152 053 000 000,156 585 000 000
DÃ©penses de portefeuilles,-121 874 000 000,-127 789 000 000,-131 800 000 000,-135 219 000 000,-140 343 000 000,-144 053 000 000
Service de la dette,-8 441 000 000,-8 842 000 000,-8 725 000 000,-8 793 000 000,-8 588 000 000,-8 828 000 000
Total des dÃ©penses,-130 315 000 000,-136 631 000 000,-140 525 000 000,-144 012 000 000,-148 931 000 000,-152 881 000 000
Mesures de soutien et de relance COVID-19,-9 043 000 000,-2 355 000 000,-462 000 000,-18 000 000,0,0
Provisions pour risques Ã©conomiques et autres mesures de soutien et de relance,0,-2 500 000 000,-1 500 000 000,-1 500 000 000,-1 500 000 000,-1 500 000 000
Sous-total â Surplus (DÃ©ficit),-3 897 000 000,-3 005 000 000,35 000 000,630 000 000,1 622 000 000,2 204 000 000
Versements des revenus consacrÃ©s au Fonds des gÃ©nÃ©rations,-3 457 000 000,-3 445 000 000,-3 935 000 000,-4 380 000 000,-4 622 000 000,-4 954 000 000
Solde budgÃ©taire avant utilisation de la rÃ©serve de stabilisation ,-7 354 000 000,-6 450 000 000,-3 900 000 000,-3 750 000 000,-3 000 000 000,-2 740 000 000
Utilisation de la rÃ©serve de stabilisation,1 221 000 000,0,0,0,0,0
Total â Solde budgÃ©taire,-6 133 000 000,-6 450 000 000,-3 900 000 000,-3 750 000 000,-3 000 000 000,-2 750 000 000
