numero_station,nom station,polluant,date,concentration ug/m3,statut
3,Saint-Jean-Baptiste,2_Methyl_4_Pentanone (MIBK),2022-01-05,0,N/A
3,Saint-Jean-Baptiste,25_MeBenzaldehyde,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,Acetaldehyde,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,Acetone,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,Acroleine,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,Benzaldehyde,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,Butanone,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,Butyraldehyde,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,Crotonaldehyde,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,Formaldehyde,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,Hexanaldehyde,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,Isovaleraldehyde,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,m_Tolualdehyde,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,o_Tolualdehyde,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,p_Tolualdehyde,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,Propionaldehyde,2022-01-05,0,N/A
3,Saint-Jean-Baptiste,Valeraldehyde,2022-01-05,0,N/A
31,Saint-Dominique,2_Methyl_4_Pentanone (MIBK),2022-01-05,0,N/A
31,Saint-Dominique,25_MeBenzaldehyde,2022-01-05,0,N/A
31,Saint-Dominique,Acetaldehyde,2022-01-05,0,N/A
31,Saint-Dominique,Acetone,2022-01-05,0,N/A
31,Saint-Dominique,Acroleine,2022-01-05,0,N/A
31,Saint-Dominique,Benzaldehyde,2022-01-05,0,N/A
31,Saint-Dominique,Butanone,2022-01-05,0,N/A
31,Saint-Dominique,Butyraldehyde,2022-01-05,0,N/A
31,Saint-Dominique,Crotonaldehyde,2022-01-05,0,N/A
31,Saint-Dominique,Formaldehyde,2022-01-05,0,N/A
31,Saint-Dominique,Hexanaldehyde,2022-01-05,0,N/A
31,Saint-Dominique,Isovaleraldehyde,2022-01-05,0,N/A
31,Saint-Dominique,m_Tolualdehyde,2022-01-05,0,N/A
31,Saint-Dominique,o_Tolualdehyde,2022-01-05,0,N/A
