numero_station,nom station,polluant,date,concentration ug/m3,statut
3,Saint-Jean-Baptiste,Formaldéhyde ,2011-01-03,0.6,mesure
3,Saint-Jean-Baptiste,Acétaldéhyde ,2011-01-03,0.7,mesure
3,Saint-Jean-Baptiste,Acroléine ,2011-01-03,0,mesure
3,Saint-Jean-Baptiste,Acétone,2011-01-03,1.3,mesure
3,Saint-Jean-Baptiste,Propionaldéhyde,2011-01-03,,<LDR
3,Saint-Jean-Baptiste,Crotonaldéhyde,2011-01-03,,<LDR
3,Saint-Jean-Baptiste,Butanone,2011-01-03,0.2,mesure
3,Saint-Jean-Baptiste,Butyraldéhyde,2011-01-03,0.1,mesure
3,Saint-Jean-Baptiste,Benzaldéhyde,2011-01-03,,<LDR
3,Saint-Jean-Baptiste,Isovaléraldéhyde,2011-01-03,,<LDR
3,Saint-Jean-Baptiste,Valéraldéhyde,2011-01-03,0,mesure
3,Saint-Jean-Baptiste,o-Tolualdéhyde,2011-01-03,,<LDR
3,Saint-Jean-Baptiste,m-Tolualdéhyde,2011-01-03,,<LDR
3,Saint-Jean-Baptiste,p-Tolualdéhyde,2011-01-03,,<LDR
3,Saint-Jean-Baptiste,Méthyl Isobutyl cétone(MIBK) ,2011-01-03,0.1,mesure
3,Saint-Jean-Baptiste,Hexanaldéhyde,2011-01-03,,<LDR
3,Saint-Jean-Baptiste,2.5-Diméthylbenzaldéhyde,2011-01-03,,<LDR
55,Rivière-des-Prairies,Formaldéhyde ,2011-01-03,0.8,mesure
55,Rivière-des-Prairies,Acétaldéhyde ,2011-01-03,0.6,mesure
55,Rivière-des-Prairies,Acroléine ,2011-01-03,0,mesure
55,Rivière-des-Prairies,Acétone,2011-01-03,1.3,mesure
55,Rivière-des-Prairies,Propionaldéhyde,2011-01-03,,<LDR
55,Rivière-des-Prairies,Crotonaldéhyde,2011-01-03,,<LDR
55,Rivière-des-Prairies,Butanone,2011-01-03,0.2,mesure
55,Rivière-des-Prairies,Butyraldéhyde,2011-01-03,0.1,mesure
55,Rivière-des-Prairies,Benzaldéhyde,2011-01-03,,<LDR
55,Rivière-des-Prairies,Isovaléraldéhyde,2011-01-03,,<LDR
55,Rivière-des-Prairies,Valéraldéhyde,2011-01-03,0,mesure
55,Rivière-des-Prairies,o-Tolualdéhyde,2011-01-03,,<LDR
55,Rivière-des-Prairies,m-Tolualdéhyde,2011-01-03,,<LDR
55,Rivière-des-Prairies,p-Tolualdéhyde,2011-01-03,,<LDR
55,Rivière-des-Prairies,Méthyl Isobutyl cétone(MIBK) ,2011-01-03,0.1,mesure
55,Rivière-des-Prairies,Hexanaldéhyde,2011-01-03,0.1,mesure
55,Rivière-des-Prairies,2.5-Diméthylbenzaldéhyde,2011-01-03,,<LDR
61,Maisonneuve Ouest,Formaldéhyde ,2011-01-03,0.8,mesure
61,Maisonneuve Ouest,Acétaldéhyde ,2011-01-03,0.6,mesure
61,Maisonneuve Ouest,Acroléine ,2011-01-03,0,mesure
61,Maisonneuve Ouest,Acétone,2011-01-03,1.5,mesure
61,Maisonneuve Ouest,Propionaldéhyde,2011-01-03,,<LDR
61,Maisonneuve Ouest,Crotonaldéhyde,2011-01-03,,<LDR
61,Maisonneuve Ouest,Butanone,2011-01-03,0.2,mesure
61,Maisonneuve Ouest,Butyraldéhyde,2011-01-03,0.1,mesure
61,Maisonneuve Ouest,Benzaldéhyde,2011-01-03,,<LDR
61,Maisonneuve Ouest,Isovaléraldéhyde,2011-01-03,,<LDR
61,Maisonneuve Ouest,Valéraldéhyde,2011-01-03,0,mesure
61,Maisonneuve Ouest,o-Tolualdéhyde,2011-01-03,,<LDR
61,Maisonneuve Ouest,m-Tolualdéhyde,2011-01-03,0,mesure
