Donnee,Annee,Resolution_m,Etendu,Saison,Format,Satellite,Taille_Mo,URL_Mosaique
Mosaique_2023_Sentinel_Meridional_Hiver_NIR,2023,10,Meridional ,Ete,ECW,Sentinel,874,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2023/Mosaique_2023_Sentinel_Meridional_Hiver_NIR.zip
Mosaique_2023_Sentinel_Meridional_Ete_RGB,2023,10,Meridional ,Ete,ECW,Sentinel,664,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2023/Mosaique_2023_Sentinel_Meridional_Ete_RGB.zip
Mosaique_2023_Sentinel_Provincial_Ete_NIR,2023,10,Provincial,Ete,ECW,Sentinel,1320,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2023/Mosaique_2023_Sentinel_Provincial_Ete_NIR.zip
Mosaique_2022_Sentinel_Provincial_Hiver_NIR,2022,10,Provincial,Hiver,ECW,Sentinel,1130,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2022/Mosaique_2022_Sentinel_Provincial_Hiver_NIR.zip
Mosaique_2022_Sentinel_Meridional_Ete_RGB,2022,10,Meridional ,Ete,ECW,Sentinel,587,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2022/Mosaique_2022_Sentinel_Meridional_Ete_RGB.zip
Mosaique_2022_Sentinel_Provincial_Ete_NIR,2022,10,Provincial,Ete,ECW,Sentinel,1080,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2022/Mosaique_2022_Sentinel_Provincial_Ete_NIR.zip
Mosaique_2021_Sentinel_Meridional_Ete,2021,10,Meridional ,Ete,ECW,Sentinel,677,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2021/Mosaique_2021_Sentinel_Meridional_Ete.zip
Mosaique_2021_Sentinel_Meridional_Hiver,2021,10,Meridional ,Hiver,ECW,Sentinel,793,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2021/Mosaique_2021_Sentinel_Meridional_Hiver.zip
Mosaique_2021_Landsat_Provincial,2021,30,Meridional ,Hiver,GeoTIFF,Landsat,5120,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2021/Mosaique_2021_Landsat_Provincial.zip
Mosaique_2020_Sentinel_Meridional,2020,10,Meridional ,Ete,JPEG,Sentinel,2010,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Mosaiques_Satellites/Mosaique_2020/Mosaique_2020_Sentinel_Meridional.zip
