titre,url_fiche,description,date_debut,date_fin,type_evenement,public_cible,emplacement,inscription,cout,arrondissement,titre_adresse,adresse_principale,adresse_secondaire,code_postal,lat,long,X,Y
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71468","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-01","2024-08-01","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.596508720344,-73.599250848475,297056.8,5050738.6
"Club de lecture d'été TD à la bibliothèque du Haut-Anjou","https://montreal.ca/evenements/club-de-lecture-dete-td-la-bibliotheque-du-haut-anjou-71473","Annonce du programme du Club de lecture d'été TD pour l'été 2024 à la bibliothèque Jean-Corbeil.","2024-06-15","2024-08-17","Littérature","Enfants","En salle","Sur inscription","Gratuit","Anjou","nan","nan","nan","nan",45.601156,-73.575707,298894.1,5051253.1
"Partons à la découverte de l'espace avec Tinkercad !","https://montreal.ca/evenements/partons-la-decouverte-de-lespace-avec-tinkercad-71525","Atelier de modélisation 3D avec Tinkercad pour les 7-14 ans à la bibliothèque interculturelle.","2024-07-30","2024-07-30","Atelier et cours","Enfants","En salle","Sur inscription","Gratuit","Côte-des-Neiges–Notre-Dame-de-Grâce","nan","nan","nan","nan",45.503324,-73.636934,294099.2,5040387.2
"Partons à la découverte de l'espace avec Tinkercad !","https://montreal.ca/evenements/partons-la-decouverte-de-lespace-avec-tinkercad-71527","Atelier de modélisation 3D avec Tinkercad pour les 7-14 ans à la bibliothèque interculturelle.","2024-08-06","2024-08-06","Atelier et cours","Enfants","En salle","Sur inscription","Gratuit","Côte-des-Neiges–Notre-Dame-de-Grâce","nan","nan","nan","nan",45.503324,-73.636934,294099.2,5040387.2
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71535","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-30","2024-07-30","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",,,"",""
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71538","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-23","2024-07-23","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.465927994869,-73.574823897586,298949,5036225
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71539","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-06","2024-08-06","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.465927994869,-73.574823897586,298949,5036225
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71543","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-23","2024-07-23","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.471574,-73.569283,299382.8,5036852
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71544","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-06","2024-08-06","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.471574,-73.569283,299382.8,5036852
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71547","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-24","2024-07-24","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",,,"",""
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71548","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-07","2024-08-07","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",,,"",""
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71553","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-24","2024-07-24","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.517751,-73.561758,299975.1,5041983.2
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71554","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-07","2024-08-07","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.517751,-73.561758,299975.1,5041983.2
"Contes dans le parc","https://montreal.ca/evenements/contes-dans-le-parc-71557","Contes dans le parc pour les enfants de 6-12 ans et leurs parents, activité gratuite à la Bibliothèque Interculturelle","2024-07-27","2024-07-27","Heure du conte","Famille","En salle","Sur inscription","Gratuit","Côte-des-Neiges–Notre-Dame-de-Grâce","nan","nan","nan","nan",45.503324,-73.636934,294099.2,5040387.2
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71559","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-25","2024-07-25","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.529574,-73.551393,300785.7,5043296.5
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71560","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-08","2024-08-08","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.529574,-73.551393,300785.7,5043296.5
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71563","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-25","2024-07-25","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.492965714366,-73.567109691006,299554.7,5039229.1
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71564","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-08","2024-08-08","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.492965714366,-73.567109691006,299554.7,5039229.1
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71568","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-22","2024-07-22","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.568498642788,-73.635534412243,294220.8,5047629.9
