titre,url_fiche,description,date_debut,date_fin,type_evenement,public_cible,emplacement,inscription,cout,arrondissement,titre_adresse,adresse_principale,adresse_secondaire,code_postal,lat,long,X,Y
"Consultation citoyenne sur la future place publique au cœur de Tétreaultville","https://montreal.ca/evenements/consultation-citoyenne-sur-la-future-place-publique-au-coeur-de-tetreaultville-57375","MHM mène une consultation citoyenne en vue de l'aménagement, en 2025, d'une place publique au cœur de Tétreaultville.","2023-10-04","2023-10-04","Consultation publique","Pour tous","À l'extérieur","Entrée libre","Gratuit","Mercier–Hochelaga-Maisonneuve","Espace vacant situé à l'angle des rues Des Ormeaux et Hochelaga","2350, rue Des Ormeaux","None","H1L4X3",45.60130614867117,-73.51969709737479,303263.4,5051267.1
"Budget participatif : atelier de participation à CDN","https://montreal.ca/evenements/budget-participatif-atelier-de-participation-cdn-56818","Participez à la dernière consultation citoyenne à CDN pour le budget participatif de Côte-des-Neiges-Notre-Dame-de-Grâce","2023-09-23","2023-09-23","Consultation publique","Pour tous","À l'extérieur","Entrée libre","Gratuit","Côte-des-Neiges–Notre-Dame-de-Grâce","Promenade Jean-Brillant","Devant le Marché Jean-Brillant","None","H3T1Y4",45.49616509266863,-73.62165573121717,295291.9,5039589.7
"Budget participatif du Plateau : activité de vote","https://montreal.ca/evenements/budget-participatif-du-plateau-activite-de-vote-58886","Activité de vote pour le budget participatif du Plateau-Mont-Royal","2023-11-09","2023-11-09","Consultation publique","Pour tous","À l'extérieur","Entrée libre","Gratuit","Le Plateau-Mont-Royal","Place du Côteau-Saint-Louis","Marché Fermier Laurier","None","H2J1E8",45.528197145046356,-73.58852424659833,297885.3,5043146
"Soirée citoyenne sur la piétonnisation de la Plaza Saint-Hubert","https://montreal.ca/evenements/soiree-citoyenne-sur-la-pietonnisation-de-la-plaza-saint-hubert-59380","Découvrez le projet de piétonnisation de la Plaza Saint-Hubert pour l’été 2024 et participez à sa planification à travers des ateliers et des échanges d’idées.","2023-11-27","2023-11-27","Consultation publique","Pour tous","En salle","Entrée libre","Gratuit","Rosemont–La Petite-Patrie","Ausgang Plaza","6524, rue Saint-Hubert","None","H2S2M3",45.536303,-73.603848,296689.5,5044048.3
"Accordéon de rue, accordéon de parc - Marie-Andrée Joly","https://montreal.ca/evenements/accordeon-de-rue-accordeon-de-parc-marie-andree-joly-68050","Accordéon de rue, accordéon de parc - Marie-Andrée Joly présenté sur Le Plateau dans le cadre du programme de soutien aux actions culturelles","2024-07-28","2024-07-28","Musique","Pour tous","À l'extérieur","Entrée libre","Gratuit","Le Plateau-Mont-Royal","Ruelle verte","Jeanne-Mance / Sainte-Famille / Milton / Prince-Arthur","None","H2X2K2",45.511356709851654,-73.57470311967532,298963.1,5041273.5
"Séance d'information : programme participatif de déminéralisation et de verdissement Bye Bye Béton !","https://montreal.ca/evenements/seance-dinformation-programme-participatif-de-demineralisation-et-de-verdissement-bye-bye-beton-62441","Bye Bye béton ! Programme de déminéralisation participative de VSP. Participez à une séance d'information : 16 janvier (présentiel) ou le 18 janvier (en ligne).","2024-01-18","2024-01-18","Séance d'information","Pour tous","En ligne","Sur inscription","Gratuit","Villeray–Saint-Michel–Parc-Extension","nan","nan","nan","nan",,,"",""
"Construire un NDG nourricier","https://montreal.ca/evenements/construire-un-ndg-nourricier-66048","Plan de communauté nourricière de l'arrondissement CDN-NDG. Inscrivez-vous au forum du 13 mars 2024.","2024-03-13","2024-03-13","Consultation publique","Pour tous","En salle","Sur inscription","Gratuit","Côte-des-Neiges–Notre-Dame-de-Grâce","Centre communautaire Saint-Raymond","5600, chemin Upper-Lachine","None","H4A2A7",45.469598,-73.608234,296336.9,5036635.8
"Distribution de compost à Saint-Léonard","https://montreal.ca/evenements/distribution-de-compost-saint-leonard-66225","Distribution de compost gratuitement à Saint-Léonard, le samedi octobre 2024","2024-10-12","2024-10-12","Distribution","Pour tous","À l'extérieur","Entrée libre","Gratuit","Saint-Léonard","Dépôt à neige Langelier","9430, Boul. Langelier","None","H1P3H8",45.60602657435868,-73.60563106928362,296560.4,5051797
"Soirée d'information et d'échanges sur le Plan directeur de biodiversité de MHM","https://montreal.ca/evenements/soiree-dinformation-et-dechanges-sur-le-plan-directeur-de-biodiversite-de-mhm-68640","Mercier–Hochelaga-Maisonneuve est vulnérable face aux canicules et grandes pluies. Le Plan directeur de biodiversité en élaboration améliorera sa résilience.","2024-05-21","2024-05-21","Séance d'information","Pour tous","En salle","Entrée libre","Gratuit","Mercier–Hochelaga-Maisonneuve","CRC Saint-Donat","6547, rue de Marseille","None","H1N1M1",45.58144,-73.541185,301586,5049060
"Séance d'information sur le réaménagement de la rue Saint-Paul Ouest","https://montreal.ca/evenements/seance-dinformation-sur-le-reamenagement-de-la-rue-saint-paul-ouest-62399","Participez à la séance d'information sur le réaménagement de la rue Saint-Paul Ouest pour en savoir plus sur les travaux à venir au printemps 2024.","2024-02-28","2024-02-28","Séance d'information","Pour tous","En ligne","Sur inscription","Gratuit","Ville de Montréal","nan","nan","nan","nan",,,"",""
"Pipa - La Puntual","https://montreal.ca/evenements/pipa-la-puntual-69498","Outremont et Casteliers présentent le spectacle gratuit PIPA le 11 août à 15h sur le parvis de l'église Saint-Viateur d’Outremont.","2024-08-11","2024-08-11","Théâtre","Famille","À l'extérieur","Entrée libre","Gratuit","Outremont","Parvis de l'église Saint-Viateur d’Outremont","1175 avenue Laurier O","None","H2V3R5",45.516815121215615,-73.59868909658375,297089.7,5041882.1
"Corridor Henri-Bourassa : séance d'information","https://montreal.ca/evenements/corridor-henri-bourassa-seance-dinformation-68746","Assistez à la séance d'information pour connaître tous les travaux d’aménagement du corridor de mobilité durable Henri-Bourassa dans Ahuntsic-Cartierville.","2024-05-28","2024-05-28","Séance d'information","Pour tous","En ligne","Sur inscription","Gratuit","Ville de Montréal","nan","nan","nan","nan",,,"",""
"Séance d'information : Zone à priorité piétonne du Vieux-Montréal","https://montreal.ca/evenements/seance-dinformation-zone-priorite-pietonne-du-vieux-montreal-71002","Participez à la séance d'information sur l’implantation graduelle de la Zone à priorité piétonne du Vieux-Montréal.","2024-06-18","2024-06-18","Séance d'information","Pour tous","En ligne","Sur inscription","Gratuit","Ville de Montréal","nan","nan","nan","nan",,,"",""
"Livre-o-thon","https://montreal.ca/evenements/livre-o-thon-71678","Venez lire en compagnie de la bibliothécaire à la bibliothèque Saint-Henri.","2024-07-19","2024-07-19","Club","Enfants","En salle","Entrée libre","Gratuit","Le Sud-Ouest","nan","nan","nan","nan",45.472526,-73.589737,297783.6,5036959.4
"Livre-o-thon","https://montreal.ca/evenements/livre-o-thon-71679","Venez lire en compagnie de la bibliothécaire à la bibliothèque Saint-Henri.","2024-07-26","2024-07-26","Club","Enfants","En salle","Entrée libre","Gratuit","Le Sud-Ouest","nan","nan","nan","nan",45.472526,-73.589737,297783.6,5036959.4
"Livre-o-thon","https://montreal.ca/evenements/livre-o-thon-71680","Venez lire en compagnie de la bibliothécaire à la bibliothèque Saint-Henri.","2024-08-02","2024-08-02","Club","Enfants","En salle","Entrée libre","Gratuit","Le Sud-Ouest","nan","nan","nan","nan",45.472526,-73.589737,297783.6,5036959.4
"Livre-o-thon","https://montreal.ca/evenements/livre-o-thon-71681","Venez lire en compagnie de la bibliothécaire à la bibliothèque Saint-Henri.","2024-08-09","2024-08-09","Club","Enfants","En salle","Entrée libre","Gratuit","Le Sud-Ouest","nan","nan","nan","nan",45.472526,-73.589737,297783.6,5036959.4
"Livre-o-thon","https://montreal.ca/evenements/livre-o-thon-71682","Venez lire en compagnie de la bibliothécaire à la bibliothèque Saint-Henri.","2024-08-16","2024-08-16","Club","Enfants","En salle","Entrée libre","Gratuit","Le Sud-Ouest","nan","nan","nan","nan",45.472526,-73.589737,297783.6,5036959.4
"Pipa - La Puntual","https://montreal.ca/evenements/pipa-la-puntual-68249","Spectacle pipa la puntual les casteliers Nestor Navarro parc François-Perrault 10h30 marionnettes programme hors les murs enfants camps de jours Saint-Michel","2024-08-07","2024-08-07","Théâtre","Famille","À l'extérieur","Entrée libre","Gratuit","Villeray–Saint-Michel–Parc-Extension","nan","nan","nan","nan",45.562329,-73.600682,296940.4,5046940.3
"Danse latine","https://montreal.ca/evenements/danse-latine-71980","Cours gratuits de danse latine au parc des Faubourgs.","2024-07-19","2024-07-19","Atelier et cours","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.52669,-73.55629,300403,5042976.3
"Danse latine","https://montreal.ca/evenements/danse-latine-71981","Cours gratuits de danse latine au parc des Faubourgs.","2024-07-26","2024-07-26","Atelier et cours","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.52669,-73.55629,300403,5042976.3
"Pipa - La Puntual","https://montreal.ca/evenements/pipa-la-puntual-69497","Outremont et Casteliers présentent le spectacle gratuit PIPA le 11 août à 10h au Parc Outremont à l'angle des avenues Bloomfield et Saint-Viateur.","2024-08-11","2024-08-11","Théâtre","Famille","À l'extérieur","Entrée libre","Gratuit","Outremont","nan","nan","nan","nan",45.518616881505,-73.604896784849,296605,5042082.9
"Séance d'information - Présentation des orientations du Plan local de déplacement (2)","https://montreal.ca/evenements/seance-dinformation-presentation-des-orientations-du-plan-local-de-deplacement-2-56475","Séance d'information portant sur les grandes orientations du Plan local de déplacement de Côte-des-Neiges–Notre-Dame-de-Grâce.","2023-09-27","2023-09-27","Séance d'information","Pour tous","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.483864,-73.630852,294571,5038223.8
"Règlement modifiant le Plan d'urbanisme de la Ville de Montréal","https://montreal.ca/evenements/reglement-modifiant-le-plan-durbanisme-de-la-ville-de-montreal-57531","Le 3 octobre, à la mairie d’Anjou, aura lieu une assemblée publique de consultation visant à adopter un Règlement modifiant le Plan d'urbanisme de la Ville.","2023-10-03","2023-10-03","Consultation publique","Pour tous","En salle","Entrée libre","Gratuit","Anjou","nan","nan","nan","nan",45.601764,-73.557715,300297.7,5051319.5
"Demande de démolition - 5425, rue de Mentana (cour de services du Plateau-Mont-Royal)","https://montreal.ca/evenements/demande-de-demolition-5425-rue-de-mentana-cour-de-services-du-plateau-mont-royal-56129","Le comité d’étude des demandes de permis de démolition tiendra une séance afin de statuer sur les demandes concernant l’immeuble situé au 5425, rue de Mentana.","2023-09-12","2023-09-12","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Assemblée publique - 3804, rue Saint-Denis","https://montreal.ca/evenements/assemblee-publique-3804-rue-saint-denis-56807","Une assemblée publique sur le PPCMOI du 3804, rue Saint-Denis, dans Le Plateau-Mont-Royal, aura lieu le 26 septembre 2023, à 18 h.","2023-09-26","2023-09-26","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Demandes de démolition - 4333-4349, avenue Papineau et 55, rue Saint-Viateur Ouest","https://montreal.ca/evenements/demandes-de-demolition-4333-4349-avenue-papineau-et-55-rue-saint-viateur-ouest-58251","Le comité de démolition tiendra une séance sur les immeubles situés au 4333-4349, avenue Papineau et au 55, rue Saint-Viateur Ouest.","2023-10-24","2023-10-24","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Assemblée publique -  4531, avenue de l'Hôtel-de-Ville","https://montreal.ca/evenements/assemblee-publique-4531-avenue-de-lhotel-de-ville-59198","Une assemblée publique sur le PPCMOI du 4531, avenue de l'Hôtel-de-Ville, dans Le Plateau-Mont-Royal, aura lieu le 22 novembre, à18 h.","2023-11-22","2023-11-22","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Assemblée publique - projet de règlement 01-277-96","https://montreal.ca/evenements/assemblee-publique-projet-de-reglement-01-277-96-63133","Une assemblée publique sur le projet de règlement 01-277-96 de l'arrondissement du Plateau-Mont-Royal, aura lieu le 16 janvier 2024, à 18 h.","2024-01-16","2024-01-16","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Assemblée publique - 3650-3676, rue Saint-Urbain","https://montreal.ca/evenements/assemblee-publique-3650-3676-rue-saint-urbain-63141","Une assemblée publique sur le PPCMOI du 3650-3676, rue Saint-Urbain, dans Le Plateau-Mont-Royal, aura lieu le 16 janvier 2024, à 18 h.","2024-01-16","2024-01-16","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Assemblée publique - 50, avenue du Mont-Royal Ouest","https://montreal.ca/evenements/assemblee-publique-50-avenue-du-mont-royal-ouest-65430","Une assemblée publique sur le PPCMOI du 50, avenue du Mont-Royal Ouest, dans Le Plateau-Mont-Royal, aura lieu le 13 février 2024, à 18 h.","2024-02-13","2024-02-13","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Séance d’information sur le réaménagement de la rue Boucher","https://montreal.ca/evenements/seance-dinformation-sur-le-reamenagement-de-la-rue-boucher-66163","L’arrondissement du Plateau-Mont-Royal invite la population à une séance d’information sur le réaménagement de la rue Boucher.","2024-03-13","2024-03-13","Séance d'information","Pour tous","En salle","Sur inscription","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Collecte d'idées pour le budget participatif de Montréal","https://montreal.ca/evenements/collecte-didees-pour-le-budget-participatif-de-montreal-66210","La Maison de l'environnement de Verdun invite les citoyen(ne)s à venir soumettre leurs idées pour le budget participatif de Montréal.","2024-03-18","2024-03-18","Consultation publique","Pour tous","En salle","Sur inscription","Gratuit","Verdun","nan","nan","nan","nan",45.458965,-73.573331,299065,5035451.1
"Demande de démolition - 4221, avenue De Lorimier","https://montreal.ca/evenements/demande-de-demolition-4221-avenue-de-lorimier-66530","Le comité de démolition tiendra une séance sur l'immeuble situé au 4221 avenue De Lorimier, dans l'arrondissement du Plateau-Mont-Royal.","2024-03-12","2024-03-12","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Assemblée publique - 5633, rue Saint-Dominique, 210, rue Milton et festival Mile End en fête","https://montreal.ca/evenements/assemblee-publique-5633-rue-saint-dominique-210-rue-milton-et-festival-mile-end-en-fete-66551","Une assemblée publique sur les PPCMOI du 5633, Saint-Dominique, du 210, Milton et du terrain situé entre les 5685 et 5761, Saint-Laurent, aura lieu le 26 mars.","2024-03-26","2024-03-26","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Assemblée publique sur le projet de règlement 2024-04 du Plateau-Mont-Royal","https://montreal.ca/evenements/assemblee-publique-sur-le-projet-de-reglement-2024-04-du-plateau-mont-royal-66830","Une assemblée publique sur le Premier projet du Règlement (2024-04) du Plateau-Mont-Royal.","2024-04-09","2024-04-09","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Consultation publique - Règlement modifiant le Règlement de zonage  (1700)","https://montreal.ca/evenements/consultation-publique-reglement-modifiant-le-reglement-de-zonage-1700-66966","Consultation publique sur le  Règlement modifiant le Règlement de zonage (1700).","2024-03-26","2024-03-26","Consultation publique","Pour tous","En salle","Entrée libre","Gratuit","Verdun","nan","nan","nan","nan",45.458965,-73.573331,299065,5035451.1
"Assemblée publique - 3512, rue Durocher, 5157-59 et 5161-63, avenue du Parc et 5239, rue Saint-Denis","https://montreal.ca/evenements/assemblee-publique-3512-rue-durocher-5157-59-et-5161-63-avenue-du-parc-et-5239-rue-saint-denis-67186","Une assemblée publique sur les PPCMOI du 3512, rue Durocher, du 5157-59 et 5161-63, avenue du Parc et du 5239, rue Saint-Denis, aura lieu le 23 avril.","2024-04-23","2024-04-23","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Demandes de démolition - 1450, rue Rachel Est et 1270, rue Saint-Grégoire","https://montreal.ca/evenements/demandes-de-demolition-1450-rue-rachel-est-et-1270-rue-saint-gregoire-67552","Un comité de démolition aura lieu le 7 mai pour le 1450, rue Rachel Et et le 1270, rue Saint-Grégoire.","2024-05-07","2024-05-07","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"Assemblée de consultation publique sur un PPCMOI à l'étude dans le secteur Hickson-Dupuis à Verdun","https://montreal.ca/evenements/assemblee-de-consultation-publique-sur-un-ppcmoi-letude-dans-le-secteur-hickson-dupuis-verdun-68778","Se tiendra une assemblée publique le jeudi 16 mai 2024 à 19 h à la mairie d'arrondissement de Verdun visant l’adoption d'un PPCMOI","2024-05-16","2024-05-16","Consultation publique","Pour tous","En salle","Entrée libre","Gratuit","Verdun","nan","nan","nan","nan",45.458965,-73.573331,299065,5035451.1
"Modification réglementaire - Projet de règlement RCA24 210006 P1","https://montreal.ca/evenements/modification-reglementaire-projet-de-reglement-rca24-210006-p1-69260","Projet de règlement modifiant le règlement de zonage (1700) et le règlement relatifs aux usages conditionnels de l'arrondissement de Verdun (RCA14 210005).","2024-05-21","2024-05-21","Consultation publique","Pour tous","En salle","Entrée libre","Gratuit","Verdun","nan","nan","nan","nan",45.458965,-73.573331,299065,5035451.1
"Demande de démolition - 4333-4349, avenue Papineau","https://montreal.ca/evenements/demande-de-demolition-4333-4349-avenue-papineau-70431","Le comité de démolition tiendra une séance sur l'immeuble situé au 4333-4349, avenue Papineau, dans l'arrondissement du Plateau-Mont-Royal.","2024-06-11","2024-06-11","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"La Théorie de la corde - Tout Feu Tout Femme","https://montreal.ca/evenements/la-theorie-de-la-corde-tout-feu-tout-femme-70648","Spectacle de danse en plein-air qui est gratuit et pour toute la famille.","2024-08-04","2024-08-04","Danse","Famille","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.427624159284,-73.602410263003,296786.4,5031970.7
"Maison écoresponsable avec VertCité","https://montreal.ca/evenements/maison-ecoresponsable-avec-vertcite-71060","Maison écoresponsable avec VertCité","2024-07-18","2024-07-18","Compétition","Adultes","En salle","Entrée libre","Gratuit","Saint-Laurent","nan","nan","nan","nan",45.503559,-73.729368,286876,5040429.8
"Les légumes oubliés et les variétés disparues","https://montreal.ca/evenements/les-legumes-oublies-et-les-varietes-disparues-71062","Légumes oubliés et variétés disparues","2024-07-20","2024-07-20","Groupe d'entraide","Adultes","En salle","Entrée libre","Gratuit","Saint-Laurent","nan","nan","nan","nan",45.503559,-73.729368,286876,5040429.8
"Animation et jeux libres","https://montreal.ca/evenements/animation-et-jeux-libres-71985","Animation et jeux libres gratuits  au parc Sainte-Marie.","2024-07-22","2024-07-22","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.529574,-73.551393,300785.7,5043296.5
"Animation et jeux libres","https://montreal.ca/evenements/animation-et-jeux-libres-71986","Animation et jeux libres gratuits  au parc Sainte-Marie.","2024-07-29","2024-07-29","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.529574,-73.551393,300785.7,5043296.5
"Animation et jeux libres","https://montreal.ca/evenements/animation-et-jeux-libres-71987","Animation et jeux libres gratuits  au parc Sainte-Marie.","2024-08-05","2024-08-05","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.529574,-73.551393,300785.7,5043296.5
"Animation et jeux libres","https://montreal.ca/evenements/animation-et-jeux-libres-71988","Animation et jeux libres gratuits  au parc Sainte-Marie.","2024-08-12","2024-08-12","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.529574,-73.551393,300785.7,5043296.5
"Animation et jeux libres","https://montreal.ca/evenements/animation-et-jeux-libres-71989","Animation et jeux libres gratuits  au parc Sainte-Marie.","2024-08-19","2024-08-19","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.529574,-73.551393,300785.7,5043296.5
"Tabata","https://montreal.ca/evenements/tabata-71836","Cours gratuits de Tabata au parc Jos-Montferrand.","2024-07-18","2024-07-18","Mise en forme","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Tabata","https://montreal.ca/evenements/tabata-71837","Cours gratuits de Tabata au parc Jos-Montferrand.","2024-07-25","2024-07-25","Mise en forme","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Tabata","https://montreal.ca/evenements/tabata-71838","Cours gratuits de Tabata au parc Jos-Montferrand.","2024-08-01","2024-08-01","Mise en forme","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Tabata","https://montreal.ca/evenements/tabata-71839","Cours gratuits de Tabata au parc Jos-Montferrand.","2024-08-08","2024-08-08","Mise en forme","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Tabata","https://montreal.ca/evenements/tabata-71840","Cours gratuits de Tabata au parc Jos-Montferrand.","2024-08-15","2024-08-15","Mise en forme","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Tabata","https://montreal.ca/evenements/tabata-71841","Cours gratuits de Tabata au parc Jos-Montferrand.","2024-08-22","2024-08-22","Mise en forme","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Tabata","https://montreal.ca/evenements/tabata-71842","Cours gratuits de Tabata au parc Jos-Montferrand.","2024-08-29","2024-08-29","Mise en forme","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Animation et jeux libres","https://montreal.ca/evenements/animation-et-jeux-libres-71846","Animation et jeux libres gratuits au parc Jos-Montferrand.","2024-07-18","2024-07-18","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Animation et jeux libres","https://montreal.ca/evenements/animation-et-jeux-libres-71847","Animation et jeux libres gratuits au parc Jos-Montferrand.","2024-07-25","2024-07-25","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Animation et jeux libres","https://montreal.ca/evenements/animation-et-jeux-libres-71848","Animation et jeux libres gratuits au parc Jos-Montferrand.","2024-08-01","2024-08-01","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Animation et jeux libres","https://montreal.ca/evenements/animation-et-jeux-libres-71849","Animation et jeux libres gratuits au parc Jos-Montferrand.","2024-08-08","2024-08-08","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Animation et jeux libres","https://montreal.ca/evenements/animation-et-jeux-libres-71850","Animation et jeux libres gratuits au parc Jos-Montferrand.","2024-08-15","2024-08-15","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Animation et jeux libres","https://montreal.ca/evenements/animation-et-jeux-libres-71851","Animation et jeux libres gratuits au parc Jos-Montferrand.","2024-08-22","2024-08-22","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Animation et jeux libres","https://montreal.ca/evenements/animation-et-jeux-libres-71853","Animation et jeux libres gratuits au parc Jos-Montferrand.","2024-08-29","2024-08-29","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville-Marie","nan","nan","nan","nan",45.530643363605,-73.54602098465,301205.4,5043415.1
"Ateliers de collaboration - Budget participatif","https://montreal.ca/evenements/ateliers-de-collaboration-budget-participatif-67831","Participez aux ateliers de collaboration avec nos équipes pour transformer les idées citoyennes en projets dans le cadre du Budget participatif de CDN-NDG","2024-05-22","2024-05-22","Consultation publique","Pour tous","En salle","Entrée libre","Gratuit","Côte-des-Neiges–Notre-Dame-de-Grâce","Bureau Accès Montréal - Côte-des-Neiges–Notre-Dame-de-Grâce","5160, boulevard Décarie","Rez-de-chaussée","H3X2H9",45.483864,-73.630852,294571,5038223.8
"Mur d’escalade","https://montreal.ca/evenements/mur-descalade-52889","Escaladez une tour de 25 pieds au cœur du parc Frédéric-Back.","2024-07-21","2024-07-21","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.558774,-73.615142,295811,5046546.7
"Mur d’escalade","https://montreal.ca/evenements/mur-descalade-72606","Escaladez une tour de 25 pieds au cœur du parc Frédéric-Back.","2024-07-28","2024-07-28","Jeux","Pour tous","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.558774,-73.615142,295811,5046546.7
"Tenue de registre - règlements 2024-04-1, 2024-04-2 et 2024-04-3","https://montreal.ca/evenements/tenue-de-registre-reglements-2024-04-1-2024-04-2-et-2024-04-3-72493","Tenue de registre sur les règlements 2024-04-1, 2024-04-2 et 2024-04-3 dans Le Plateau-Mont-Royal.","2024-06-26","2024-06-26","Assemblée publique","Pour tous","En salle","Entrée libre","Gratuit","Le Plateau-Mont-Royal","nan","nan","nan","nan",45.525128,-73.591167,297678.4,5042805.2
"De fil en aiguille! Regard sur l'artisanat local","https://montreal.ca/evenements/de-fil-en-aiguille-regard-sur-lartisanat-local-69093","ateliers, tricot, crochet, broderie, tissage, fermières, patrimoine","2024-07-22","2024-07-22","Atelier et cours","Pour tous","En salle","Sur inscription","Gratuit","Rivière-des-Prairies–Pointe-aux-Trembles","nan","nan","nan","nan",45.64250182196,-73.599031360256,297080.2,5055849.9
"De fil en aiguille! Regard sur l'artisanat local","https://montreal.ca/evenements/de-fil-en-aiguille-regard-sur-lartisanat-local-69094","ateliers, tricot, crochet, broderie, tissage, fermières, patrimoine","2024-07-24","2024-07-24","Atelier et cours","Pour tous","En salle","Sur inscription","Gratuit","Rivière-des-Prairies–Pointe-aux-Trembles","nan","nan","nan","nan",45.64250182196,-73.599031360256,297080.2,5055849.9
