ï»¿CATEG,TERRITOIRE,ETAT,NOM_USUEL,WKT
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie gÃ©nÃ©rale,Sainte-DorothÃ©e,Existant,,"POLYGON  (( 279445.20000000 5043133.50000000, 279442.80000000 5043137.10000000, 279434.10000000 5043131.30000000, 279438.40000000 5043124.70000000, 279442.40000000 5043127.30000000, 279445.20000000 5043123.10000000, 279445.30000000 5043122.90000000, 279447.40000000 5043124.30000000, 279448.10000000 5043123.20000000, 279449.10000000 5043123.80000000, 279454.00000000 5043116.50000000, 279462.10000000 5043121.90000000, 279456.00000000 5043131.20000000, 279451.70000000 5043128.40000000, 279451.60000000 5043128.70000000, 279449.40000000 5043127.20000000, 279445.20000000 5043133.50000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie gÃ©nÃ©rale,Boulevard des Mille-Ãles,Existant,,"POLYGON  (( 294670.20000000 5060928.00000000, 294662.90000000 5060928.20000000, 294662.80000000 5060921.50000000, 294661.60000000 5060921.50000000, 294661.40000000 5060915.00000000, 294669.10000000 5060914.80000000, 294669.20000000 5060920.20000000, 294670.00000000 5060920.20000000, 294670.20000000 5060928.00000000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix TrÃ©panier,"POLYGON  (( 280631.83990000 5043618.12040000, 280631.01920000 5043618.67340000, 280630.44940000 5043617.82780000, 280631.27000000 5043617.27470000, 280631.83990000 5043618.12040000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Calvaire Desnoyers,"POLYGON  (( 291625.90920000 5048806.04540000, 291626.52450000 5048805.64550000, 291626.93620000 5048806.27880000, 291626.32090000 5048806.67870000, 291625.90920000 5048806.04540000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix de l'AmitiÃ©,"POLYGON  (( 302443.27340000 5061990.13330000, 302443.27340000 5061989.63960000, 302444.14460000 5061989.63960000, 302444.14460000 5061990.13330000, 302443.27340000 5061990.13330000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Calvaire Sauriol,"POLYGON  (( 281992.69310000 5042028.77790000, 281992.69310000 5042028.01590000, 281993.65620000 5042028.01590000, 281993.65620000 5042028.77790000, 281992.69310000 5042028.77790000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix Vanier,"POLYGON  (( 288591.41480000 5045223.11400000, 288592.39580000 5045222.11880000, 288593.53100000 5045223.23780000, 288592.55000000 5045224.23300000, 288591.41480000 5045223.11400000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix de Notre-Dame-des-Ãcores,"POLYGON  (( 291516.74960000 5049447.48150000, 291516.76770000 5049446.30190000, 291518.17350000 5049446.32360000, 291518.15540000 5049447.50310000, 291516.74960000 5049447.48150000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix Deguire,"POLYGON  (( 292735.08340000 5056108.93990000, 292733.79750000 5056108.08270000, 292734.54360000 5056107.03490000, 292735.82950000 5056107.98740000, 292735.08340000 5056108.93990000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix Fortin,"POLYGON  (( 290703.45440000 5054906.13240000, 290704.13710000 5054906.81500000, 290703.46370000 5054907.48850000, 290702.78100000 5054906.80580000, 290703.45440000 5054906.13240000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix Tourville,"POLYGON  (( 300453.36360000 5062159.47180000, 300453.25780000 5062160.09770000, 300452.23900000 5062159.92550000, 300452.34480000 5062159.29960000, 300453.36360000 5062159.47180000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Calvaire Labelle,"POLYGON  (( 286450.22850000 5047218.32130000, 286450.57250000 5047216.57500000, 286452.88370000 5047217.03020000, 286452.54050000 5047218.77260000, 286450.22850000 5047218.32130000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix des Chevaliers de Colomb,"POLYGON  (( 298960.17840000 5058846.66280000, 298960.61040000 5058846.10740000, 298961.22600000 5058846.58620000, 298960.79400000 5058847.14160000, 298960.17840000 5058846.66280000))"
Autre construction d'intÃ©rÃªt patrimonial,Boulevard des Mille-Ãles,Existant,Croix des Saints-Coeurs,"POLYGON  (( 295167.97700000 5061332.76980000, 295167.97700000 5061331.97360000, 295169.23350000 5061331.97360000, 295169.23350000 5061332.76980000, 295167.97700000 5061332.76980000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Calvaire Ãdouard-Lavoie,"POLYGON  (( 283552.43040000 5042570.68740000, 283552.90400000 5042569.83490000, 283554.41470000 5042570.67420000, 283553.94110000 5042571.52670000, 283552.43040000 5042570.68740000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 283204.25480000 5045201.19710000, 283212.77140000 5045207.86000000, 283207.96820000 5045214.00560000, 283199.29390000 5045207.28260000, 283204.25480000 5045201.19710000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 279229.50000000 5043115.70000000, 279218.80000000 5043130.50000000, 279211.90000000 5043125.60000000, 279213.60000000 5043123.10000000, 279212.00000000 5043121.90000000, 279214.70000000 5043118.10000000, 279216.30000000 5043119.30000000, 279222.50000000 5043110.70000000, 279229.50000000 5043115.70000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Saint-Vincent-de-Paul,Existant,,"POLYGON  (( 293669.60000000 5052344.40000000, 293674.20000000 5052354.90000000, 293672.60000000 5052355.60000000, 293673.20000000 5052356.90000000, 293663.20000000 5052361.30000000, 293663.50000000 5052361.90000000, 293659.90000000 5052363.50000000, 293658.40000000 5052360.10000000, 293651.40000000 5052363.10000000, 293648.30000000 5052355.90000000, 293655.30000000 5052352.90000000, 293655.80000000 5052354.10000000, 293657.50000000 5052353.40000000, 293656.10000000 5052350.20000000, 293669.60000000 5052344.40000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 283218.11430000 5045217.74130000, 283212.28610000 5045225.54730000, 283206.94150000 5045221.53890000, 283212.76970000 5045213.73280000, 283218.11430000 5045217.74130000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 287437.45160000 5059874.68000000, 287437.45160000 5059877.22000000, 287435.14970000 5059877.37870000, 287435.07040000 5059874.75940000, 287437.45160000 5059874.68000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 286312.40000000 5053973.00000000, 286312.10000000 5053972.80000000, 286312.40000000 5053972.50000000, 286318.30000000 5053965.70000000, 286323.50000000 5053970.30000000, 286317.30000000 5053977.30000000, 286312.40000000 5053973.00000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 298640.80000000 5061447.20000000, 298640.35860000 5061450.84150000, 298640.00000000 5061453.80000000, 298634.60000000 5061453.20000000, 298635.38330000 5061447.36890000, 298635.50000000 5061446.50000000, 298640.80000000 5061447.20000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Sainte-Rose,Existant,,"POLYGON  (( 282523.30000000 5052803.90000000, 282513.90000000 5052813.00000000, 282507.70000000 5052806.70000000, 282511.00000000 5052803.50000000, 282509.70000000 5052802.20000000, 282510.60000000 5052801.30000000, 282506.20000000 5052796.80000000, 282514.40000000 5052788.90000000, 282522.70000000 5052797.40000000, 282522.30000000 5052797.80000000, 282524.70000000 5052800.30000000, 282522.20000000 5052802.70000000, 282523.30000000 5052803.90000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 300311.05290000 5062069.31440000, 300311.42440000 5062069.34470000, 300311.84770000 5062064.58220000, 300319.41480000 5062065.32300000, 300318.93860000 5062070.19140000, 300319.15290000 5062070.31440000, 300317.15290000 5062085.81440000, 300309.05290000 5062084.81440000, 300311.05290000 5062069.31440000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 286304.00000000 5055437.60000000, 286308.60000000 5055432.30000000, 286317.70000000 5055440.20000000, 286313.00000000 5055445.50000000, 286304.00000000 5055437.60000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 286396.80000000 5050555.10000000, 286406.90000000 5050544.40000000, 286425.10000000 5050561.70000000, 286415.00000000 5050572.40000000, 286406.60000000 5050564.40000000, 286405.50000000 5050565.50000000, 286401.70000000 5050561.90000000, 286402.80000000 5050560.80000000, 286396.80000000 5050555.10000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 289363.51320000 5045774.86720000, 289367.26640000 5045766.15850000, 289373.15340000 5045768.87050000, 289369.38310000 5045777.46950000, 289363.51320000 5045774.86720000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 289594.10000000 5060000.00000000, 289578.94630000 5060000.00000000, 289555.80000000 5060000.00000000, 289556.00000000 5059990.90000000, 289553.30000000 5059990.80000000, 289553.40000000 5059987.30000000, 289554.22050000 5059987.30000000, 289556.10000000 5059987.30000000, 289556.20000000 5059982.40000000, 289556.20000000 5059982.20000000, 289591.10000000 5059983.20000000, 289591.20000000 5059980.30000000, 289594.70000000 5059980.40000000, 289594.10000000 5060000.00000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 287460.10000000 5059809.10000000, 287470.00000000 5059810.90000000, 287467.00000000 5059827.30000000, 287436.30000000 5059822.00000000, 287438.89550000 5059807.32190000, 287439.20000000 5059805.60000000, 287445.76460000 5059806.70140000, 287454.10000000 5059808.10000000, 287454.49770000 5059805.91260000, 287454.70000000 5059804.80000000, 287458.69880000 5059805.53310000, 287460.70000000 5059805.90000000, 287460.10000000 5059809.10000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 291564.90000000 5055239.00000000, 291560.90000000 5055244.30000000, 291553.30000000 5055238.60000000, 291557.30000000 5055233.20000000, 291564.90000000 5055239.00000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Saint-Vincent-de-Paul,Existant,,"POLYGON  (( 293600.60000000 5052907.30000000, 293608.20000000 5052901.80000000, 293607.30000000 5052900.50000000, 293611.20000000 5052897.70000000, 293611.70000000 5052895.00000000, 293613.70000000 5052893.50000000, 293615.40000000 5052893.80000000, 293616.20000000 5052894.00000000, 293617.80000000 5052896.10000000, 293619.90000000 5052894.60000000, 293627.10000000 5052904.70000000, 293608.30000000 5052918.10000000, 293600.60000000 5052907.30000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 285656.50000000 5058314.70000000, 285682.30000000 5058329.00000000, 285677.30000000 5058337.80000000, 285651.60000000 5058323.60000000, 285656.50000000 5058314.70000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 298663.38790000 5061448.24710000, 298653.98790000 5061446.84710000, 298655.98790000 5061433.54710000, 298656.88790000 5061433.64710000, 298657.58790000 5061428.94710000, 298665.68790000 5061430.24710000, 298664.88790000 5061434.34710000, 298665.68790000 5061434.54710000, 298663.38790000 5061448.24710000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Sainte-DorothÃ©e,Existant,,"POLYGON  (( 279704.10000000 5043312.80000000, 279686.50000000 5043342.00000000, 279683.50000000 5043340.20000000, 279679.70000000 5043346.90000000, 279670.20000000 5043341.10000000, 279664.10000000 5043337.40000000, 279671.10000000 5043325.90000000, 279672.10000000 5043326.50000000, 279671.90000000 5043326.80000000, 279673.50000000 5043327.70000000, 279673.80000000 5043327.50000000, 279675.00000000 5043328.00000000, 279690.00000000 5043304.10000000, 279704.10000000 5043312.80000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 295507.30000000 5055949.10000000, 295511.40000000 5055944.00000000, 295518.70000000 5055949.80000000, 295518.40000000 5055950.10000000, 295520.40000000 5055951.60000000, 295518.70000000 5055953.80000000, 295516.70000000 5055952.30000000, 295514.70000000 5055954.90000000, 295507.30000000 5055949.10000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 287839.80000000 5052227.90000000, 287846.60000000 5052232.70000000, 287841.10000000 5052240.50000000, 287834.30000000 5052235.70000000, 287839.80000000 5052227.90000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 289331.20000000 5060027.90000000, 289331.10000000 5060033.80000000, 289325.70000000 5060033.80000000, 289325.70000000 5060027.90000000, 289331.20000000 5060027.90000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Village Saint-Martin,Existant,,"POLYGON  (( 284242.40000000 5045477.20000000, 284240.70000000 5045476.00000000, 284246.00000000 5045468.30000000, 284248.00000000 5045469.70000000, 284248.80000000 5045468.50000000, 284252.50000000 5045471.00000000, 284265.50000000 5045452.20000000, 284275.60000000 5045459.20000000, 284273.70000000 5045462.00000000, 284277.00000000 5045464.20000000, 284266.80000000 5045479.00000000, 284268.70000000 5045480.30000000, 284261.40000000 5045490.80000000, 284259.60000000 5045489.60000000, 284252.40000000 5045500.00000000, 284245.20000000 5045510.50000000, 284240.10000000 5045507.00000000, 284238.40000000 5045509.40000000, 284231.00000000 5045504.30000000, 284232.90000000 5045501.50000000, 284230.80000000 5045500.00000000, 284228.00000000 5045498.10000000, 284242.40000000 5045477.20000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 286834.66990000 5051421.12810000, 286840.46140000 5051412.40990000, 286848.36210000 5051417.90680000, 286843.50040000 5051424.60080000, 286843.23580000 5051424.40230000, 286842.04520000 5051426.05600000, 286834.66990000 5051421.12810000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 286329.34580000 5055441.59570000, 286329.60000000 5055441.80000000, 286325.81810000 5055446.40410000, 286325.00000000 5055447.40000000, 286320.00000000 5055443.20000000, 286324.50000000 5055437.70000000, 286329.34580000 5055441.59570000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 286417.20000000 5050530.00000000, 286410.93360000 5050523.24400000, 286410.80000000 5050523.10000000, 286411.44670000 5050522.49950000, 286422.00000000 5050512.70000000, 286423.60000000 5050514.40000000, 286427.50000000 5050510.80000000, 286424.90000000 5050508.00000000, 286432.10000000 5050501.30000000, 286439.50000000 5050509.30000000, 286432.40000000 5050515.90000000, 286432.90000000 5050516.50000000, 286428.50000000 5050520.60000000, 286427.90000000 5050519.90000000, 286417.20000000 5050530.00000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 289432.30000000 5053760.40000000, 289425.70000000 5053756.40000000, 289430.80000000 5053748.00000000, 289437.40000000 5053751.90000000, 289432.30000000 5053760.40000000))"
