ï»¿CATEG,TERRITOIRE,ETAT,NOM_USUEL,WKT
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 286280.70000000 5055428.20000000, 286284.70000000 5055422.50000000, 286292.60000000 5055428.10000000, 286288.60000000 5055433.70000000, 286280.70000000 5055428.20000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 283740.20000000 5054698.10000000, 283734.60000000 5054696.20000000, 283740.20000000 5054679.20000000, 283745.80000000 5054681.00000000, 283740.20000000 5054698.10000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 295506.70000000 5055972.20000000, 295512.00000000 5055976.70000000, 295503.90000000 5055986.20000000, 295498.70000000 5055981.80000000, 295506.70000000 5055972.20000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 283960.70000000 5052538.60000000, 283958.80000000 5052548.30000000, 283951.00000000 5052546.70000000, 283952.90000000 5052537.10000000, 283960.70000000 5052538.60000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Sainte-Rose,Existant,,"POLYGON  (( 282457.19960000 5052701.65560000, 282465.02920000 5052694.91350000, 282465.42340000 5052695.37140000, 282465.97700000 5052694.89470000, 282462.00650000 5052690.28360000, 282470.15060000 5052683.27070000, 282474.15890000 5052687.92580000, 282473.91900000 5052688.13240000, 282478.64570000 5052693.62160000, 282470.15440000 5052700.93350000, 282470.93890000 5052701.84480000, 282471.79150000 5052701.11060000, 282473.10560000 5052702.63660000, 282472.17170000 5052703.44090000, 282479.11880000 5052711.50900000, 282471.40420000 5052718.15200000, 282457.19960000 5052701.65560000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 300117.34250000 5062005.23580000, 300126.94250000 5062005.23580000, 300126.84250000 5062006.13580000, 300127.24250000 5062006.13580000, 300127.14250000 5062017.93580000, 300117.24250000 5062017.83580000, 300117.34250000 5062005.23580000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 287451.10000000 5059886.40000000, 287451.40000000 5059894.00000000, 287442.20000000 5059894.50000000, 287441.80000000 5059886.80000000, 287451.10000000 5059886.40000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 290914.40000000 5060447.10000000, 290916.20000000 5060456.60000000, 290900.90000000 5060459.90000000, 290899.00000000 5060449.80000000, 290914.40000000 5060447.10000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 288990.90000000 5045598.20000000, 288992.80000000 5045595.30000000, 288997.50000000 5045598.50000000, 288995.60000000 5045601.40000000, 288990.90000000 5045598.20000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Village Saint-Martin,Existant,,"POLYGON  (( 284335.40000000 5045558.80000000, 284348.90000000 5045569.20000000, 284341.50000000 5045578.80000000, 284341.30000000 5045578.70000000, 284340.60000000 5045579.60000000, 284335.58310000 5045575.43240000, 284330.20000000 5045582.30000000, 284327.30000000 5045586.10000000, 284322.30000000 5045582.30000000, 284316.80000000 5045589.30000000, 284308.30000000 5045582.70000000, 284322.90000000 5045563.80000000, 284321.90000000 5045563.00000000, 284329.00000000 5045553.90000000, 284335.40000000 5045558.80000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 283949.30000000 5052575.80000000, 283970.10000000 5052578.50000000, 283968.30000000 5052592.70000000, 283953.50000000 5052590.80000000, 283953.60000000 5052590.40000000, 283947.60000000 5052589.60000000, 283949.30000000 5052575.80000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 291437.50000000 5060475.00000000, 291431.60000000 5060474.10000000, 291432.80000000 5060466.70000000, 291438.60000000 5060467.70000000, 291437.50000000 5060475.00000000))"
BÃ¢timent accessoire d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,,"POLYGON  (( 291442.40000000 5060475.30000000, 291437.70000000 5060474.60000000, 291439.30000000 5060464.40000000, 291444.00000000 5060465.10000000, 291442.40000000 5060475.30000000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix Desautels,"POLYGON  (( 296202.26030000 5056470.46510000, 296202.57970000 5056469.92610000, 296203.35620000 5056470.38620000, 296203.03680000 5056470.92520000, 296202.26030000 5056470.46510000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix Renaud,"POLYGON  (( 298216.37260000 5061219.64860000, 298216.37260000 5061218.27280000, 298218.03940000 5061218.27280000, 298218.03940000 5061219.64860000, 298216.37260000 5061219.64860000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix Barbe,"POLYGON  (( 279160.39090000 5045653.88830000, 279160.63430000 5045653.02180000, 279161.83430000 5045653.35880000, 279161.59090000 5045654.22540000, 279160.39090000 5045653.88830000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix Kateri Tekakwitha,"POLYGON  (( 285007.20430000 5043313.49340000, 285007.89450000 5043312.54880000, 285008.83840000 5043313.23850000, 285008.14810000 5043314.18310000, 285007.20430000 5043313.49340000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie gÃ©nÃ©rale,Saint-Vincent-de-Paul,Existant,,"POLYGON  (( 293500.90000000 5052539.50000000, 293500.70000000 5052550.00000000, 293490.10000000 5052549.80000000, 293490.30000000 5052539.20000000, 293500.90000000 5052539.50000000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Calvaire Lacroix,"POLYGON  (( 280702.73040000 5043676.96160000, 280702.56500000 5043676.94710000, 280702.40460000 5043676.90420000, 280702.25410000 5043676.83400000, 280702.11810000 5043676.73880000, 280702.00070000 5043676.62140000, 280701.90550000 5043676.48530000, 280701.83530000 5043676.33490000, 280701.79240000 5043676.17450000, 280701.77790000 5043676.00910000, 280701.79240000 5043675.84370000, 280701.83530000 5043675.68330000, 280701.90550000 5043675.53280000, 280702.00070000 5043675.39680000, 280702.11810000 5043675.27940000, 280702.25410000 5043675.18420000, 280702.40460000 5043675.11400000, 280702.56500000 5043675.07110000, 280702.73040000 5043675.05660000, 280702.89580000 5043675.07110000, 280703.05620000 5043675.11400000, 280703.20670000 5043675.18420000, 280703.34270000 5043675.27940000, 280703.46010000 5043675.39680000, 280703.55530000 5043675.53280000, 280703.62550000 5043675.68330000, 280703.66840000 5043675.84370000, 280703.68290000 5043676.00910000, 280703.66840000 5043676.17450000, 280703.62550000 5043676.33490000, 280703.55530000 5043676.48530000, 280703.46010000 5043676.62140000, 280703.34270000 5043676.73880000, 280703.20670000 5043676.83400000, 280703.05620000 5043676.90420000, 280702.89580000 5043676.94710000, 280702.73040000 5043676.96160000))"
Autre construction d'intÃ©rÃªt patrimonial,Hors territoire patrimonial,Existant,Croix de Notre-Dame-de-L'ÃspÃ©rance,"POLYGON  (( 277045.44490000 5042309.45940000, 277046.13280000 5042308.77150000, 277046.66200000 5042309.30070000, 277045.97400000 5042309.98860000, 277045.44490000 5042309.45940000))"
Autre construction d'intÃ©rÃªt patrimonial,Sainte-Rose,Existant,Croix du clocher de l'Ã©glise de Sainte-Rose-de-Lima,"POLYGON  (( 282395.31530000 5052663.54080000, 282395.87310000 5052662.16770000, 282397.27730000 5052662.73820000, 282396.71950000 5052664.11120000, 282395.31530000 5052663.54080000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Hors territoire patrimonial,Existant,,"MULTIPOLYGON  ((( 289216.90000000 5046051.00000000, 289203.10000000 5046041.50000000, 289203.60000000 5046040.70000000, 289184.90000000 5046027.80000000, 289177.10000000 5046022.50000000, 289177.30000000 5046022.20000000, 289175.30000000 5046020.80000000, 289184.80000000 5046006.90000000, 289185.10000000 5046006.40000000, 289187.60000000 5046007.90000000, 289187.50000000 5046008.00000000, 289213.60000000 5046025.60000000, 289214.50000000 5046026.20000000, 289216.80000000 5046022.80000000, 289228.40000000 5046006.00000000, 289242.50000000 5046015.60000000, 289230.00000000 5046033.70000000, 289230.60000000 5046036.90000000, 289242.60000000 5046045.10000000, 289243.00000000 5046044.60000000, 289255.40000000 5046053.20000000, 289255.10000000 5046053.70000000, 289266.90000000 5046061.80000000, 289270.10000000 5046061.20000000, 289282.60000000 5046043.00000000, 289296.60000000 5046052.70000000, 289282.90000000 5046072.70000000, 289283.30000000 5046073.10000000, 289272.80000000 5046088.40000000, 289272.20000000 5046088.00000000, 289254.90000000 5046113.20000000, 289240.90000000 5046103.60000000, 289256.90000000 5046080.20000000, 289256.30000000 5046077.20000000, 289226.00000000 5046056.40000000, 289218.30000000 5046051.10000000, 289217.90000000 5046051.60000000, 289216.90000000 5046051.00000000)),(( 289219.30000000 5046066.20000000, 289222.70000000 5046068.50000000, 289222.20000000 5046069.60000000, 289229.70000000 5046074.80000000, 289224.20000000 5046082.80000000, 289220.00000000 5046080.00000000, 289217.00000000 5046084.60000000, 289212.10000000 5046091.70000000, 289203.60000000 5046085.90000000, 289209.90000000 5046076.70000000, 289207.00000000 5046074.80000000, 289209.50000000 5046070.70000000, 289212.60000000 5046072.70000000, 289216.90000000 5046066.30000000, 289224.00000000 5046055.90000000, 289226.00000000 5046056.40000000, 289219.30000000 5046066.20000000)))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie institutionnelle et religieuse,Saint-ElzÃ©ar / Des Laurentides,Existant,,"POLYGON  (( 287070.70000000 5051548.60000000, 287058.80000000 5051539.40000000, 287073.30000000 5051520.40000000, 287071.00000000 5051518.60000000, 287078.00000000 5051509.30000000, 287080.30000000 5051511.10000000, 287082.70000000 5051507.90000000, 287085.90000000 5051510.50000000, 287088.00000000 5051507.70000000, 287090.60000000 5051509.80000000, 287088.60000000 5051512.40000000, 287094.70000000 5051517.20000000, 287070.70000000 5051548.60000000))"
BÃ¢timent d'intÃ©rÃªt patrimonial - catÃ©gorie gÃ©nÃ©rale,Sainte-Rose,Existant,,"POLYGON  (( 282398.50000000 5052708.70000000, 282394.60000000 5052706.10000000, 282393.90000000 5052707.10000000, 282383.70000000 5052701.20000000, 282380.10000000 5052706.80000000, 282377.10000000 5052704.80000000, 282371.80000000 5052701.10000000, 282377.10000000 5052692.60000000, 282381.40000000 5052685.60000000, 282398.00000000 5052696.30000000, 282397.10000000 5052697.60000000, 282398.70000000 5052698.70000000, 282401.00000000 5052698.40000000, 282402.80000000 5052699.70000000, 282403.40000000 5052701.60000000, 282403.30000000 5052701.90000000, 282405.00000000 5052703.10000000, 282402.10000000 5052707.40000000, 282400.10000000 5052706.20000000, 282398.50000000 5052708.70000000))"
