ï»¿OBJECTID,Numero,Grille
752,7238,QUADRILLAGE MATRICE (NAD 83)
753,7139,QUADRILLAGE MATRICE (NAD 83)
754,7040,QUADRILLAGE MATRICE (NAD 83)
755,6941,QUADRILLAGE MATRICE (NAD 83)
756,6741,QUADRILLAGE MATRICE (NAD 83)
757,6841,QUADRILLAGE MATRICE (NAD 83)
758,6640,QUADRILLAGE MATRICE (NAD 83)
759,6540,QUADRILLAGE MATRICE (NAD 83)
760,6440,QUADRILLAGE MATRICE (NAD 83)
761,6340,QUADRILLAGE MATRICE (NAD 83)
762,8035,QUADRILLAGE MATRICE (NAD 83)
763,7935,QUADRILLAGE MATRICE (NAD 83)
764,7835,QUADRILLAGE MATRICE (NAD 83)
765,7735,QUADRILLAGE MATRICE (NAD 83)
766,7635,QUADRILLAGE MATRICE (NAD 83)
767,7536,QUADRILLAGE MATRICE (NAD 83)
768,7436,QUADRILLAGE MATRICE (NAD 83)
769,7337,QUADRILLAGE MATRICE (NAD 83)
770,7237,QUADRILLAGE MATRICE (NAD 83)
771,7138,QUADRILLAGE MATRICE (NAD 83)
772,7039,QUADRILLAGE MATRICE (NAD 83)
773,6940,QUADRILLAGE MATRICE (NAD 83)
774,6740,QUADRILLAGE MATRICE (NAD 83)
775,6840,QUADRILLAGE MATRICE (NAD 83)
776,6639,QUADRILLAGE MATRICE (NAD 83)
777,6539,QUADRILLAGE MATRICE (NAD 83)
778,6339,QUADRILLAGE MATRICE (NAD 83)
779,6439,QUADRILLAGE MATRICE (NAD 83)
780,7934,QUADRILLAGE MATRICE (NAD 83)
781,7834,QUADRILLAGE MATRICE (NAD 83)
782,7734,QUADRILLAGE MATRICE (NAD 83)
783,7634,QUADRILLAGE MATRICE (NAD 83)
784,7535,QUADRILLAGE MATRICE (NAD 83)
785,7435,QUADRILLAGE MATRICE (NAD 83)
786,7336,QUADRILLAGE MATRICE (NAD 83)
787,7236,QUADRILLAGE MATRICE (NAD 83)
788,7137,QUADRILLAGE MATRICE (NAD 83)
789,7038,QUADRILLAGE MATRICE (NAD 83)
790,6939,QUADRILLAGE MATRICE (NAD 83)
791,6739,QUADRILLAGE MATRICE (NAD 83)
792,6839,QUADRILLAGE MATRICE (NAD 83)
793,6638,QUADRILLAGE MATRICE (NAD 83)
794,6438,QUADRILLAGE MATRICE (NAD 83)
795,6538,QUADRILLAGE MATRICE (NAD 83)
796,6235,QUADRILLAGE MATRICE (NAD 83)
797,7833,QUADRILLAGE MATRICE (NAD 83)
798,7733,QUADRILLAGE MATRICE (NAD 83)
799,7633,QUADRILLAGE MATRICE (NAD 83)
800,7534,QUADRILLAGE MATRICE (NAD 83)
801,7434,QUADRILLAGE MATRICE (NAD 83)
802,7335,QUADRILLAGE MATRICE (NAD 83)
803,7235,QUADRILLAGE MATRICE (NAD 83)
804,7136,QUADRILLAGE MATRICE (NAD 83)
805,7037,QUADRILLAGE MATRICE (NAD 83)
806,6938,QUADRILLAGE MATRICE (NAD 83)
807,6738,QUADRILLAGE MATRICE (NAD 83)
808,6838,QUADRILLAGE MATRICE (NAD 83)
809,6537,QUADRILLAGE MATRICE (NAD 83)
810,6637,QUADRILLAGE MATRICE (NAD 83)
811,6335,QUADRILLAGE MATRICE (NAD 83)
812,6234,QUADRILLAGE MATRICE (NAD 83)
813,6134,QUADRILLAGE MATRICE (NAD 83)
814,7832,QUADRILLAGE MATRICE (NAD 83)
815,7732,QUADRILLAGE MATRICE (NAD 83)
816,7632,QUADRILLAGE MATRICE (NAD 83)
817,7533,QUADRILLAGE MATRICE (NAD 83)
818,7433,QUADRILLAGE MATRICE (NAD 83)
819,7334,QUADRILLAGE MATRICE (NAD 83)
820,7234,QUADRILLAGE MATRICE (NAD 83)
821,7135,QUADRILLAGE MATRICE (NAD 83)
822,7036,QUADRILLAGE MATRICE (NAD 83)
823,6937,QUADRILLAGE MATRICE (NAD 83)
824,6737,QUADRILLAGE MATRICE (NAD 83)
825,6837,QUADRILLAGE MATRICE (NAD 83)
826,6636,QUADRILLAGE MATRICE (NAD 83)
827,6435,QUADRILLAGE MATRICE (NAD 83)
828,6334,QUADRILLAGE MATRICE (NAD 83)
829,6233,QUADRILLAGE MATRICE (NAD 83)
830,6133,QUADRILLAGE MATRICE (NAD 83)
831,6033,QUADRILLAGE MATRICE (NAD 83)
832,7731,QUADRILLAGE MATRICE (NAD 83)
833,7631,QUADRILLAGE MATRICE (NAD 83)
834,7532,QUADRILLAGE MATRICE (NAD 83)
835,7432,QUADRILLAGE MATRICE (NAD 83)
836,7333,QUADRILLAGE MATRICE (NAD 83)
837,7233,QUADRILLAGE MATRICE (NAD 83)
838,7134,QUADRILLAGE MATRICE (NAD 83)
839,7035,QUADRILLAGE MATRICE (NAD 83)
840,6936,QUADRILLAGE MATRICE (NAD 83)
841,6736,QUADRILLAGE MATRICE (NAD 83)
842,6836,QUADRILLAGE MATRICE (NAD 83)
843,6535,QUADRILLAGE MATRICE (NAD 83)
844,6635,QUADRILLAGE MATRICE (NAD 83)
845,6434,QUADRILLAGE MATRICE (NAD 83)
846,6333,QUADRILLAGE MATRICE (NAD 83)
847,6232,QUADRILLAGE MATRICE (NAD 83)
848,6132,QUADRILLAGE MATRICE (NAD 83)
849,6032,QUADRILLAGE MATRICE (NAD 83)
850,7630,QUADRILLAGE MATRICE (NAD 83)
851,7531,QUADRILLAGE MATRICE (NAD 83)
852,7431,QUADRILLAGE MATRICE (NAD 83)
853,7332,QUADRILLAGE MATRICE (NAD 83)
854,7232,QUADRILLAGE MATRICE (NAD 83)
855,7133,QUADRILLAGE MATRICE (NAD 83)
856,7034,QUADRILLAGE MATRICE (NAD 83)
857,6935,QUADRILLAGE MATRICE (NAD 83)
858,6735,QUADRILLAGE MATRICE (NAD 83)
859,6835,QUADRILLAGE MATRICE (NAD 83)
860,6534,QUADRILLAGE MATRICE (NAD 83)
861,6634,QUADRILLAGE MATRICE (NAD 83)
862,6433,QUADRILLAGE MATRICE (NAD 83)
863,6332,QUADRILLAGE MATRICE (NAD 83)
864,6231,QUADRILLAGE MATRICE (NAD 83)
865,6131,QUADRILLAGE MATRICE (NAD 83)
866,6031,QUADRILLAGE MATRICE (NAD 83)
867,7629,QUADRILLAGE MATRICE (NAD 83)
868,7530,QUADRILLAGE MATRICE (NAD 83)
869,7430,QUADRILLAGE MATRICE (NAD 83)
870,7331,QUADRILLAGE MATRICE (NAD 83)
871,7231,QUADRILLAGE MATRICE (NAD 83)
872,7132,QUADRILLAGE MATRICE (NAD 83)
873,7033,QUADRILLAGE MATRICE (NAD 83)
874,6934,QUADRILLAGE MATRICE (NAD 83)
875,6734,QUADRILLAGE MATRICE (NAD 83)
876,6834,QUADRILLAGE MATRICE (NAD 83)
877,6533,QUADRILLAGE MATRICE (NAD 83)
878,6633,QUADRILLAGE MATRICE (NAD 83)
879,6432,QUADRILLAGE MATRICE (NAD 83)
880,6331,QUADRILLAGE MATRICE (NAD 83)
881,6230,QUADRILLAGE MATRICE (NAD 83)
882,6030,QUADRILLAGE MATRICE (NAD 83)
883,6130,QUADRILLAGE MATRICE (NAD 83)
884,7529,QUADRILLAGE MATRICE (NAD 83)
885,7429,QUADRILLAGE MATRICE (NAD 83)
886,7330,QUADRILLAGE MATRICE (NAD 83)
887,7230,QUADRILLAGE MATRICE (NAD 83)
888,7131,QUADRILLAGE MATRICE (NAD 83)
889,7032,QUADRILLAGE MATRICE (NAD 83)
890,6933,QUADRILLAGE MATRICE (NAD 83)
891,6733,QUADRILLAGE MATRICE (NAD 83)
892,6833,QUADRILLAGE MATRICE (NAD 83)
893,6532,QUADRILLAGE MATRICE (NAD 83)
894,6632,QUADRILLAGE MATRICE (NAD 83)
895,6431,QUADRILLAGE MATRICE (NAD 83)
896,6330,QUADRILLAGE MATRICE (NAD 83)
897,6129,QUADRILLAGE MATRICE (NAD 83)
898,6229,QUADRILLAGE MATRICE (NAD 83)
899,7428,QUADRILLAGE MATRICE (NAD 83)
900,7329,QUADRILLAGE MATRICE (NAD 83)
901,7229,QUADRILLAGE MATRICE (NAD 83)
902,7130,QUADRILLAGE MATRICE (NAD 83)
903,7031,QUADRILLAGE MATRICE (NAD 83)
904,6932,QUADRILLAGE MATRICE (NAD 83)
905,6732,QUADRILLAGE MATRICE (NAD 83)
906,6832,QUADRILLAGE MATRICE (NAD 83)
907,6531,QUADRILLAGE MATRICE (NAD 83)
908,6631,QUADRILLAGE MATRICE (NAD 83)
909,6430,QUADRILLAGE MATRICE (NAD 83)
910,6329,QUADRILLAGE MATRICE (NAD 83)
911,6228,QUADRILLAGE MATRICE (NAD 83)
912,7328,QUADRILLAGE MATRICE (NAD 83)
913,7228,QUADRILLAGE MATRICE (NAD 83)
914,7129,QUADRILLAGE MATRICE (NAD 83)
915,7030,QUADRILLAGE MATRICE (NAD 83)
916,6931,QUADRILLAGE MATRICE (NAD 83)
917,6731,QUADRILLAGE MATRICE (NAD 83)
918,6831,QUADRILLAGE MATRICE (NAD 83)
919,6530,QUADRILLAGE MATRICE (NAD 83)
920,6630,QUADRILLAGE MATRICE (NAD 83)
921,6429,QUADRILLAGE MATRICE (NAD 83)
922,6327,QUADRILLAGE MATRICE (NAD 83)
923,6328,QUADRILLAGE MATRICE (NAD 83)
924,7227,QUADRILLAGE MATRICE (NAD 83)
925,7128,QUADRILLAGE MATRICE (NAD 83)
926,7029,QUADRILLAGE MATRICE (NAD 83)
927,6930,QUADRILLAGE MATRICE (NAD 83)
928,6730,QUADRILLAGE MATRICE (NAD 83)
929,6830,QUADRILLAGE MATRICE (NAD 83)
930,6529,QUADRILLAGE MATRICE (NAD 83)
931,6629,QUADRILLAGE MATRICE (NAD 83)
932,6428,QUADRILLAGE MATRICE (NAD 83)
933,7127,QUADRILLAGE MATRICE (NAD 83)
934,7028,QUADRILLAGE MATRICE (NAD 83)
935,6929,QUADRILLAGE MATRICE (NAD 83)
936,6729,QUADRILLAGE MATRICE (NAD 83)
937,6829,QUADRILLAGE MATRICE (NAD 83)
938,6528,QUADRILLAGE MATRICE (NAD 83)
939,6628,QUADRILLAGE MATRICE (NAD 83)
940,7027,QUADRILLAGE MATRICE (NAD 83)
941,6928,QUADRILLAGE MATRICE (NAD 83)
942,6728,QUADRILLAGE MATRICE (NAD 83)
943,6828,QUADRILLAGE MATRICE (NAD 83)
944,6627,QUADRILLAGE MATRICE (NAD 83)
945,6927,QUADRILLAGE MATRICE (NAD 83)
946,6727,QUADRILLAGE MATRICE (NAD 83)
947,6827,QUADRILLAGE MATRICE (NAD 83)
948,6826,QUADRILLAGE MATRICE (NAD 83)
949,7448,QUADRILLAGE MATRICE (NAD 83)
