ï»¿CMH_ID,TYPE,INFORCI,OBJECTID,SHAPE__Area,SHAPE__Length
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,1,3306.1484375,374.202209378522
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,2,2988.08203125,243.211383268023
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,3,2826.7578125,240.561616232474
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,4,3821.30078125,416.135252596681
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,5,2794.71875,215.14703333114
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,6,2548.12109375,297.798238285302
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,7,3526.4375,398.642003819648
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,8,2623.50390625,199.100980901353
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,9,2934.4453125,215.997789010972
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,10,2710.32421875,331.473679719361
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,11,3467.27734375,227.313503021528
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,12,2237.10546875,244.261819507723
,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,13,2858.05078125,257.487912789236
21188,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,14,394718.84765625,5106.54509838389
21188,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,15,198.98046875,67.2136076157277
21188,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,16,29921.62890625,1191.08637524114
21188,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,17,47214.2890625,2208.56203577673
22003,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,18,7729.54296875,479.352434930447
22089,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,19,6239.61328125,419.396415704294
22102,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,20,13365.26171875,609.987165269053
22120,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,21,12688.34765625,832.97256472597
22124,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,22,118786.79296875,4337.28203905597
22208,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,23,5649.71875,327.87379504949
22237,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,24,11678.5625,563.697977823374
22250,Milieu humide d'intÃ©rÃªt,https://www.sherbrooke.ca/fr/services-a-la-population/environnement/milieux-naturels-et-biodiversite/plan-nature/reglement-de-controle-interimaire-visant-la-protection-des-milieux-naturels-d-interet-pour-la-conservation,25,199.765625,62.1443501060944
