ï»¿Annee,No_MRC,Nombre_d_exploitants_declarants,Nom_MRC,Region_Administrative,Superficie_agricole_en_2015_,Charge_P2O5_produite_par_les_animaux,Charge_P2O5_importee_par_ententes_d_epandage_,Charge_P2O5_des_engrais,Charge_P2O5_des_MRF,Charge_P2O5_detruite,Charge_P2O5_traitee_en_produits_utiles,Charge_P2O5_exportee_par_ententes_d_epandage,Nombre_hectares_totaux_declares,Saturation_des_sols_en_P,Charge_P2O5_disponible_epandage,Nombre_de_lieux_d_elevage,Nombre_de_lieux_d_epandage,Superficie_classe_saturation_1,Superficie_classe_saturation_2,Superficie_classe_saturation_3,Superficie_classe_saturation_4,Longitude,Latitude,Charge_P2O5_de_dejections_animales_disponibles
2012,070,134,La MatapÃ©dia,01,339,471964.1,61297.9,562194.5,0.0,0.0,0.0,73238.2,22521.5,4.66,44.6,151,8,20560.9,1204.0,218.6,538.0,-67.50808498060,48.45927373040,460024.0
2013,070,129,La MatapÃ©dia,01,339,446463.7,108957.0,490237.7,6116.2,0.0,0.0,58625.5,22445.9,4.91,41.9,131,7,20006.3,1285.3,194.0,848.0,-67.50808498060,48.45927373040,496795.0
2014,070,127,La MatapÃ©dia,01,339,458082.4,86023.0,380744.4,9372.4,0.0,0.0,57028.2,23020.8,4.97,34.7,127,7,20530.1,1105.4,154.2,1081.8,-67.50808498060,48.45927373040,487077.0
2015,070,126,La MatapÃ©dia,01,339,447244.2,97255.4,428693.5,7153.7,0.0,0.0,68787.8,21460.0,4.70,38.5,127,7,19668.8,961.5,168.3,661.5,-67.50808498060,48.45927373040,475712.0
2016,070,122,La MatapÃ©dia,01,339,454850.3,72953.3,545192.0,17874.7,0.0,0.0,66422.3,21220.1,4.53,44.3,122,7,19709.9,882.9,156.1,471.2,-67.50808498060,48.45927373040,461381.0
2017,070,121,La MatapÃ©dia,01,339,480917.4,71612.1,524671.1,14719.1,0.0,0.0,80711.7,20747.8,4.52,46.4,119,6,19315.2,787.3,206.9,438.5,-67.50808498100,48.45927373000,471818.0
2018,070,123,La MatapÃ©dia,01,339,501828.5,57451.5,577499.6,20522.7,0.0,0.0,91081.3,20703.0,4.69,54.4,122,6,19069.7,796.5,134.2,702.6,-67.50808498100,48.45927373000,468199.0
2012,080,66,La Matanie,01,212,250589.9,65240.4,76220.0,4834.5,0.0,0.0,21738.1,12008.8,4.72,31.0,75,2,10865.8,726.4,126.1,290.5,-67.54303389270,48.78981631030,294092.0
2013,080,63,La Matanie,01,212,242954.8,92104.8,71740.9,0.0,0.0,0.0,23377.7,11781.8,5.04,31.0,69,2,10407.9,737.9,151.6,484.4,-67.54303389270,48.78981631030,311682.0
2014,080,60,La Matanie,01,212,254573.4,89828.6,120902.9,0.0,0.0,0.0,27335.7,11631.2,4.72,34.4,65,2,10548.3,675.3,118.8,288.9,-67.54303389270,48.78981631030,317066.0
2015,080,61,La Matanie,01,212,245752.8,103856.9,212174.3,2222.0,0.0,0.0,38685.4,11913.0,4.73,40.3,66,2,10850.8,598.0,113.7,350.5,-67.54303389270,48.78981631030,310924.0
2016,080,64,La Matanie,01,212,249105.9,102220.6,196054.5,25345.6,0.0,0.0,34839.1,12069.4,4.62,40.7,69,2,10835.3,528.4,120.0,287.8,-67.54303389270,48.78981631030,316487.0
2017,080,58,La Matanie,01,212,215027.7,108458.3,188275.4,3622.5,0.0,0.0,26973.2,11157.0,4.64,36.9,61,3,10271.4,479.1,96.0,310.5,-67.54303389300,48.78981631000,296513.0
2018,080,57,La Matanie,01,212,229145.3,117087.5,215093.7,15496.4,0.0,0.0,22209.9,11504.9,4.88,43.0,62,3,10458.9,446.7,76.7,522.6,-67.54303389300,48.78981631000,324023.0
2012,090,161,La Mitis,01,365,610313.7,199467.8,299010.6,6048.3,0.0,3616.2,206440.1,22118.4,5.09,40.7,191,6,19340.8,1334.0,505.1,812.2,-68.13033922830,48.51611897720,599725.0
2013,090,163,La Mitis,01,365,633159.0,219305.8,246976.4,6615.9,0.0,2372.1,234211.1,22407.7,4.95,37.8,186,6,19929.5,1328.9,439.4,709.9,-68.13033922830,48.51611897720,615882.0
2014,090,159,La Mitis,01,365,720092.0,206492.9,270350.9,7086.0,0.0,6031.5,215928.9,21896.8,4.96,40.9,183,7,19453.5,1250.1,350.2,783.3,-68.13033922830,48.51611897720,704624.0
2015,090,151,La Mitis,01,365,657791.8,206745.9,309073.0,16127.9,0.0,8337.3,219742.8,21166.7,4.93,40.9,170,6,18905.2,1141.3,504.7,615.5,-68.13033922830,48.51611897720,636458.0
2016,090,155,La Mitis,01,365,643346.7,201888.1,311695.0,9995.3,0.0,3918.2,201414.9,21398.5,4.81,40.0,168,7,19301.6,1114.8,489.0,493.1,-68.13033922830,48.51611897720,639902.0
2017,090,152,La Mitis,01,365,654965.0,206845.8,300586.6,12452.2,0.0,9939.0,253752.7,21766.6,4.65,36.9,163,8,19919.4,1051.0,395.8,400.3,-68.13033922800,48.51611897700,598119.0
2018,090,143,La Mitis,01,365,641364.2,182159.1,301297.8,11695.3,0.0,1605.8,205526.2,20660.9,4.85,45.0,154,10,18739.4,914.2,218.4,789.0,-68.13033922800,48.51611897700,616391.0
2012,100,123,Rimouski-Neigette,01,275,541834.9,180697.7,136887.4,3447.6,0.0,0.0,131730.8,17843.2,4.62,40.8,148,3,16238.8,1100.6,232.0,271.8,-68.58659663630,48.34947370850,590802.0
2013,100,118,Rimouski-Neigette,01,275,545453.9,180279.6,170861.5,1021.1,0.0,1150.0,124750.2,17699.3,4.64,42.3,134,3,16020.7,1192.6,230.1,255.8,-68.58659663630,48.34947370850,599833.0
2014,100,115,Rimouski-Neigette,01,275,560058.6,159910.8,146325.7,8409.6,0.0,0.0,127355.3,17446.8,4.62,39.0,128,3,15796.6,1208.9,250.0,191.3,-68.58659663630,48.34947370850,592614.0
2015,100,113,Rimouski-Neigette,01,275,552841.3,173490.9,171277.0,22419.6,0.0,0.0,124885.7,17618.8,4.65,40.5,126,2,15991.8,1094.7,226.5,305.8,-68.58659663630,48.34947370850,601446.0
2016,100,112,Rimouski-Neigette,01,275,556591.8,194594.7,209166.7,13803.3,0.0,730.8,136889.6,18102.7,4.53,41.7,125,2,16658.2,986.0,204.3,254.2,-68.58659663630,48.34947370850,613566.0
2017,100,113,Rimouski-Neigette,01,275,603513.6,188529.5,203230.4,1101.8,0.0,638.0,134926.3,17870.3,4.37,42.5,129,2,16629.4,961.9,199.7,79.4,-68.58659663600,48.34947370900,656479.0
2018,100,108,Rimouski-Neigette,01,275,649279.2,200374.6,218375.3,25465.8,0.0,580.0,156877.2,18191.7,4.64,51.5,126,1,16642.3,951.7,220.6,377.2,-68.58659663600,48.34947370900,692197.0
2012,110,111,Les Basques,01,233,317208.7,162711.8,129166.0,12312.7,0.0,0.0,90053.6,14951.0,5.23,35.3,114,15,12775.1,1299.6,419.5,456.7,-69.07991468890,48.05839931780,389867.0
2013,110,102,Les Basques,01,233,318537.1,124825.2,122990.5,38957.8,0.0,0.0,78208.0,14707.6,5.39,34.4,102,11,12385.9,1372.0,309.2,640.5,-69.07991468890,48.05839931780,365154.0
2014,110,100,Les Basques,01,233,326715.7,153803.9,128473.4,27508.3,0.0,0.0,79668.8,15209.1,5.43,34.3,100,11,12842.3,1204.9,307.4,792.5,-69.07991468890,48.05839931780,400851.0
2015,110,100,Les Basques,01,233,344343.4,150579.7,138710.4,27371.4,0.0,0.0,83160.3,14850.0,5.17,36.0,102,14,12850.1,1056.1,287.8,594.0,-69.07991468890,48.05839931780,411763.0
2016,110,99,Les Basques,01,233,345414.9,148702.4,147893.6,43469.4,0.0,0.0,92377.6,15179.5,5.49,35.5,98,12,12840.2,1070.1,200.7,980.4,-69.07991468890,48.05839931780,401740.0
2017,110,97,Les Basques,01,233,366871.7,151588.7,152395.2,35650.0,0.0,0.0,92684.8,14838.1,5.09,37.2,96,10,12901.7,1166.9,310.2,459.3,-69.07991468900,48.05839931800,425776.0
2018,110,93,Les Basques,01,233,379688.0,166521.8,167610.2,42166.1,0.0,1528.0,101287.0,15433.4,5.43,42.3,94,11,13110.2,1206.3,269.2,847.7,-69.07991468900,48.05839931800,443395.0
2012,120,178,RiviÃ¨re-du-Loup,01,387,658126.8,194004.7,169771.1,38497.2,0.0,0.0,162034.8,23718.3,5.54,37.3,183,13,19312.5,2762.4,988.0,651.0,-69.34397540170,47.89273179510,690097.0
2013,120,172,RiviÃ¨re-du-Loup,01,387,627722.6,155965.2,206729.8,48553.8,1363.0,2665.1,124604.9,23283.2,5.75,37.6,178,10,18644.5,2732.9,1012.6,893.2,-69.34397540170,47.89273179510,655055.0
2014,120,169,RiviÃ¨re-du-Loup,01,387,612230.2,166175.7,171348.6,69882.7,0.0,0.0,133520.4,23761.4,5.83,35.6,172,10,19127.8,2438.9,991.5,1203.1,-69.34397540170,47.89273179510,644885.0
2015,120,167,RiviÃ¨re-du-Loup,01,387,620013.0,174649.4,200358.6,86072.6,0.0,2082.0,128197.5,23965.5,5.79,38.0,171,10,19399.6,2306.3,969.5,1239.1,-69.34397540170,47.89273179510,664383.0
2016,120,167,RiviÃ¨re-du-Loup,01,387,655245.0,177439.4,203541.4,125482.7,0.0,0.0,130612.2,23555.3,5.53,40.8,170,12,19634.8,2008.9,996.7,914.9,-69.34397540170,47.89273179510,702072.0
2017,120,166,RiviÃ¨re-du-Loup,01,387,721476.8,184246.5,207480.1,85614.9,0.0,0.0,137908.9,23229.3,5.29,41.5,170,12,19738.9,1963.1,875.7,651.6,-69.34397540200,47.89273179500,767814.0
2018,120,162,RiviÃ¨re-du-Loup,01,387,781955.3,208258.6,180758.8,92253.4,0.0,0.0,180647.7,22793.2,5.38,47.5,169,10,19323.5,1789.1,861.8,818.0,-69.34397540200,47.89273179500,809566.0
2012,130,109,TÃ©miscouata,01,290,343628.7,165435.6,104429.9,89833.9,0.0,0.0,65344.2,14515.7,4.26,43.7,121,4,13801.0,487.9,41.2,185.6,-68.85796764040,47.63608582410,443720.0
2013,130,101,TÃ©miscouata,01,290,324517.6,207069.2,121488.0,69790.6,0.0,0.0,53549.7,13566.0,4.12,47.9,110,4,13009.6,465.8,56.6,34.1,-68.85796764040,47.63608582410,478037.0
2014,130,93,TÃ©miscouata,01,290,312846.4,190481.2,109806.2,75028.3,0.0,0.0,56495.1,13167.2,4.15,45.4,102,5,12634.5,403.8,53.8,75.1,-68.85796764040,47.63608582410,446832.0
2015,130,93,TÃ©miscouata,01,290,316987.3,219093.5,105072.8,69817.1,0.0,0.0,53750.8,13767.8,4.16,45.2,105,5,13216.9,399.1,45.6,106.1,-68.85796764040,47.63608582410,482330.0
2016,130,90,TÃ©miscouata,01,290,311290.9,191448.8,118151.4,70308.3,0.0,0.0,54149.5,13275.9,4.10,45.5,101,4,12809.3,353.0,66.5,47.1,-68.85796764040,47.63608582410,448590.0
2017,130,87,TÃ©miscouata,01,290,322860.6,202184.9,110423.7,60998.4,0.0,0.0,57984.0,12946.0,4.19,46.4,96,3,12312.9,504.3,107.7,21.1,-68.85796764000,47.63608582400,467061.0
2018,130,84,TÃ©miscouata,01,290,337928.5,229226.5,115040.2,88022.2,0.0,0.0,64013.4,13360.4,4.44,52.9,90,3,12515.8,516.6,63.5,264.6,-68.85796764000,47.63608582400,503142.0
2012,140,284,Kamouraska,01,448,1106548.6,328289.0,291360.5,627.1,0.0,3016.6,244051.0,29864.9,4.75,49.4,324,10,26341.4,2792.7,496.4,234.4,-69.82014666020,47.51969950440,1187770.0
2013,140,288,Kamouraska,01,448,1125628.7,291931.3,352026.9,27397.3,0.0,99.0,244762.3,30174.4,4.79,49.9,328,8,26542.7,2786.4,622.4,223.0,-69.82014666020,47.51969950440,1172699.0
2014,140,277,Kamouraska,01,448,1136988.4,297059.8,356580.1,6979.0,0.0,99.0,227032.6,29764.4,4.71,48.9,315,6,26408.5,2642.5,512.6,200.7,-69.82014666020,47.51969950440,1206917.0
2015,140,275,Kamouraska,01,448,1141597.3,302613.5,413627.1,21643.1,0.0,99.0,239866.4,30168.5,4.60,49.8,319,5,27184.9,2338.8,474.3,170.5,-69.82014666020,47.51969950440,1204245.0
2016,140,270,Kamouraska,01,448,1200543.8,278238.1,416094.9,24563.2,0.0,88.0,254936.3,30375.2,4.62,49.3,313,6,27384.1,2285.5,476.3,229.3,-69.82014666020,47.51969950440,1223758.0
2017,140,263,Kamouraska,01,448,1248468.5,282552.6,395282.9,28208.7,0.0,23793.9,233844.2,30085.8,4.75,50.1,301,6,26926.2,2069.5,773.9,316.2,-69.82014666000,47.51969950400,1273383.0
2018,140,250,Kamouraska,01,448,1322714.7,346197.7,365230.8,5540.6,0.0,88.7,278863.2,30434.5,5.27,57.9,294,6,26475.1,1878.4,412.6,1668.4,-69.82014666000,47.51969950400,1389960.0
