"Annee_imposition","Genre","Age","Region_administrative","Nombre_de_particuliers","Credit_moyen"
2014,"Féminin","Moins de 40 ans","01 - Bas-Saint-Laurent",18,1127.19
2014,"Féminin","Moins de 40 ans","02 - Saguenay - Lac-Saint-Jean",32,1141.68
2014,"Féminin","Moins de 40 ans","03 - Capitale-Nationale",64,1202.25
2014,"Féminin","Moins de 40 ans","04 - Mauricie",25,1046.06
2014,"Féminin","Moins de 40 ans","05 - Estrie",48,1193.44
2014,"Féminin","Moins de 40 ans","06 - Montréal",510,1245.43
2014,"Féminin","Moins de 40 ans","07 - Outaouais",34,1195.45
2014,"Féminin","Moins de 40 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",80,1143.61
2014,"Féminin","Moins de 40 ans","11 - Gaspésie - Îles-de-la-Madeleine",26,1196.16
2014,"Féminin","Moins de 40 ans","12 - Chaudière-Appalaches",36,1177.06
2014,"Féminin","Moins de 40 ans","13 - Laval",147,1245.16
2014,"Féminin","Moins de 40 ans","14 - Lanaudière",120,1184.12
2014,"Féminin","Moins de 40 ans","15 - Laurentides",89,1190.99
2014,"Féminin","Moins de 40 ans","16 - Montérégie",227,1169.80
2014,"Féminin","Moins de 40 ans","17 - Centre-du-Québec",19,1302.28
2014,"Féminin","40 à 54 ans","01 - Bas-Saint-Laurent",212,1150.32
2014,"Féminin","40 à 54 ans","02 - Saguenay - Lac-Saint-Jean",281,1135.37
2014,"Féminin","40 à 54 ans","03 - Capitale-Nationale",600,1136.46
2014,"Féminin","40 à 54 ans","04 - Mauricie",295,1177.34
2014,"Féminin","40 à 54 ans","05 - Estrie",421,1177.93
2014,"Féminin","40 à 54 ans","06 - Montréal",2824,1254.02
2014,"Féminin","40 à 54 ans","07 - Outaouais",459,1193.01
2014,"Féminin","40 à 54 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",272,1172.18
2014,"Féminin","40 à 54 ans","11 - Gaspésie - Îles-de-la-Madeleine",280,1241.16
2014,"Féminin","40 à 54 ans","12 - Chaudière-Appalaches",372,1165.93
2014,"Féminin","40 à 54 ans","13 - Laval",893,1246.81
2014,"Féminin","40 à 54 ans","14 - Lanaudière",768,1161.66
2014,"Féminin","40 à 54 ans","15 - Laurentides",737,1144.40
2014,"Féminin","40 à 54 ans","16 - Montérégie",1755,1188.00
2014,"Féminin","40 à 54 ans","17 - Centre-du-Québec",227,1159.42
2014,"Féminin","55 à 64 ans","01 - Bas-Saint-Laurent",213,1136.68
2014,"Féminin","55 à 64 ans","02 - Saguenay - Lac-Saint-Jean",264,1097.95
2014,"Féminin","55 à 64 ans","03 - Capitale-Nationale",544,1095.16
2014,"Féminin","55 à 64 ans","04 - Mauricie",266,1118.06
2014,"Féminin","55 à 64 ans","05 - Estrie",390,1108.18
2014,"Féminin","55 à 64 ans","06 - Montréal",2245,1154.40
2014,"Féminin","55 à 64 ans","07 - Outaouais",359,1116.23
2014,"Féminin","55 à 64 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",223,1128.87
2014,"Féminin","55 à 64 ans","11 - Gaspésie - Îles-de-la-Madeleine",242,1172.11
2014,"Féminin","55 à 64 ans","12 - Chaudière-Appalaches",282,1131.38
2014,"Féminin","55 à 64 ans","13 - Laval",588,1141.48
2014,"Féminin","55 à 64 ans","14 - Lanaudière",550,1133.04
2014,"Féminin","55 à 64 ans","15 - Laurentides",560,1136.33
2014,"Féminin","55 à 64 ans","16 - Montérégie",1301,1123.12
2014,"Féminin","55 à 64 ans","17 - Centre-du-Québec",203,1124.97
2014,"Féminin","65 ans et plus","01 - Bas-Saint-Laurent",347,949.58
2014,"Féminin","65 ans et plus","02 - Saguenay - Lac-Saint-Jean",414,952.94
2014,"Féminin","65 ans et plus","03 - Capitale-Nationale",1008,941.82
2014,"Féminin","65 ans et plus","04 - Mauricie",484,945.13
2014,"Féminin","65 ans et plus","05 - Estrie",671,955.09
2014,"Féminin","65 ans et plus","06 - Montréal",2518,977.42
2014,"Féminin","65 ans et plus","07 - Outaouais",393,976.31
