CD_CS_STA,NOM_OFFCL_CS_STA,NOM_SITE_WEB_GDUNO,VALR_SUPRF_KM2,VALR_PERMT_KM,CD_COULR,NOM_VERSN
689000,CSS du Littoral,http://www.cssdulittoral.gouv.qc.ca/,13635.93585364,3169.05729767,6,V2024-07
759000,CS crie,http://www.cscree.qc.ca,5644.13924966,2662.77798887,7,V2024-07
769000,CS Kativik,www.kativik.qc.ca,530901.51763498,5916.54899681,5,V2024-07
