NOM,TYPE,ROT,ADR,EX_VILLE,DESCR,WKT
Gare de la Concorde,Transport,322,1240 Avenue Léo-Lacombe,Laval-des-Rapides,,POINT  ( 288399.77130000 5046747.37150000)
Gare de Sainte-Rose,Transport,322,99 Boulevard Sainte-Rose Est,Sainte-Rose,,POINT  ( 284158.00000000 5053957.00000000)
Gare de l'Île-Bigras,Transport,322,313 Chemin du Tour,Îles-Laval,,POINT  ( 277272.90000000 5042254.80000000)
Gare de Vimont,Transport,322,150 Boulevard Bellerose Ouest,Vimont,,POINT  ( 285884.31420000 5051595.57570000)
Gare de Sainte-Dorothée,Transport,322,1411 Chemin du Bord-de-l'Eau,Sainte-Dorothée,,POINT  ( 276560.90000000 5042666.00000000)
