OBJECTID,TYPE,V_CodeAffectation
448,"R̩sidentielle rurale",RR
449,R̩sidentielle rurale,RR
451,R̩sidentielle rurale,RR
452,R̩sidentielle rurale,RR
453,R̩sidentielle rurale,RR
454,R̩sidentielle rurale,RR
455,Conservation,CO
456,R̩sidentielle rurale,RR
457,Industrielle,IN
458,Industrielle,IN
459,Industrielle,IN
461,R̩sidentielle rurale,RR
462,Conservation,CO
463,Industrielle,IN
464,Conservation,CO
466,Conservation,CO
467,Conservation,CO
468,Conservation,CO
469,Revalorisation,RV
470,Industrielle,IN
471,Revalorisation,RV
473,R̩sidentielle rurale,RR
474,R̩cr̩ative,RC
475,Industrielle rurale,IR
476,Industrielle diff̩r̩e,ID
477,Industrielle diff̩r̩e,ID
478,Industrielle agricole,IA
479,Agroforesti̬re,AF
480,Noyau villageois,NV
481,Rurale,RU
482,Rurale,RU
483,Rurale,RU
484,Rurale,RU
485,Rurale,RU
486,Rurale,RU
487,Rurale,RU
488,Rurale,RU
489,Rurale,RU
490,Rurale,RU
491,Rurale,RU
492,Rurale,RU
493,Rurale,RU
494,Rurale,RU
495,Revalorisation,RV
497,Agricole,AG
498,Agricole,AG
499,Agricole,AG
501,R̩sidentielle agricole,RA
504,R̩sidentielle agricole,RA
505,R̩sidentielle agricole,RA
519,R̩sidentielle agricole,RA
520,R̩sidentielle agricole,RA
521,Urbaine,UR
522,Noyau urbain central,NU
523,Industrielle,IN
524,Industrielle,IN
525,Industrielle diff̩r̩e,ID
526,Industrielle,IN
527,Industrielle diff̩r̩e,ID
528,Industrielle,IN
529,Industrielle diff̩r̩e,ID
530,Rurale,RU
531,A̩roportuaire,AP
534,Urbaine,UR
535,Rurale,RU
846,Industrielle diff̩r̩e,ID
1647,R̩sidentielle agricole,RA
1648,R̩sidentielle agricole,RA
1649,R̩sidentielle agricole,RA
1650,R̩sidentielle agricole,RA
1651,R̩sidentielle agricole,RA
1652,R̩sidentielle agricole,RA
1653,R̩sidentielle agricole,RA
1654,R̩sidentielle agricole,RA
1655,R̩sidentielle agricole,RA
1656,R̩sidentielle agricole,RA
1657,R̩sidentielle agricole,RA
1658,R̩sidentielle agricole,RA
1659,R̩sidentielle agricole,RA
1660,R̩sidentielle agricole,RA
1661,R̩sidentielle agricole,RA
1662,Agricole,AG
1663,Agroforesti̬re,AF
1664,Agroforesti̬re,AF
1665,Agricole,AG
1666,Agroforesti̬re,AF
1667,Noyau villageois,NV
1668,Agroforesti̬re,AF
1669,Agricole,AG
2045,Rurale,RU
2046,Rurale,RU
2047,Urbaine,UR
