NUMÉRO_DE_LOT,ÉTAT,SERVICE_RESPONSABLE,ARRONDISSEMENT,NUMÉRO_UEV,PUBLICATION_ASSUJ,LOC_X,LOC_Y,LONGITUDE,LATITUDE
"1874815","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2078041","28556596",304843.39,5061074.07,-73.499443,45.689553
"1874827","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2078119","28556596",304840.25,5061126.83,-73.499483,45.690027
"1874832","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2073137","28556592",304885.94,5061145.67,-73.498897,45.690197
"1874835","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2078191","28556596",304832.42,5061159.86,-73.499584,45.690325
"1874837","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","2078200","28556593",304752.73,5061173.5,-73.500607,45.690447
"3397655","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145583","28556584",302345.71,5059059.94,-73.5315,45.671425
"3397656","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145589","28556584",302431.01,5059091.18,-73.530406,45.671706
"3397661","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145617","28556584",302536.37,5059083.08,-73.529054,45.671634
"3397662","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145618","28556584",302472.51,5059017.75,-73.529873,45.671046
"3397665","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145627","28556584",302392.16,5058977.2,-73.530904,45.67068
"2483633","Assujetti","Urbanisme","Verdun","5100400","28526101",301742.93,5036411.01,-73.539096,45.46762
"2483632","Assujetti","Urbanisme","Verdun","5100400","28526101",301730.51,5036377.77,-73.539254,45.467321
"1860396","Assujetti","Urbanisme","Verdun","1101874","28503781",301834.84,5036440.93,-73.53792,45.46789
"3397681","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145649","28556584",302147.25,5058853.79,-73.534047,45.669569
"3397687","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145655","28556584",302111.94,5058969.7,-73.5345,45.670612
"2153037","Assujetti","Grands parcs","Saint-Laurent","5064651","28277415",284921.61,5037973.54,-73.754278,45.481404
"2153039","Assujetti","Grands parcs","Saint-Laurent","5064652","28277415",285136.43,5038047.64,-73.751533,45.482077
"2597315","Assujetti","Grands parcs","Saint-Laurent","5085849","28277413",284111.83,5037460.54,-73.764614,45.476764
"4916789","Assujetti","Grands parcs","Saint-Laurent","5207183","28277413",284225.18,5037516.21,-73.763167,45.477269
"1901191","Assujetti","Grands parcs","Ahuntsic-Cartierville","3025777","28392138",285590.91,5041202.61,-73.745842,45.510479
"1900477","Assujetti","Grands parcs","Ahuntsic-Cartierville","3115848","28392139",286532.08,5042019.71,-73.733828,45.517857
"1585901","Assujetti","-","Plateau-Mont-Royal","1103562","27894233",299384.61,5044244.72,-73.569341,45.538097
"2648661","Assujetti","Habitation","Côte-des-Neiges - Notre-Dame-de-Grâce","3005226","27447910",292931.22,5039448.44,-73.651857,45.494858
"3397690","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145658","28556584",302059.87,5058949.15,-73.535169,45.670427
"3397691","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145659","28556584",302066.28,5059041.48,-73.535087,45.671258
"3934872","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145641","28556584",302158.75,5058932.03,-73.533899,45.670273
"4205924","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145549","28556584",302420.08,5059286.47,-73.530547,45.673463
"1336726","Assujetti","Grands parcs","Saint-Laurent","4098725","-",285039.67,5037501.74,-73.752748,45.477162
"3397667","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145634","28556584",302311.44,5058936.51,-73.53194,45.670314
"3397679","Assujetti","Grands parcs","Rivière-des-Prairies - Pointe-aux-Trembles","5145646","28556584",302229.65,5058895.29,-73.532989,45.669943
"1424727","Assujetti","Habitation","Ville-Marie","1018456","27667103",301166.74,5042991.54,-73.546513,45.526832
"1424728","Assujetti","Habitation","Ville-Marie","1018456","27667103",301159.76,5042999.05,-73.546602,45.526899
"1425215","Assujetti","Habitation","Ville-Marie","1019307","27660845",301022.25,5043452.57,-73.548366,45.53098
"1425219","Assujetti","Habitation","Ville-Marie","1019008","27667104",301068.6,5043422.37,-73.547773,45.530708
"1852943","Assujetti","Habitation","Ville-Marie","1045005","27660843",299479.39,5039325.06,-73.568074,45.493828
"2160625","Assujetti","Habitation","Ville-Marie","1121738","25682665",299728.07,5041130.02,-73.564911,45.510072
"2160999","Assujetti","Habitation","Ville-Marie","5092804","27702678",299519.87,5041336.13,-73.567578,45.511925
"2161330","Assujetti","Habitation","Ville-Marie","1020658","27869442",299663.66,5041246.91,-73.565737,45.511123
"2161334","Assujetti","Habitation","Ville-Marie","1020584","27695870",299689.2,5041234.47,-73.56541,45.511012
"2162009","Assujetti","Habitation","Ville-Marie","5092803","27695868",300179.8,5041418.2,-73.559133,45.512668
"2162026","Assujetti","Habitation","Ville-Marie","1021219","27695868",300195.67,5041425.04,-73.55893,45.51273
"2162034","Assujetti","Habitation","Ville-Marie","1002961","27712451",300214.03,5041666.44,-73.558697,45.514902
"2162036","Assujetti","Habitation","Ville-Marie","1002963","27712451",300227.73,5041657.5,-73.558522,45.514822
