TYPE,WKT
Pôle de quartier Sainte-Dorothée,POINT  ( 279874.97593198 5043348.11130624)
Pôle de quartier Arthur-Sauvé,POINT  ( 276255.04338210 5045485.49619677)
Pôle de quartier Saint-Vincent-de-Paul,POINT  ( 293470.38855422 5052577.63827118)
Pôle de quartier Fabreville,POINT  ( 280923.24304747 5048824.74893566)
Pôle de quartier Saint-François,POINT  ( 298796.97383318 5059036.52217786)
Pôle de quartier Chomedey,POINT  ( 285385.74636182 5044601.89214596)
Pôle de quartier Samson,POINT  ( 280991.59688031 5042802.03930648)
Pôle de quartier Saint-Martin,POINT  ( 283894.58001060 5045472.73737128)
Pôle de quartier Sainte-Rose,POINT  ( 282753.56869532 5053019.09714405)
Pôle de quartier Duvernay,POINT  ( 291911.13542818 5050410.83895798)
