Identifiant_unique;Nom_ministere_organisme;Nombre_sites;Nom_site;Adresse;Description_localisation;Longitude;Latitude;Probabilite_contamination;Activite_site;Eaux_souterraines_contaminants;Eaux_surface_contaminants;Sols_contaminants;Sediments_contaminants;Cote_classification_risques_exp;Cote_planif_intervention_exp;Etat_caract;Etat_rehab;Etat_post_rehab;Etat_avancement_global;Niveau_avancement;Annee_rehabilitation;Couts_encourus_caract;Couts_encourus_rehab;Couts_encourus_post_rehab;Couts_encourus_total_cumul;URL
0380-2007-006;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Remblais rive sud-ouest de Montréal;-;Secteur de l'emprise du pont Samuel-De-Champlain de Montréal sur la rive sud de Montréal, au sud du boulevard Gaétan Laberge.;-73,55000568;45,47265372;Certaine;Transport routier;"Hydrocarbures aromatiques polycycliques; Autres composés inorganiques; Autre";Non appréhendée;"Métaux et métalloïdes; Hydrocarbures aromatiques polycycliques; Paramètres intégrateurs (HP C10 - C50)";Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;En cours;Non applicable;Réhabilitation;En cours;À venir;0;723384;0;6874664;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2007-012;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Station-service Auto DMC - Garage Doire;140, boulevard Matagami, Matagami J0Y2A0;-;-77,62573511;49,75674782;Probable;Autre;Investigation à venir;Non appréhendée;Investigation à venir;Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;En cours;À venir;1;0;0;14570,88;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2007-016;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Le Bloc 96;-;Le site se trouve à environ 350 mètres au nord-ouest du 125, rue de la Plage à Chandler.;-64,68988889;48,33811557;Certaine;Autre;"Dioxines et furanes; Métaux et métalloïdes; Autres composés inorganiques; Autres substances organiques";Respect des critères;"Métaux et métalloïdes;  Hydrocarbures aromatiques polycycliques";Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;Terminé;En cours;Suivi post-réhabilitation;En cours;En suivi post-réhabilitation;0;0;44841;1113216;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2007-017;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Ancien dépotoir de Saint-Gédéon;-;L'ancien dépotoir se trouve en face du 319, 8e Rang à Saint-Gédéon-de-Beauce.;-70,62029751;45,82983699;Certaine;Autre;"Métaux et métalloïdes; Biphényles polychlorés (BPC); Autres substances organiques; Dioxines et furanes";"Métaux et métalloïdes; Biphényles polychlorés (BPC); Autres substances organiques; Autres composés inorganiques; Dioxines et furanes; Paramètres intégrateurs (HP C10 - C50); Autre";Non appréhendée;Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;Terminé;En cours;Suivi post-réhabilitation;En cours;En suivi post-réhabilitation;0;0;39235;267188;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2007-019;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Vidangeur de Montréal;-;Le MELCCFP assume la garde et le contrôle des sols contaminés et des matières résiduelles dangereuses entreposés dans quatre cellules temporaires localisées sur une propriété privée.;-73,56888845;45,72212225;Certaine;Industrielle;Biphényles polychlorés (BPC);Investigation à venir;"Métaux et métalloïdes; Autres composés inorganiques; Biphényles polychlorés (BPC); Hydrocarbures aromatiques polycycliques; Autres substances organiques; Paramètres intégrateurs (HP C10 - C50); Dioxines et furanes";Investigation à venir;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;En cours;Na pas commencé;Réhabilitation;En cours;À venir;0;295697;0;1645118;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2007-020;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Ancienne décharge contrôlée - Site Granger;-;L'ancienne décharge se trouve à environ 500 mètres au sud du 311, chemin Montcalm à Sainte-Marie-Salomé.;-73,488556;45,920662;Certaine;Autre;"Métaux et métalloïdes;Hydrocarbures aromatiques polycycliques;Paramètres intégrateurs (HP C10 - C50); Hydrocarbures aromatiques monocycliques; Autres substances organiques; Autres composés inorganiques; Composés phénoliques; Biphényles polychlorés (BPC); Composés benzéniques non chlorés";"Métaux et métalloïdes; Hydrocarbures aromatiques monocycliques; Autres composés inorganiques";"Métaux et métalloïdes;Hydrocarbures aromatiques monocycliques;Paramètres intégrateurs (HP C10 - C50);Hydrocarbures aromatiques polycycliques; Biphényles polychlorés (BPC)";Respect des critères;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Non applicable;Caractérisation;En cours;À venir;57555;0;0;747347;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2007-022;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Usine de traitement des eaux souterraines et Lagunes de ville Mercier - Nouveau piège hydraulique;1354, boulevard Sainte-Marguerite, Mercier J6R 2L1;Ce site correspond à l'emplacement du système de pompage et de traitement des eaux souterraines opéré par le MELCCFP. Ce système permet d'intercepter et de contenir la migration de la contamination qui provient de deux lagunes situées à environ 350 m au nord-est.;-73,73423801;45,283822;Certaine;Autre;"Hydrocarbures aromatiques monocycliques; Dioxines et furanes; Hydrocarbures aromatiques polycycliques; Hydrocarbures aliphatiques chlorés; Composés phénoliques; Biphényles polychlorés (BPC); Autres substances organiques";Non appréhendée;"Paramètres intégrateurs (HP C10 - C50); Hydrocarbures aromatiques polycycliques; Hydrocarbures aliphatiques chlorés; Biphényles polychlorés (BPC); Autres composés inorganiques; Composés phénoliques; Chlorobenzènes; Hydrocarbures aromatiques monocycliques";Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;En cours;Non applicable;Réhabilitation;En cours;À venir;0;986456;0;9149297;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2008-026;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Ancienne station d'épuration des eaux usées de C.S. Brooks Canada;-;Terrain localisé en bordure de la rivière Magog directement de l'autre côté de la rivière du 250, rue Principale.  Entre la rivière Magog et la rue de Hatley.;-72,14155574;45,25994317;Certaine;Autre;"Métaux et métalloïdes; Autres composés inorganiques";Non appréhendée;"Hydrocarbures aromatiques polycycliques;  
Paramètres intégrateurs (HP C10 - C50);  
Métaux et métalloïdes";Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;Terminé;En cours;Suivi post-réhabilitation;En cours;En suivi post-réhabilitation;0;0;16207;1148773;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2008-034;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Recycalum inc.;419, chemin de la Côte Sud, Boisbriand J7E4H5;-;-73,90032552;45,62773852;Certaine;Terrain/bâtiment vacant;"Métaux et métalloïdes; Autres composés inorganiques; Paramètres intégrateurs (HP C10 - C50)";Non appréhendée;"Métaux et métalloïdes; Paramètres intégrateurs (HP C10 - C50); Hydrocarbures aromatiques polycycliques";Non appréhendée;Réhabilitation jugée peu prioritaire;Délai recommandé de moins de 5 ans pour commencer l'intervention en réhabilitation;Na pas commencé;En cours;Non applicable;Réhabilitation;En cours;À venir;3965;0;0;142574;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2008-035;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Les Enfouissements de Saint-Valérien inc.;-;Site localisé au nord de la résidence située au 323, chemin de Saint-Dominique à Saint-Valérien-de-Milton.;-72,77117386;45,55614114;Certaine;Autre;"Métaux et métalloïdes; Autres composés inorganiques";Investigation à venir;Investigation à venir;Investigation à venir;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;En cours;À venir;16917;0;0;335979;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2008-040;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Enfouissement Sanitaire de l'Est;569, rue Charlebois, Sainte-Julie J3E1Y2;-;-73,33791874;45,63478316;Certaine;Autre;"Métaux et métalloïdes;Autres composés inorganiques;Hydrocarbures aliphatiques chlorés";"Métaux et métalloïdes;Autres composés inorganiques";Non appréhendée;"Métaux et métalloïdes;	Hydrocarbures aromatiques polycycliques";Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;Terminé;En cours;Suivi post-réhabilitation;En cours;En suivi post-réhabilitation;0;0;3985;439585;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2008-041;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Ancien dépotoir Gérard Sambault ;-;Le site se trouve en milieu rural et est localisé au nord de la propriété sise au 565, rang Saint-Simon à Saint-Isidore-de-Laprairie (Domaine Labranche). ;-73,65809378;45,30152761;Certaine;Autre;"Métaux et métalloïdes; Dioxines et furanes; Paramètres intégrateurs (HP C10 - C50); Autres composés inorganiques";Non appréhendée;Non appréhendée;Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;Terminé;En cours;Suivi post-réhabilitation;En cours;En suivi post-réhabilitation;0;0;15998;393432;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2008-043;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Ancienne usine d'Aciers Inoxydables Atlas;1640, route Marie-Victorin, Sorel-Tracy J3R5R5;-;-73,14349971;46,03867921;Certaine;Industrielle;"Métaux et métalloïdes; Paramètres intégrateurs (HP C10 - C50); Hydrocarbures aliphatiques chlorés";Non appréhendée;"Métaux et métalloïdes; Paramètres intégrateurs (HP C10 - C50); Hydrocarbures aliphatiques chlorés; Hydrocarbures aromatiques polycycliques; Dioxines et furanes";Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;En cours;Na pas commencé;Réhabilitation;En cours;À venir;0;49592;0;15029559;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2008-045;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;5;Terrains voisins de la Fonderie St-Germain Inc. ;-;Les terrains sont contigus au terrain de la Fonderie St-Germain inc. et se retrouvent de chaque côté (nord-ouest et sud-est), à l'arrière (nord-est) et à l'avant (sud-ouest) du 1348, 10° Rang à Saint-Edmond-de-Grantham.;-72,67155371;45,85949657;Certaine;Autre;Non appréhendée;Non appréhendée;"Dioxines et furanes; Métaux et métalloïdes";Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Non applicable;Caractérisation;En cours;À venir;155372;0;0;222310;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2009-049;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Barils enfouis, région de La Tuque;-;Le terrain où sont enfouis les barils est localisé à environ 800 mètres au sud du 1870, chemin des Pionniers à La Tuque.;-72,73698;47,45879;Probable;Forestière;Investigation à venir;Non appréhendée;Investigation à venir;Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;Na pas commencé;À venir;1327;0;0;19128;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2010-059;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Ancienne Lagune - Système Anti-Pollution Mingan;-;Située à 1,3 kilomètres de l'intersection de la route Jacques-Cartier et du boulevard des Forges.;-66,19638889;50,2294444;Certaine;Terrain/bâtiment vacant;"Hydrocarbures aliphatiques chlorés; Métaux et métalloïdes";Non appréhendée;"Paramètres intégrateurs (HP C10 - C50); Métaux et métalloïdes";Non appréhendée;Classification selon les risques à venir;Priorisation de l'intervention en réhabilitation à venir;Na pas commencé;Na pas commencé;Na pas commencé;Caractérisation;En cours;À venir;126375;0;0;656418;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2011-065;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Domaine hydrique de l'État - Ancienne usine Abitibi-Bowater;-;Le terrain est situé dans le domaine hydrique de l'état (terrain remblayé) à 200 m au sud de la voie ferrée sur le terrain de l'ancienne papetière Bowater à Donnacona.;-71,744148;46,669218;Certaine;Lieu d'enfouissement;"Métaux et métalloïdes; Hydrocarbures aromatiques polycycliques; Paramètres intégrateurs (HP C10 - C50); Dioxines et furanes; Autres composés inorganiques";Non appréhendée;"Métaux et métalloïdes; Hydrocarbures aromatiques polycycliques; Paramètres intégrateurs (HP C10 - C50)";"Hydrocarbures aromatiques polycycliques; Métaux et métalloïdes; Paramètres intégrateurs (HP C10 - C50)";Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;En cours;Non applicable;Réhabilitation;En cours;À venir;0;55192;0;381348;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
0380-2011-070;Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs;1;Marché Bureau; 2774, chemin de Fitch Bay, Stanstead J1X 3W4;-;-72,17683504;45,11687338;Certaine;Autre;Hydrocarbures aromatiques monocycliques;Non appréhendée;"Métaux et métalloïdes; Hydrocarbures aromatiques monocycliques;  Hydrocarbures aromatiques polycycliques;  Paramètres intégrateurs (HP C10 - C50)";Non appréhendée;Classification non requise;Priorisation non requise de l'intervention en réhabilitation;Na pas commencé;Terminé;En cours;Suivi post-réhabilitation;En cours;En suivi post-réhabilitation;0;145865;6647;527457;https://www.quebec.ca/gouvernement/ministere/environnement/coordonnees
