VELO_EXP,WKT
Vélo-Express Dagenais projeté,"LINESTRING  ( 282265.47140000 5048891.48950000, 282263.88130000 5048891.03700000, 282262.61170000 5048890.67450000, 282260.92370000 5048889.91860000, 282258.60470000 5048888.62160000, 282256.73300000 5048887.71890000, 282254.92990000 5048887.09360000, 282223.41090000 5048879.08850000, 282205.37260000 5048874.56470000, 282174.94340000 5048866.99120000, 282128.75480000 5048855.41530000, 282045.70600000 5048834.93500000, 282027.36720000 5048830.81370000, 282008.87880000 5048827.42540000, 281990.27030000 5048824.77550000, 281971.57100000 5048822.86820000, 281958.85750000 5048821.81070000, 281940.07760000 5048820.90080000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 281940.07760000 5048820.90080000, 281929.00620000 5048820.79520000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 281748.74890000 5048810.05290000, 281772.51640000 5048809.73270000, 281799.11290000 5048809.45650000, 281828.03280000 5048808.91190000, 281869.72390000 5048808.46770000, 281897.25690000 5048808.06510000, 281922.37300000 5048807.79940000, 281930.35800000 5048807.89170000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 281929.00620000 5048820.79520000, 281924.07560000 5048820.85070000, 281902.36440000 5048820.87760000, 281876.00090000 5048821.24010000, 281838.17010000 5048821.70050000, 281799.47540000 5048822.49330000, 281770.75710000 5048823.61480000, 281764.35770000 5048823.86470000, 281749.33570000 5048825.05310000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 282904.87340000 5045179.53320000, 282869.76510000 5045181.13490000, 282848.37350000 5045182.16670000, 282819.04440000 5045183.51620000, 282812.65470000 5045183.67490000, 282791.58050000 5045183.63520000, 282766.45830000 5045182.84140000, 282754.03610000 5045182.20650000, 282732.28730000 5045180.85710000, 282712.91980000 5045179.19020000, 282690.49630000 5045176.80890000, 282663.85920000 5045173.34500000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 282667.15060000 5045152.12710000, 282678.74480000 5045153.83120000, 282705.17170000 5045156.85800000, 282730.89430000 5045159.26840000, 282750.81750000 5045160.49870000, 282795.74380000 5045162.20520000, 282814.15890000 5045162.16560000, 282841.78140000 5045160.89550000, 282863.80800000 5045159.86370000, 282891.07330000 5045158.59370000, 282904.56760000 5045158.00560000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 282663.85920000 5045173.34500000, 282646.04620000 5045170.69710000, 282626.36120000 5045167.16490000, 282606.67610000 5045163.43420000, 282576.39590000 5045156.73070000, 282550.99440000 5045150.41670000, 282527.30090000 5045143.90790000, 282507.57620000 5045137.91520000, 282487.05780000 5045131.32700000, 282470.38890000 5045125.57230000, 282460.10990000 5045121.84160000, 282446.02080000 5045116.44420000, 282415.73920000 5045104.22040000, 282383.35410000 5045090.96470000, 282367.99860000 5045084.49920000, 282347.35750000 5045075.36750000, 282332.63340000 5045068.50160000, 282307.86830000 5045056.71430000, 282287.46890000 5045046.47490000, 282265.68040000 5045035.16400000, 282245.59850000 5045024.32920000, 282224.52440000 5045012.62140000, 282209.84000000 5045004.12830000, 282192.73460000 5044994.00790000, 282169.04120000 5044979.36320000, 282156.49990000 5044971.26700000, 282147.04250000 5044965.24810000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 282147.04250000 5044965.24810000, 282137.09260000 5044958.68600000, 282129.43300000 5044953.40760000, 282115.56880000 5044943.84290000, 282103.86090000 5044935.64080000, 282079.98230000 5044919.10420000, 282064.43800000 5044908.32250000, 282051.42690000 5044899.40330000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 285212.71270000 5046243.98870000, 285202.72060000 5046257.14870000, 285193.34250000 5046269.49060000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 290208.45420000 5050783.43830000, 290211.31490000 5050783.66810000, 290212.90020000 5050784.03160000, 290214.37080000 5050784.73970000, 290215.80230000 5050785.81770000, 290217.22590000 5050787.43360000, 290217.86340000 5050788.47030000, 290218.34660000 5050789.65220000, 290218.54880000 5050791.12660000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 284678.07890000 5046941.19220000, 284674.15230000 5046946.05680000, 284667.99640000 5046953.19520000, 284663.09240000 5046959.30330000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 282065.36820000 5044882.83410000, 282093.55140000 5044902.29120000, 282116.80840000 5044918.52350000, 282137.00930000 5044932.61260000, 282147.68530000 5044939.95480000, 282152.09060000 5044942.93140000, 282160.37250000 5044948.26260000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 282160.37250000 5044948.26260000, 282180.50690000 5044961.10820000, 282200.86670000 5044973.84800000, 282218.05130000 5044984.04770000, 282231.18800000 5044991.66770000, 282243.84830000 5044998.89090000, 282259.88210000 5045007.70150000, 282274.68550000 5045015.67870000, 282291.63220000 5045024.56870000, 282305.84030000 5045031.79180000, 282321.95350000 5045039.65000000, 282336.00290000 5045046.31750000, 282349.97290000 5045052.78660000, 282359.10100000 5045056.95370000, 282371.88040000 5045062.70850000, 282378.50830000 5045065.64540000, 282408.67090000 5045078.30570000, 282447.68380000 5045094.18070000, 282465.42410000 5045100.84830000, 282476.37780000 5045104.85670000, 282491.02250000 5045109.93680000, 282508.04850000 5045115.53270000, 282521.50260000 5045119.77920000, 282532.49610000 5045122.99390000, 282547.49800000 5045127.16110000, 282567.22270000 5045132.39980000, 282587.18550000 5045137.20210000, 282611.43460000 5045142.44090000, 282637.70790000 5045147.44140000, 282650.09040000 5045149.50520000, 282667.15060000 5045152.12710000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 285168.41480000 5046258.45430000, 285168.57360000 5046258.23920000, 285170.43580000 5046255.59780000, 285172.75540000 5046251.76940000, 285175.84780000 5046246.86580000, 285178.03050000 5046244.07190000, 285189.41880000 5046229.66750000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 280321.45690000 5048400.47230000, 280326.26320000 5048404.18500000, 280334.78930000 5048411.45070000, 280338.02500000 5048414.22180000, 280340.77710000 5048416.37200000, 280345.03360000 5048419.35370000, 280406.42510000 5048462.48290000, 280476.24100000 5048511.58980000, 280476.83320000 5048512.08020000, 280477.49800000 5048512.46670000, 280478.21720000 5048512.73870000, 280478.97130000 5048512.88890000, 280479.73980000 5048512.91320000, 280481.38900000 5048513.20250000, 280482.25170000 5048513.47360000, 280483.04920000 5048513.82800000, 280483.90660000 5048514.36360000, 280485.04670000 5048515.14550000, 280513.17790000 5048534.70660000, 280528.15050000 5048545.19570000, 280545.61910000 5048557.13130000, 280568.87170000 5048572.88060000, 280610.93760000 5048600.00460000, 280660.41350000 5048632.21290000, 280665.12830000 5048635.66950000, 280669.77510000 5048639.43420000, 280673.33370000 5048642.10580000, 280688.58390000 5048653.01320000, 280705.03020000 5048664.45230000, 280710.30570000 5048668.27180000, 280711.38290000 5048669.12140000, 280712.43840000 5048670.34910000, 280713.16740000 5048671.31340000, 280713.85510000 5048672.51780000, 280714.71760000 5048673.60400000, 280715.73470000 5048674.54680000, 280716.88310000 5048675.32450000, 280785.17050000 5048723.03570000, 280803.94980000 5048736.03350000, 280823.04440000 5048748.56320000, 280824.62580000 5048749.34210000, 280826.30570000 5048749.87650000, 280828.04640000 5048750.15440000, 280829.28960000 5048750.36170000, 280830.75050000 5048750.89860000, 280832.24770000 5048751.73260000, 280853.02380000 5048763.32860000, 280874.10250000 5048774.36500000, 280895.46880000 5048784.83380000, 280896.63000000 5048785.44690000, 280897.72850000 5048786.10370000, 280898.58320000 5048786.86410000, 280900.32410000 5048788.76150000, 280901.22310000 5048789.56400000, 280902.24680000 5048790.19980000, 280903.36450000 5048790.65010000, 280924.68600000 5048799.68330000, 280946.27330000 5048808.06130000, 280968.10630000 5048815.77630000, 280990.16480000 5048822.82100000, 281012.42800000 5048829.18890000, 281045.09430000 5048836.71380000, 281071.13240000 5048841.25140000, 281097.26050000 5048845.23730000, 281123.22630000 5048847.93020000, 281124.34940000 5048847.92590000, 281125.47270000 5048847.86340000, 281126.23890000 5048847.65620000, 281127.36760000 5048847.27080000, 281130.69000000 5048846.64210000, 281134.07090000 5048846.59860000, 281143.65980000 5048847.54150000, 281153.29180000 5048847.78230000, 281170.59090000 5048848.41890000, 281187.89840000 5048848.75610000, 281211.27180000 5048848.23370000, 281234.61780000 5048846.98910000, 281257.91420000 5048845.02350000, 281281.13860000 5048842.33870000, 281368.74410000 5048830.77160000, 281414.88100000 5048824.39900000, 281461.09860000 5048818.64190000, 281496.14230000 5048815.07250000, 281505.62620000 5048814.07940000, 281511.15920000 5048813.70160000, 281522.81950000 5048812.87310000, 281550.14950000 5048811.27010000, 281577.50240000 5048810.12290000, 281604.87050000 5048809.43180000, 281609.37150000 5048809.85930000, 281623.27300000 5048811.31910000, 281627.19200000 5048811.51820000, 281632.60840000 5048811.41860000, 281635.63700000 5048811.30890000, 281730.11140000 5048810.30400000, 281748.74890000 5048810.05290000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 281941.38960000 5048808.01940000, 281948.32780000 5048808.09960000, 281964.92080000 5048809.05650000, 281981.47530000 5048810.53790000, 281997.97450000 5048812.54230000, 282014.40210000 5048815.06770000, 282030.74150000 5048818.11170000, 282045.47630000 5048821.35860000, 282068.96310000 5048826.82060000, 282105.03230000 5048835.72290000, 282143.18330000 5048845.38950000, 282209.44260000 5048861.93550000, 282258.15670000 5048874.03530000, 282259.54840000 5048874.31680000, 282261.53430000 5048874.52530000, 282263.51640000 5048874.39510000, 282264.92770000 5048874.22180000, 282266.29210000 5048874.28050000, 282267.07200000 5048874.42520000, 282268.99570000 5048874.82910000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 281930.35800000 5048807.89170000, 281941.38960000 5048808.01940000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 295903.63460000 5054702.09320000, 295818.22700000 5054817.02850000, 295735.35930000 5054928.25950000, 295664.66250000 5055023.40380000, 295588.99150000 5055125.21580000, 295504.85390000 5055238.40470000, 295503.58390000 5055240.30970000, 295502.90920000 5055241.70680000, 295501.62590000 5055245.28390000, 295500.93800000 5055246.76560000, 295500.08770000 5055248.00650000, 295436.22240000 5055333.22690000, 295435.29480000 5055334.62590000, 295434.57170000 5055336.22460000, 295433.98500000 5055337.88290000, 295432.78280000 5055339.84140000, 295427.65690000 5055346.77990000, 295426.90740000 5055347.67260000, 295425.91520000 5055348.46630000, 295424.85690000 5055349.26010000, 295423.79860000 5055350.12000000, 295422.86090000 5055351.21860000, 295358.57870000 5055437.89300000, 295305.23850000 5055509.75400000, 295267.95870000 5055560.00110000, 295266.85620000 5055562.26510000, 295266.04050000 5055564.30060000, 295265.11000000 5055565.96930000, 295261.08840000 5055571.52550000, 295259.81830000 5055572.79550000, 295258.17790000 5055574.22430000, 295256.90790000 5055575.22970000, 295255.78790000 5055576.33920000, 295254.83490000 5055577.55910000, 295189.76530000 5055664.78250000, 295186.00390000 5055670.13410000, 295184.15170000 5055673.24300000, 295182.56420000 5055676.48410000, 295180.84440000 5055680.05610000, 295179.55350000 5055683.73460000, 295178.46320000 5055687.39830000, 295177.80170000 5055690.77170000, 295177.47950000 5055694.25280000, 295177.33870000 5055698.11390000, 295177.40490000 5055702.34720000, 295177.66940000 5055706.58060000, 295178.19860000 5055711.14470000, 295178.92620000 5055715.97330000, 295179.58770000 5055719.47900000, 295180.44750000 5055723.18320000, 295181.43970000 5055726.55670000, 295182.89500000 5055730.72390000, 295184.61480000 5055734.75870000, 295186.92990000 5055739.98430000, 295188.71580000 5055743.49010000, 295190.43560000 5055746.86350000, 295192.94920000 5055750.76610000, 295195.26420000 5055754.20570000, 295197.64550000 5055757.31450000, 295200.22530000 5055760.48960000, 295203.13560000 5055763.79680000, 295206.37680000 5055767.30260000, 295209.48560000 5055770.21300000, 295213.85120000 5055773.98330000, 295217.62170000 5055776.95990000, 295221.72260000 5055779.80410000, 295225.29450000 5055782.05320000, 295229.59400000 5055784.56660000, 295233.49670000 5055786.55100000, 295237.59770000 5055788.27080000, 295242.02950000 5055790.05680000, 295246.39510000 5055791.57820000, 295250.56230000 5055792.76880000, 295255.92010000 5055794.09170000, 295260.61650000 5055794.95160000, 295266.04050000 5055795.74540000, 295270.53840000 5055796.14220000, 295274.77170000 5055796.40680000, 295278.60820000 5055796.40680000, 295282.51310000 5055796.17530000, 295286.08270000 5055795.87770000, 295290.51440000 5055795.21620000, 295294.88010000 5055794.48860000, 295299.04730000 5055793.36410000, 295301.62350000 5055792.47170000, 295305.33110000 5055790.85050000, 295309.17880000 5055789.06450000, 295317.79400000 5055783.91770000, 295320.58580000 5055781.95360000, 295323.25240000 5055779.73140000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 286859.83600000 5043779.50570000, 286860.33380000 5043780.99890000, 286861.12820000 5043782.11130000, 286862.02990000 5043783.11270000, 286863.24410000 5043784.17390000, 286876.93410000 5043794.01950000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 282492.38750000 5048947.42970000, 282471.20650000 5048940.24310000, 282466.41810000 5048938.78510000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 282469.08340000 5048928.63470000, 282476.75060000 5048931.97540000, 282532.36620000 5048953.73380000, 282563.09060000 5048965.03310000, 282590.14280000 5048974.97330000, 282623.26770000 5048986.07980000, 282648.19620000 5048994.14020000, 282674.28440000 5049002.43510000, 282703.42180000 5049011.76930000, 282740.74880000 5049024.32660000, 282760.22840000 5049031.04950000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 282457.51290000 5048923.59340000, 282469.08340000 5048928.63470000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 278891.18450000 5046892.60080000, 278906.10000000 5046902.80000000, 278911.30000000 5046906.60000000, 278922.80000000 5046915.50000000, 278934.20000000 5046924.50000000, 278942.10000000 5046930.80000000, 278949.90000000 5046937.10000000, 278964.90000000 5046949.80000000, 278972.90000000 5046956.80000000, 278980.70000000 5046964.00000000, 278994.90000000 5046977.50000000, 279000.00000000 5046982.40000000, 279009.10000000 5046991.10000000, 279016.90000000 5046998.60000000, 279018.30000000 5047000.00000000, 279020.30000000 5047002.10000000, 279023.50000000 5047005.70000000, 279024.30000000 5047006.50000000, 279025.10000000 5047007.40000000, 279027.10000000 5047009.60000000, 279028.90000000 5047011.60000000, 279038.70000000 5047022.00000000, 279048.10000000 5047032.40000000, 279061.50000000 5047047.80000000, 279068.20000000 5047055.60000000, 279074.70000000 5047063.50000000, 279086.90000000 5047078.70000000, 279098.90000000 5047094.00000000, 279101.00000000 5047096.90000000, 279103.10000000 5047099.70000000, 279114.10000000 5047114.50000000, 279123.90000000 5047128.40000000, 279135.40000000 5047144.30000000, 279163.70000000 5047184.70000000, 279174.40000000 5047198.90000000, 279184.40000000 5047213.20000000, 279193.70000000 5047225.90000000, 279201.60000000 5047237.30000000, 279210.80000000 5047249.80000000, 279220.10000000 5047263.10000000, 279228.50000000 5047274.50000000, 279242.30000000 5047294.70000000, 279253.80000000 5047309.80000000, 279257.10000000 5047314.30000000, 279259.60000000 5047317.10000000, 279262.10000000 5047319.90000000, 279265.00000000 5047323.00000000, 279267.90000000 5047326.10000000, 279271.10000000 5047329.50000000, 279274.30000000 5047332.80000000, 279278.00000000 5047336.70000000, 279281.60000000 5047340.70000000, 279284.60000000 5047344.20000000, 279287.60000000 5047347.80000000, 279289.70000000 5047350.40000000, 279291.90000000 5047352.90000000, 279312.28230000 5047376.65770000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 282295.88050000 5048880.47360000, 282304.80100000 5048882.34640000, 282307.67220000 5048882.77110000, 282309.95530000 5048882.94320000, 282311.90040000 5048883.05800000, 282324.93220000 5048883.26750000, 282326.77860000 5048883.32810000, 282328.18460000 5048883.41930000, 282329.73480000 5048883.69560000, 282385.24320000 5048895.86600000, 282387.77590000 5048896.53520000, 282389.94160000 5048897.28710000, 282391.58620000 5048897.87230000, 282440.60070000 5048916.51030000, 282457.51290000 5048923.59340000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 282268.99570000 5048874.82910000, 282295.88050000 5048880.47360000)"
