VELO_EXP,WKT
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 277474.78130000 5044864.40580000, 277480.70920000 5044863.32530000, 277485.59550000 5044862.36280000, 277488.78310000 5044861.59080000, 277491.56760000 5044860.64940000, 277495.09080000 5044859.09920000, 277497.58240000 5044857.86920000, 277500.23160000 5044856.29220000, 277502.88080000 5044854.62070000, 277505.12650000 5044852.95510000, 277507.00950000 5044851.40440000, 277508.72490000 5044849.63870000, 277510.04890000 5044848.05890000, 277512.65640000 5044844.93020000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 289814.25850000 5050380.61220000, 289810.49750000 5050386.05920000, 289809.14080000 5050388.60330000, 289809.39530000 5050390.40110000, 289809.92620000 5050391.65530000, 289811.01430000 5050392.84120000, 289833.05430000 5050413.87360000, 289870.02690000 5050450.84620000, 289916.15800000 5050496.80770000, 289969.75130000 5050550.06190000, 290001.29680000 5050582.11620000, 290033.94880000 5050614.32660000, 290087.62290000 5050667.76380000, 290117.81160000 5050697.10440000, 290119.67720000 5050697.61330000, 290121.91640000 5050697.20620000, 290125.20850000 5050695.06030000, 290126.21830000 5050694.84200000, 290127.42370000 5050695.44800000, 290128.72030000 5050696.79670000, 290176.62820000 5050750.00730000, 290206.22480000 5050782.16930000, 290206.94920000 5050782.79500000, 290207.74290000 5050783.15220000, 290208.45420000 5050783.43830000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 290218.54880000 5050791.12660000, 290218.52590000 5050792.05430000, 290218.42160000 5050792.64540000, 290218.21300000 5050793.20180000, 290217.90000000 5050793.86250000, 290217.26810000 5050794.68550000, 290200.39510000 5050813.44820000, 290199.53200000 5050814.77480000, 290199.13510000 5050815.76700000, 290199.14260000 5050816.88990000, 290199.33710000 5050817.77440000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 286137.32740000 5044957.53440000, 286132.95070000 5044963.76480000, 286124.36640000 5044976.30360000, 286121.32820000 5044980.82470000, 286118.21760000 5044985.30970000, 286117.40000000 5044986.60000000, 286116.60000000 5044987.80000000, 286112.40000000 5044993.90000000, 286108.30000000 5045000.00000000, 286107.50000000 5045001.20000000, 286106.60000000 5045002.50000000, 286100.40000000 5045011.80000000, 286094.40000000 5045021.20000000, 286088.30000000 5045031.00000000, 286082.40000000 5045040.90000000, 286075.30000000 5045053.00000000, 286068.50000000 5045065.30000000, 286064.90000000 5045072.30000000, 286059.60000000 5045082.80000000, 286054.60000000 5045093.50000000, 286047.30000000 5045109.70000000, 286040.10000000 5045126.00000000, 286036.80000000 5045133.80000000, 286033.50000000 5045141.60000000, 286029.00000000 5045152.10000000, 286024.40000000 5045162.60000000, 286019.40000000 5045174.30000000, 286014.30000000 5045186.00000000, 286008.80000000 5045198.40000000, 286005.90000000 5045204.50000000, 286002.90000000 5045210.50000000, 286001.40000000 5045213.20000000, 286000.00000000 5045215.90000000, 285994.90000000 5045225.40000000, 285989.90000000 5045235.00000000, 285986.70000000 5045240.80000000, 285981.80000000 5045249.30000000, 285976.80000000 5045257.80000000, 285972.00000000 5045265.80000000, 285967.20000000 5045273.80000000, 285951.10000000 5045297.90000000, 285946.20000000 5045305.10000000, 285941.30000000 5045312.50000000, 285936.30000000 5045319.80000000, 285922.50000000 5045339.90000000, 285908.70000000 5045359.90000000, 285893.90000000 5045381.50000000, 285879.10000000 5045403.10000000, 285866.40000000 5045421.70000000, 285853.70000000 5045440.40000000, 285839.00000000 5045461.40000000, 285824.40000000 5045482.50000000, 285819.80000000 5045489.40000000, 285810.16540000 5045502.79890000)"
Vélo-Express Chomedey projeté,"LINESTRING  ( 286536.83280000 5044386.05970000, 286530.10000000 5044394.10000000, 286514.40000000 5044415.60000000, 286500.00000000 5044436.30000000, 286474.40000000 5044473.00000000, 286455.80000000 5044500.00000000, 286431.10000000 5044535.70000000, 286369.50000000 5044624.30000000, 286309.70000000 5044710.10000000, 286303.50000000 5044719.10000000, 286279.40000000 5044753.60000000, 286264.30000000 5044775.50000000, 286253.40000000 5044791.20000000, 286243.60000000 5044806.30000000, 286243.50000000 5044806.50000000, 286227.90000000 5044827.60000000, 286210.30000000 5044853.00000000, 286209.90000000 5044853.70000000, 286186.60000000 5044887.30000000, 286179.00000000 5044898.30000000, 286175.90000000 5044902.70000000, 286158.19740000 5044927.82550000, 286137.32740000 5044957.53440000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 275065.71900000 5046401.74870000, 275064.61460000 5046402.73250000, 275063.21050000 5046402.81070000, 275061.21680000 5046401.92450000, 275059.17420000 5046402.17530000, 275055.12150000 5046403.70960000, 275038.21000000 5046411.81790000, 275026.27990000 5046418.27790000, 275017.49670000 5046423.50320000, 275007.92190000 5046429.95660000, 274990.74670000 5046442.05560000, 274970.20150000 5046459.05370000, 274935.27640000 5046486.35870000, 274894.74230000 5046518.42630000, 274818.22460000 5046579.06890000, 274783.93450000 5046606.47980000, 274756.10030000 5046628.70480000, 274715.35440000 5046660.98400000, 274680.85260000 5046689.66500000, 274676.40760000 5046693.26330000, 274673.55010000 5046695.80330000, 274646.13920000 5046721.94420000, 274642.54090000 5046725.33090000, 274640.10670000 5046727.44750000, 274636.93170000 5046730.41090000, 274629.10010000 5046737.07840000, 274622.00920000 5046743.21670000, 274611.00310000 5046751.93350000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 290199.33710000 5050817.77440000, 290207.94560000 5050830.31270000, 290208.93590000 5050831.62370000, 290209.77380000 5050832.61410000, 290210.72760000 5050833.62800000, 290222.21310000 5050844.88450000, 290223.44050000 5050845.97790000, 290224.34880000 5050846.62030000, 290225.13730000 5050847.07490000, 290226.95370000 5050848.18540000, 290228.32980000 5050849.26050000, 290229.48290000 5050850.29530000, 290275.12100000 5050896.29360000, 290293.51230000 5050914.53010000, 290309.83660000 5050930.33300000, 290320.79950000 5050940.71130000, 290329.89630000 5050949.09450000, 290339.51710000 5050957.75260000, 290345.83960000 5050963.49820000, 290351.37520000 5050968.36020000, 290368.32500000 5050983.44470000, 290381.44260000 5050994.94050000, 290395.34920000 5051006.87990000, 290411.61440000 5051020.52790000, 290426.06440000 5051032.28740000, 290448.57660000 5051050.14460000, 290457.11060000 5051057.01350000, 290481.40290000 5051075.85840000, 290496.74880000 5051087.82660000, 290497.27180000 5051088.29830000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 278712.94620000 5043124.05370000, 278711.97230000 5043124.72170000, 278710.98200000 5043125.55960000, 278692.85790000 5043142.82680000, 278691.06740000 5043144.51690000, 278686.47120000 5043149.45430000, 278678.60400000 5043158.14860000, 278673.47610000 5043164.28220000, 278668.34820000 5043170.41590000, 278662.05530000 5043178.72830000, 278648.78920000 5043196.56760000, 278619.13330000 5043236.58820000, 278592.13840000 5043273.71870000, 278564.98980000 5043311.13180000, 278535.48890000 5043352.41520000, 278507.47760000 5043391.70610000, 278479.04140000 5043432.14240000, 278450.56750000 5043472.88510000, 278422.53520000 5043513.23410000, 278394.03260000 5043554.35720000, 278366.29740000 5043594.66980000, 278337.94330000 5043635.77460000, 278328.71570000 5043649.04670000, 278309.07710000 5043677.62090000, 278280.25780000 5043719.23530000, 278251.67570000 5043760.63210000, 278223.84800000 5043800.80520000, 278196.04900000 5043840.59790000, 278168.46380000 5043880.28880000, 278140.26870000 5043920.84640000, 278111.65010000 5043961.94600000, 278084.11560000 5044001.74390000, 278055.75630000 5044043.11330000, 278027.35530000 5044084.45010000, 277998.49820000 5044126.37070000, 277969.30090000 5044168.89860000, 277941.47190000 5044209.67500000, 277912.79600000 5044251.53570000, 277884.92540000 5044292.27960000, 277859.22450000 5044329.81650000, 277829.78480000 5044372.82660000, 277801.01110000 5044414.81230000, 277772.06010000 5044457.19680000, 277743.86890000 5044498.09320000, 277714.39800000 5044540.54150000, 277683.94450000 5044584.50540000, 277661.84690000 5044616.46350000, 277641.28990000 5044646.38520000, 277620.86590000 5044676.00790000, 277599.98040000 5044706.47870000, 277581.18010000 5044733.65280000, 277561.82110000 5044761.83130000, 277550.24900000 5044778.57680000, 277545.00880000 5044786.83290000, 277542.55890000 5044790.82830000, 277540.48020000 5044794.77800000, 277538.40430000 5044799.66980000, 277537.28870000 5044802.55870000, 277536.14850000 5044806.16700000, 277535.46100000 5044808.75890000, 277534.80490000 5044811.49680000, 277534.53500000 5044813.90490000, 277533.61230000 5044819.89930000, 277533.27600000 5044820.84530000, 277532.76390000 5044821.58680000, 277532.12280000 5044821.89160000, 277531.03210000 5044821.91250000, 277517.52580000 5044819.46790000)"
Vélo-Express Dagenais projeté,"LINESTRING  ( 281749.33570000 5048825.05310000, 281742.34800000 5048825.60580000, 281714.05800000 5048827.77870000, 281697.91040000 5048829.36570000, 281663.46310000 5048832.97320000, 281661.07450000 5048833.32300000, 281659.10420000 5048833.39530000, 281653.50010000 5048833.34830000, 281617.82150000 5048833.37480000, 281600.94480000 5048834.08990000, 281568.41060000 5048835.62470000, 281557.53480000 5048836.39460000, 281553.17590000 5048836.81670000, 281551.35220000 5048836.70140000, 281549.11800000 5048836.46670000, 281541.44060000 5048835.34540000, 281538.44950000 5048834.77960000, 281536.97370000 5048834.73460000, 281534.81420000 5048834.80190000, 281517.29790000 5048835.68030000, 281492.80830000 5048837.64110000, 281467.95640000 5048840.18350000, 281439.14840000 5048843.66420000, 281426.47510000 5048845.53680000, 281413.91210000 5048848.04440000, 281401.49100000 5048851.18060000, 281389.24330000 5048854.93760000, 281346.32230000 5048868.74640000, 281321.06190000 5048876.71120000, 281296.16510000 5048883.95270000, 281282.20540000 5048888.01300000, 281268.09950000 5048891.53200000, 281253.86840000 5048894.50450000, 281239.53330000 5048896.92610000, 281225.11540000 5048898.79310000, 281213.91900000 5048899.71550000, 281208.03610000 5048900.27890000, 281202.27510000 5048901.59760000, 281193.36060000 5048903.13870000, 281184.36960000 5048904.14230000, 281175.33460000 5048904.60470000, 281166.28820000 5048904.52420000, 281157.26280000 5048903.90120000, 281140.24340000 5048902.99380000, 281121.96730000 5048900.60090000, 281097.47270000 5048897.21680000, 281073.08370000 5048893.14090000, 281048.81970000 5048888.37670000, 281027.24270000 5048883.06820000, 281005.84970000 5048877.06080000, 280984.66330000 5048870.36100000, 280963.70600000 5048862.97580000, 280940.46570000 5048853.70450000, 280917.46250000 5048843.85960000, 280894.71060000 5048833.44690000, 280880.13910000 5048825.99500000, 280865.79730000 5048818.10990000, 280827.55660000 5048795.88840000, 280814.19260000 5048788.36850000, 280800.00780000 5048780.61000000, 280759.42930000 5048757.77070000, 280671.40160000 5048708.63800000, 280646.35670000 5048694.40940000, 280598.33680000 5048668.07310000, 280581.07930000 5048658.31690000, 280571.86010000 5048652.69310000, 280563.00470000 5048646.51220000, 280547.16420000 5048634.94210000, 280529.62130000 5048621.94120000, 280523.19250000 5048617.01920000, 280517.90550000 5048613.10680000, 280515.56380000 5048611.07580000, 280513.18110000 5048608.71070000, 280510.14420000 5048605.77350000, 280495.13370000 5048592.98200000, 280490.58910000 5048589.12920000, 280486.96910000 5048585.89810000, 280482.77250000 5048582.11570000, 280425.85370000 5048527.97580000, 280361.29410000 5048465.95260000, 280341.36850000 5048447.36320000, 280333.58520000 5048440.33650000, 280325.49330000 5048433.66740000, 280311.01720000 5048423.47960000)"
Vélo-Express Saint-Martin projeté,"LINESTRING  ( 282055.27130000 5044876.05430000, 282065.36820000 5044882.83410000)"
