id_station,timestamp_local,compte_dir_nord,compte_dir_sud,compte_dir_est,compte_dir_ouest,compte_total
V01,2020-06-17T15:30:00-04,,,5,1,6
V01,2020-06-17T15:45:00-04,,,9,2,11
V01,2020-06-17T16:00:00-04,,,4,4,8
V01,2020-06-17T16:15:00-04,,,9,4,13
V01,2020-06-17T16:30:00-04,,,6,6,12
V01,2020-06-17T16:45:00-04,,,5,6,11
V01,2020-06-17T17:00:00-04,,,13,4,17
V01,2020-06-17T17:15:00-04,,,11,3,14
V01,2020-06-17T17:30:00-04,,,10,5,15
V01,2020-06-17T17:45:00-04,,,4,3,7
V01,2020-06-17T18:00:00-04,,,14,6,20
V01,2020-06-17T18:15:00-04,,,9,3,12
V01,2020-06-17T18:30:00-04,,,6,12,18
V01,2020-06-17T18:45:00-04,,,12,2,14
V01,2020-06-17T19:00:00-04,,,4,2,6
V01,2020-06-17T19:15:00-04,,,6,6,12
V01,2020-06-17T19:30:00-04,,,7,5,12
V01,2020-06-17T19:45:00-04,,,10,9,19
V01,2020-06-17T20:00:00-04,,,8,9,17
V01,2020-06-17T20:15:00-04,,,5,4,9
V01,2020-06-17T20:30:00-04,,,5,12,17
V01,2020-06-17T20:45:00-04,,,5,3,8
V01,2020-06-17T21:00:00-04,,,2,4,6
V01,2020-06-17T21:15:00-04,,,4,2,6
V01,2020-06-17T21:30:00-04,,,3,1,4
V01,2020-06-17T21:45:00-04,,,2,3,5
V01,2020-06-17T22:00:00-04,,,2,2,4
V01,2020-06-17T22:15:00-04,,,1,0,1
V01,2020-06-17T22:30:00-04,,,0,0,0
V01,2020-06-17T22:45:00-04,,,0,1,1
V01,2020-06-17T23:00:00-04,,,0,2,2
V01,2020-06-17T23:15:00-04,,,0,0,0
V01,2020-06-17T23:30:00-04,,,1,0,1
V01,2020-06-17T23:45:00-04,,,0,0,0
V01,2020-06-18T00:00:00-04,,,1,0,1
V01,2020-06-18T00:15:00-04,,,0,0,0
V01,2020-06-18T00:30:00-04,,,0,0,0
V01,2020-06-18T00:45:00-04,,,0,0,0
V01,2020-06-18T01:00:00-04,,,0,0,0
V01,2020-06-18T01:15:00-04,,,1,0,1
V01,2020-06-18T01:30:00-04,,,0,0,0
V01,2020-06-18T01:45:00-04,,,0,0,0
V01,2020-06-18T02:00:00-04,,,0,0,0
V01,2020-06-18T02:15:00-04,,,0,0,0
V01,2020-06-18T02:30:00-04,,,0,0,0
V01,2020-06-18T02:45:00-04,,,0,0,0
V01,2020-06-18T03:00:00-04,,,0,0,0
V01,2020-06-18T03:15:00-04,,,0,0,0
V01,2020-06-18T03:30:00-04,,,0,0,0
V01,2020-06-18T03:45:00-04,,,0,0,0
V01,2020-06-18T04:00:00-04,,,0,0,0
V01,2020-06-18T04:15:00-04,,,0,0,0
V01,2020-06-18T04:30:00-04,,,0,0,0
V01,2020-06-18T04:45:00-04,,,0,0,0
V01,2020-06-18T05:00:00-04,,,0,1,1
V01,2020-06-18T05:15:00-04,,,0,1,1
V01,2020-06-18T05:30:00-04,,,1,1,2
V01,2020-06-18T05:45:00-04,,,1,0,1
V01,2020-06-18T06:00:00-04,,,0,1,1
