ï»¿id,nom_batiment,municipalite,usage,adresse,superficie
,Glace ValÃ©rie Maltais,94068,"Transports, communications et services publics",1000 Rue AimÃ©-Gravel,3958.38
,Centre communautaire Fernand-DesgagnÃ©s,94068,"Transports, communications et services publics",1601 Rue Victor-Guimond,154.94
,Centre communautaire Place des copains,94068,"Transports, communications et services publics",53A Place des Copains,156.6
,Pavillon piscine Rosaire-Gauthier,94068,"Transports, communications et services publics",710 Rue BÃ©gin,162.09
,Chalet Mont-BÃ©lu,94068,"Transports, communications et services publics",4855 Boulevard de la Grande-Baie Sud,422.55
,Poste de surpression S-80,94068,"Transports, communications et services publics",3253 Chemin Saint-Louis,162.81
,Pavillon piscine St-Alexis,94068,"Transports, communications et services publics",1391 Rue Alexis-Simard,179.5
,Centre communautaire Hamel Fradette,94068,"Transports, communications et services publics",393 Rue Jeanne-Le Ber,169.1
,Ãge d'or SÃ©rÃ©nitÃ©,94068,"Transports, communications et services publics",2975 Boulevard Saint-Jean-Baptiste,264.37
,Centre communautaire Don-Bosco,94068,"Transports, communications et services publics",199 Rue Belleau,172
,EntrepÃ´t du Barrage,94068,"Transports, communications et services publics",3407 Rue du Barrage,176.46
,Ãdifice administratif RiviÃ¨re-du-moulin,94068,"Transports, communications et services publics",109 Rue Jean-Langevin,184.68
,Centrale hydroÃ©lectrique,94068,"Transports, communications et services publics",3941 Rue Saint-Damase,186.33
,Centre communautaire Diamant,94068,"Transports, communications et services publics",230 Rue du Diamant,187.32
,MusÃ©e William Price,94068,"Transports, communications et services publics",1994 Rue Price,278.68
,EntrepÃ´t Cap St-FranÃ§ois,94068,"Transports, communications et services publics",1791 Rue Roussel,196.73
,Pavillon service Richelieu + mÃ©canique,94068,"Transports, communications et services publics",860 Rue Boily,156.64
,Garage entrepÃ´t Mont-BÃ©lu,94068,"Transports, communications et services publics",4835 Boulevard de la Grande-Baie Sud,196.68
,Centre communautaire du Bassin,94068,"Transports, communications et services publics",5673 Boulevard Talbot,201.01
,Centre communautaire Maurice Gauthier,94068,"Transports, communications et services publics",122 Rue LabontÃ©,223.63
,Moulin Riverin (environnement),94068,"Transports, communications et services publics",205 Rue Price Ouest,234.75
,Centre communautaire Carrefour KÃ©no,94068,"Transports, communications et services publics",1930 Rue Bourassa,226.33
,BÃ¢timent administratif zone portuaire,94068,"Transports, communications et services publics",49 Rue La Fontaine,227.34
,Centre communautaire Bon-Air,94068,"Transports, communications et services publics",246 Rue Colbert,238.31
,Centre communautaire St-Jean-Baptiste,94068,"Transports, communications et services publics",2805 Boulevard Saint-Jean-Baptiste,243.07
,Centre communautaire LÃ©onard ChrÃ©tien,94068,"Transports, communications et services publics",1410 Rue des CÃ¨dres,245.52
,Chalet principal Base plein air,94068,"Transports, communications et services publics",8450 Chemin des Portageurs,250.43
,Centre communautaire Pibrac,94068,"Transports, communications et services publics",3525 Rue Saint-Dominique,258.46
,BÃ¢timent principal Chute Garneau,94068,"Transports, communications et services publics",2443 Rang Saint-Pierre,426.99
,Chalet NorvÃ©gien,94068,"Transports, communications et services publics",4885 Chemin Saint-BenoÃ®t,364.81
,EntrepÃ´t d'abrasifs 1 Chicoutimi (dÃ´me),94068,"Transports, communications et services publics",550 Boulevard du Saguenay Ouest,119.31
,Promotion Saguenay,94068,"Transports, communications et services publics",295 Rue Racine Est,286.09
,BibliothÃ¨que LaterriÃ¨re,94068,"Transports, communications et services publics",6168 Rue Notre-Dame,482.84
,Chalet Centre plein air Bec-Scie,94068,"Transports, communications et services publics",7400 Chemin des Chutes,484.08
,Garage entrepÃ´t Vimy,94068,"Transports, communications et services publics",2025 Rue de Vimy,322.68
,Centre communautaire St-Jean-Eudes,94068,"Transports, communications et services publics",2221 Boulevard du Saguenay,327.15
,EntrepÃ´t Jacques Lavoie,94068,"Transports, communications et services publics",3552 Rue du Parc-Industriel,331.98
,EntrepÃ´t de jouets,94068,"Transports, communications et services publics",2585 Rue Roussel,353.63
,Centre communautaire St-Mathias,94068,"Transports, communications et services publics",2320 Rue Poitras,367.99
,Centre communautaire St-Philippe,94068,"Transports, communications et services publics",2157 Rue Saint-RÃ©gis,379.62
,EntrepÃ´t HygiÃ¨ne milieu et Signalisation,94068,"Transports, communications et services publics",183 Rue Joseph-GagnÃ© Sud,497.48
,EntrepÃ´t Ecce-Mundo,94068,"Transports, communications et services publics",1088 Rue Nil-Tremblay,400.06
,Centre communautaire Murdock,94068,"Transports, communications et services publics",815 Rue Murdock,425.95
,Les Halles de la RiviÃ¨re-aux-Sables,94068,"Transports, communications et services publics",2310 Rue de la RiviÃ¨re-aux-Sables,436.1
,Pavillon Price,94068,"Transports, communications et services publics",3405 Rue du Barrage,444.87
,Centre communautaire St-Nom-de-JÃ©sus,94068,"Transports, communications et services publics",850 Rue LÃ©onidas-BÃ©langer,494.53
,Ãdifice G Lebeau,94068,"Transports, communications et services publics",486 Boulevard du Saguenay Ouest,514.93
,Ãdifice administratif Chicoutimi-Nord,94068,"Transports, communications et services publics",2587 Rue Roussel,527.84
,Centre communautaire Nikitoutagan,94068,"Transports, communications et services publics",2330 Rue de la RiviÃ¨re-aux-Sables,520.41
,Hydro-JonquiÃ¨re,94068,"Transports, communications et services publics",1710 Rue Sainte-Famille,1149.47
,Centre communautaire St-Alphonse,94068,"Transports, communications et services publics",482 Rue Albert,536.8
,Ãdifice de la police,94068,"Transports, communications et services publics",2010 Rue Powell,565.31
,Maison des aÃ®nÃ©s,94068,"Transports, communications et services publics",659 5e Rue,568.86
,Centre communautaire Shipshaw,94068,"Transports, communications et services publics",1983 Rue de la Montagne,725.58
,Ãdifice Burma,94068,"Transports, communications et services publics",2180 Rue Burma,620.72
,Ãdifice administratif La Baie,94068,"Transports, communications et services publics",422 Rue Victoria,599.65
,Ãdifice administratif LaterriÃ¨re,94068,"Transports, communications et services publics",6166 Rue Notre-Dame,654.84
,Centre communautaire Rosaire-Gauthier,94068,"Transports, communications et services publics",700 Rue BÃ©gin,604.47
,Centre communautaire St-Michel,94068,"Transports, communications et services publics",3699 Rue Saint-Michel,628.1
,Usine d'Ã©puration La Baie,94068,"Transports, communications et services publics",100 6e Rue,652.72
,Chantier du PÃ¨re Alex,94068,"Transports, communications et services publics",701 Rue Cabot,794.94
,Pavillon St-Jacques,94068,"Transports, communications et services publics",2100 Rue Gilbert,695.49
,BÃ¢timent principal Pont Arnaud,94068,"Transports, communications et services publics",1887 Rue de la Manic,375.74
,Ãdifice administratif JonquiÃ¨re,94068,"Transports, communications et services publics",2354 Rue Saint-Dominique,710.94
,CollÃ¨ge St-Ãdouard,94068,"Transports, communications et services publics",1331 2e Avenue,711.55
,Ãdifice administratif Lac KÃ©nogami,94068,"Transports, communications et services publics",3000 Chemin de l'Ãglise,744.99
,Ãdifice administratif Port-Alfred,94068,"Transports, communications et services publics",491 Boulevard de la Grande-Baie Sud,941.62
,Ãdifice administratif Shipshaw,94068,"Transports, communications et services publics",3760 Route Saint-LÃ©onard,741.91
,BibliothÃ¨que Arvida,94068,"Transports, communications et services publics",2850 Place Davis,830.36
,Centre communautaire St-Antoine,94068,"Transports, communications et services publics",401 Rue du Stade,938.27
,Chalet Mont-Fortin,94068,"Transports, communications et services publics",3492 Rue Radin,1083.94
,Ãcole la source / 3iÃ¨me Ã©tage,94068,"Transports, communications et services publics",129 Rue Jacques-Cartier Est,1009.02
,Centre commÃ©moratif Price,94068,"Transports, communications et services publics",3865 Rue du Roi-Georges,1121.04
,BÃ¢timent d'accueil Club de Golf,94068,"Transports, communications et services publics",851 4e Rue,1172.34
,Ãdifice GUAT,94068,"Transports, communications et services publics",216 Rue Racine Est,1221.21
,Caserne Secteur Sud,94068,"Transports, communications et services publics",444 Boulevard de l'UniversitÃ© Est,1238.04
,Usine d'Ã©puration Chicoutimi,94068,"Transports, communications et services publics",1740 Rang Saint-Martin,2612.14
,Usine de filtration JonquiÃ¨re,94068,"Transports, communications et services publics",2384 Rue de la RiviÃ¨re-aux-Sables,1574.58
,Usine de filtration Arvida,94068,"Transports, communications et services publics",2699 Rue De La Salle,3214.45
,HÃ´tel de ville Saguenay,94068,"Transports, communications et services publics",201 Rue Racine Est,1322.85
,Quartier GÃ©nÃ©ral de la Police,94068,"Transports, communications et services publics",2890 Place Davis,1384.91
,Usine de filtration Chicoutimi,94068,"Transports, communications et services publics",1785 Rue de la Manic,1838.81
,Gare multimodale,94068,"Transports, communications et services publics",2439 Rue Saint-Dominique,1495.85
,AÃ©rogare Bagotville,94068,"Transports, communications et services publics",7000 Chemin de l'AÃ©roport,1713.82
,Ãglise Sainte-ThÃ©rÃ¨se,94068,"Transports, communications et services publics",2811 Boulevard du Saguenay,1185.3
,Centre matiÃ¨res rÃ©siduelles,94068,"Transports, communications et services publics",1185 Rue Antonio-Lemaire,3429.96
,Garage municipal La Baie,94068,"Transports, communications et services publics",223 Rue Joseph-GagnÃ© Sud,1886
,Atelier immeubles Chicoutimi,94068,"Transports, communications et services publics",317 Rue Savard,1097.69
,Centre communautaire Christ-Roi,94068,"Transports, communications et services publics",370 Rue Sainte-Anne,1619.58
,Ãglise St-Luc / Sous-sol,94068,"Transports, communications et services publics",200 Rue du RÃ©gent,2085.65
,Atelier immeubles JonquiÃ¨re,94068,"Transports, communications et services publics",3560 Boulevard du Royaume,2271.69
,Hangar zone portuaire,94068,"Transports, communications et services publics",35 Rue La Fontaine,2362.63
,Pavillon sportif KÃ©nogami,94068,"Transports, communications et services publics",1935 Rue Bourassa,2479.03
,Palestre Johnny-Gagnon,94068,"Transports, communications et services publics",420 Rue Cimon,2486.49
,ArÃ©na Marina-Larouche,94068,"Transports, communications et services publics",630 Rue de l'ArÃ©na,3236.45
,Pavillon de l'agriculture,94068,"Transports, communications et services publics",350 Boulevard de l'UniversitÃ© Est,2558.74
,Pulperie,94068,"Transports, communications et services publics",300 Rue Dubuc,2762.85
,EntrepÃ´t des loisirs,94068,"Transports, communications et services publics",3507 Boulevard Saint-FranÃ§ois,3927.8
,Palais des sports,94068,"Transports, communications et services publics",2315 Rue Pelletier,4547.49
,Ãdifice du Roi-Georges,94068,"Transports, communications et services publics",3501 Rue du Roi-Georges,8518.93
,ThÃ©Ã¢tre du Palais municipal,94068,"Transports, communications et services publics",1831 6e Avenue,6048.3
,Ãdifice J. Dominique Guay,94068,"Transports, communications et services publics",155 Rue Racine Est,5320.27
,Centre Georges-VÃ©zina,94068,"Transports, communications et services publics",643 Rue BÃ©gin,5692.27
,Foyer des Loisirs,94068,"Transports, communications et services publics",1910 Rue du Centre,6812.71
,Poste de police de quartier,94068,"Transports, communications et services publics",315 Rue de l'HÃ´tel-de-Ville,534.59
,Carrefour Racine,94068,"Transports, communications et services publics",400 Rue Racine Est,4381.19
,Poste de pompage # S-5 Barachois,94068,"Transports, communications et services publics",3771 Boulevard de la Grande-Baie Sud,4
,Centre culturel du Mont-Jacob,94068,"Transports, communications et services publics",4160 Rue du Vieux-Pont,2873.02
,MusÃ©e du Fjord,94068,"Transports, communications et services publics",3342 Boulevard de la Grande-Baie Sud,2162.32
,Ãtangs aÃ©rÃ©s Shipshaw Nord,94068,"Transports, communications et services publics",3780 Chemin du BoisÃ©,58.66
,Caserne Mellon,94068,"Transports, communications et services publics",2222 Boulevard Mellon,778.12
,Stade KÃ©nogami,94068,"Transports, communications et services publics",3550 Rue Cabot,87.05
,RÃ©servoir du Royaume,94068,"Transports, communications et services publics",680 Boulevard du Royaume Ouest,24.27
,Poste de pompage # S-6 Centre J-C Tremblay,94068,"Transports, communications et services publics",988 Rue AimÃ©-Gravel,29.88
,Centre Paul-Ãtienne-Simard,94068,"Transports, communications et services publics",4667 Chemin de l'Ãglise,1858.47
,Centre communautaire JonquiÃ¨re-Nord,94068,"Transports, communications et services publics",821 MontÃ©e DuperrÃ©,524.76
