nom_evenement,date,elu_representant
"Vernissage de l'exposition « Les années 60, une ère de changement »",2017-04-27,Frantz Benjamin
"Rencontre de courtoisie avec la consule générale de Tunisie, Mme Lamia Kedadi Siala",2017-04-27,Denis Coderre
"Rencontre de courtoisie avec la consule générale de Cuba, Mme Mara Bilbao Diaz",2017-04-28,Denis Coderre
Journée d'accueil des jeunes des centres jeunesse (plan municipal d'emplois),2017-04-29,Denis Coderre
Petit déjeuner forum décisionnel de tourisme Montréal,2017-05-01,Denis Coderre
Gala de remise de prix du défi entrepreneurial « ose entreprendre »,2017-05-02,Harout Chitilian
Accueil à l'occasion du 24e congrès mondial sur les systèmes de transports intelligents,2017-05-03,Aref Salem et Harout Chitilian
Lancement de l'avis sur la conciliation famille-travail des élus/élues,2017-05-04,Frantz Benjamin et Manon Gauthier
Visite guidée de l'hôtel de ville avec accueil protocolaire - Centre Lasallien de Saint-Michel,2017-05-05,Frantz Benjamin
"Rencontre de courtoisie de son excellence M. John McCallum, ambassadeur du Canada en Chine",2017-05-05,Denis Coderre
Lancement du gala de la diversité,2017-05-05,Frantz Benjamin
"Comité de pilotage Montréal, métropole culturelle et lancement du coup d'oeil 2017",2017-05-08,Denis Coderre
Signature du livre d'or des membres du conseil d'administration d'info-crime Montréal dans le cadre du lancement de la semaine d'info-crime,2017-05-08,Anie Samson
"Vernissage et conférence de l'exposition - Montréal, Nouveau Monde",2017-05-09,Denis Coderre
Visite guidée de l'hôtel de ville avec accueil protocolaire - École de la visitation ,2017-05-10,Mme Pagé
Signature du livre d'or des délégués internationaux du concours musical international de Montréal,2017-05-12,Denis Coderre
"Accueil de courtoisie d'une délégation d'affaires de Dubaï et de son excellence monsieur Fahad Al Gergawi, chief executive officer of Dubaï FDI",2017-05-16,Denis Coderre
Messe anniversaire de Montréal et Hommage aux fondateurs Jeanne Mance et Paul de Chomedey sieur de Maisonneuve,2017-05-17,Denis Coderre
Déjeuner - Hommage aux peuples autochtones,2017-05-17,Denis Coderre
Remise de l'Ordre de Montréal,2017-05-17,Denis Coderre
Événement anniversaire  de Montréal au Musée Point-à-callière,2017-05-17,Denis Coderre
Soirée anniversaire de Montréal,2017-05-17,Denis Coderre
"Rencontre de courtoisie de départ de l'ambassadeur de France au Canada, son excellence Nicolas Chapuis",2017-05-19,Denis Coderre
"Rencontre de courtoisie avec M. Pascal Smet, ministre de la mobilité et des travaux de Bruxelles Capitale, Belgique",2017-05-19,Aref Salem
Rencontre avec la consule générale des États-Unis,2017-05-23,Denis Coderre
Visite guidée de l'hôtel de ville avec accueil protocolaire - Gilles Samson et son épouse,2017-05-23,Frantz Benjamin
Dîner du corps consulaire ,2017-05-24,Denis Coderre
"Petit déjeuner, bureau du cinéma et de la télévision du Québec",2017-05-25,Denis Coderre
Lancement du projet intégration - travail - formation ,2017-05-25,Denis Coderre
"Accueil des membres du parlement hellenique, Grèce",2017-05-25,Mary Deros
"Rencontre de courtoisie, consule générale du Brésil, Mme Maria Elisa Teofilo de Luna",2017-05-25,Denis Coderre
Visite guidée de l'hôtel de ville avec accueil protocolaire - Association des professeurs d'histoire des collèges du Québec,2017-05-31,Frantz Benjamin
Accueil des nouveaux employés de la ville de Montréal,2017-06-01,Mme Forget
Visite guidée de l'hôtel de ville avec accueil protocolaire - École primaire Bienville,2017-06-01,Mme Burnet
Visite guidée de l'hôtel de ville avec accueil protocolaire - Next City,2017-06-02,M. Lavoie
Rencontre de courtoisie - délégation parlementaire d'Haïti,2017-06-02,Denis Coderre
Accueil des jeunes persévérants de la commission scolaire de la Pointe-de-l'île,2017-06-05,Frantz Benjamin
"Rencontre de courtoisie avec le maire de Bologne, Italie, M. Virginio Merola",2017-06-06,Denis Coderre
"Lancement du site internet, mémoires d'immigrations",2017-06-06,Jim Beis
Accueil de Joshua Clarke - Scynikal,2017-06-07,Frantz Benjamin
100e anniversaire de la fédération CJA,2017-06-07,Denis Coderre
Accueil des jeunes persévérants de la commission scolaire de Montréal,2017-06-09,Frantz Benjamin
"Accueil de monsieur Jean Todt, président de la Fédération internationale de l'automobile et envoyé spécial du secrétaire général de l'ONU pour la sécurité routière",2017-06-13,Denis Coderre
Remise de la version tagalog de la charte montréalaise des droits et responsabilités,2017-06-13,Denis Coderre
Remise de la bourse Phyllis-Lambert 2017,2017-06-13,Manon Gauthier
Réception à l'occasion de l'assemblée générale annuelle et congrès 2017 de l'alliance des villes et des Grands Lacs du Saint-Laurent,2017-06-14,Denis Coderre
Accueil des jeunes persévérants de la commission scolaire Marguerite-Bourgeoys,2017-06-15,Frantz Benjamin
Assemblée générale des membres de l'International Women's Forum,2017-06-16,Manon Gauthier
Accueil des maires de Dallas et Fort Worth,2017-06-16,Denis Coderre
Cocktail dînatoire de la 17e conférence de l'observatoire international de la démocratie participative,2017-06-16,Denis Coderre
"Rencontres bilatérales avec Lausanne, la région Bruxelles-Capitale, Berlin et Douala",2017-06-18,Denis Coderre
"Rencontres bilatérales avec Bamako, Genève, Buenos Aires, Johannesburg, Beyrouth",2017-06-19,Denis Coderre
Séance solennelle d'ouverture de la 37e assemblée générale de l'association internationale des maires francophones,2017-06-20,Denis Coderre
Commission de l'AIMF sur le vivre ensemble,2017-06-20,Denis Coderre
"Accueil des jeunes persévérants des commissions scolaires de EMBS et LBPSB, ainsi que des boursiers du fonds 1804 pour la persévérance scolaire",2017-06-20,Frantz Benjamin
Cérémonie de signature de l'observatoire international des maires,2017-06-21,Denis Coderre
Rencontre bilatérale avec Strasbourg et Michaëlle Jean,2017-06-21,Denis Coderre
Cérémonie spéciale de citoyenneté dans le cadre de la journée nationale des autochtones,2017-06-21,Denis Coderre
Congrès mondial Metropolis 2017 - Dîner du président,2017-06-21,Denis Coderre
"Accueil du commandant du navire Amerigo Vespucci, monsieur Angelo Pastruno",2017-06-22,Francesco Miele
Cérémonie de clôture du 12e congrès mondial de Metropolis et de la 37e assemblée générale de l'AIMF,2017-06-22,Denis Coderre
"Rencontres bilatérales avec Alger, Porto Novo, Libreville,Thies, Port-au-Prince et Ouagadougou",2017-06-23,Denis Coderre
"Rencontre bilatérale avec le maire de Zahle, Liban, M. Asaad  Zogheib",2017-06-23,Aref Salem
Réception à l'occasion de la fête nationale du Québec à Montréal,2017-06-24,Denis Coderre
L'omelette géante de Granby à Montréal,2017-06-24,Denis Coderre
Vernissage de l'exposition Baseball à Montréal,2017-06-27,Denis Coderre
Visite guidée des nouveaux employés,2017-06-29,Harout Chitilian
Accueil des jeunes de l'équipe de Football de l'école secondaire Louis-Joseph Papineau,2017-06-29,Frantz Benjamin
"Accueil d'une délégation de la région d'Abruzzo, Italie",2017-06-29,Giovanni Rapanà
"Accueil de la mairesse de Caplan, Mme Lise Castilloux, et Mme Chantal Fontaine dans le cadre de la Petit Séduction",2017-06-29,Denis Coderre
"Rencontre de départ avec le consul général d'Allemagne, M. Walter Alexander Leuchs",2017-06-30,Denis Coderre
Réception à l'occasion de la venus à Montréal du navire italien Amerigo Vespucci,2017-06-30,Denis Coderre
Accueil des membres de la communauté hellénique de Montréal,2017-06-30,Denis Coderre
Parade militaire du 375e anniversaire,2017-07-01,Denis Coderre
"Rencontre de courtoisie avec M. Mohammad Khodadadi, directeur du secrétariat au forum des maires",2017-07-04,Denis Coderre
"Association internationale pour la formation, la recherche et l'intervention sociale (AIFRIS)",2017-07-04,Mme Vallée
"Accueil de l'équipage du NCSM Donnacona, remise du drapeau de la ville et signature du livre d'or",2017-07-06,Denis Coderre
Accueil de la sélection nationale Haïti U20,2017-07-10,Frantz Benjamin
Amadou et Mariam - prix nuits d'Afrique pour la Francophonie 2017,2017-07-13,Frantz Benjamin
Événement VIP - Start-Up Fest,2017-07-13,Harout Chitilian
"Soirée de cinéma, Kino et la Serre - 375e",2017-07-20,Frantz Benjamin
"Accueil de courtoisie, ambassadeur du Sénégal au Canada, M. Ousmane Paye",2017-07-25,Denis Coderre
Accueil dans le cadre du 50e anniversaire de la visite de Charles de Gaule et de l'exposition << Charles de Gaule et le balcon de l'hôtel de ville >>,2017-07-25,"Frantz Benjamin, M. Ménard, Anie Samson"
"Accueil de courtoisie, son excellence Mme Kareen Rispal, ambassadrice de France à Ottawa",2017-07-26,Denis Coderre
"Accueil de courtoisie, M. Frabizio Boca et M. Massimo Sprega",2017-07-26,Giovanni Rapanà
"Rencontre de courtoisie, Mme Phillys Yaffe, consule générale du Canada à New York",2017-07-31,Denis Coderre
"Visite guidée de l'hôtel de ville avec accueil protocolaire, employés du service de la culture de l'arrondissement Mercier-Hochelaga-Maisonneuve",2017-08-03,Frantz Benjamin
"Visite guidée de l'hôtel de ville avec accueil protocolaire, membres de la paroisse Saint-Joseph",2017-08-03,Frantz Benjamin
"Visite guidée de l'hôtel de ville avec accueil protocolaire, délégation de la Guadelope ",2017-08-04,Frantz Benjamin
"Rencontre de courtoisie, Mme Louise Blais, consule générale du Canada à Atlanta",2017-08-04,Denis Coderre
"Visite guidée de l'hôtel de ville avec accueil protocolaire, loisir Saint-Jacques",2017-08-04,Frantz Benjamin
Cérémonie de la paix Hiroshima,2017-08-05,Denis Coderre
"Visite guidée de l'hôtel de ville avec accueil protocolaire, membres de Fogolar Furlan, le foyer de Frioul de Montréal",2017-08-11,Francesco Miele
"Visite guidée de l'hôtel de ville avec accueil protocolaire, maison d'Haïti - projet filles",2017-08-14,Anie Samson
Inauguration d'un parc commémoratif pour le 75e anniversaire du raid de Dieppe,2017-08-19,Denis Coderre
Vernissage de l'exposition en dessins << points de vue >>,2017-08-23,Frantz Benjamin
"Accueil de Mme Premola Ghose, bédéiste",2017-08-24,Denis Coderre
"Rencontre de courtoisie, monsieur Martial Pagé, représentant permanent, mission permanente du Canada auprès de l'OACI",2017-08-24,Denis Coderre
"Visite guidée de l'hôtel de ville avec accueil protocolaire, chorale Polifonica de la ville de Ercolano",2017-08-26,Franscesco Miele
Cérémonie des nouveaux employés de la ville de Montréal,2017-08-31,Pierre Desrochers
Inauguration du jardin de Chine au Jardin botanique,2017-08-31,Denis Coderre
Accueil de la délégation de l'association chilienne des municipalités,2017-09-01,Mme Vallée
Cocktail de la rentrée - jeune barreau,2017-09-06,Lionel Perez
Canada Summit - The Economist,2017-09-07,Denis Coderre
Cérémonie d'accueil des nouveaux employés de la ville de Montréal,2017-09-07,Pierre Desrochers
"Rencontre de courtoisie avec Mme Gisèle Khoury, mairesse de Beit Lahiya, Liban",2017-09-07,Aref Salem
Accueil de M. Julien Racicot,2017-09-07,Denis Coderre
Lancement officiel du plan d'action en patrimoine 2017-2022,2017-09-07,Manon Gauthier
Inauguration de la maison des Régions,2017-09-08,Denis Coderre
Accueil de la société historique de Montréal et vernissage de l'exposition Nouvelle-France,2017-09-11,Frantz Benjamin
Accueil de l'organisme d'un oeil différent,2017-09-11,Denis Coderre
Accueil des lauréats 2017 du RÉCOPAC,2017-09-11,Frantz Benjamin
"Lancement du livre de Zebedee Nungak, colonialism on steroids",2017-09-12,Denis Coderre
10e anniversaire de la déclaration des Nations Unies sur les droits des peuples autochtones,2017-09-12,Denis Coderre
Cérémonie de réconciliation,2017-09-13,Denis Coderre
Réception à l'occasion du 10e anniversaire de la déclaration des Nations Unies sur les droits des peuples autochtones,2017-09-13,Denis Coderre
"Accueil des maires de Salaberry-de-Valleyfield, M. Denis Lapointe, et M. Guy Geoffroy de Combs-la-Ville (France)",2017-09-14,Denis Coderre
"Rencontre de courtoisie, délégation d'Irlande",2017-09-14,Denis Coderre
"Petit déjeuner du cercle des leaders, campagne Centraide 2017",2017-09-15,Mme Vallée
Petit déjeuner du Global Child Nutrition Forum,2017-09-20,Mme Duchesne
Journée internationale de la Paix,2017-09-20,Jim Beis
Accueil à l'occasion du 100e anniversaire du repos Saint-François d'Assise,2017-09-20,Denis Coderre
"Finissants 5e anniversaire, association congolaise de Montréal",2017-09-20,Frantz Benjamin
Soirée de remerciement pour le legs de la communauté haïtienne à la ville de Montréal à l'occasion du 375e anniversaire ,2017-09-20,Frantz Benjamin
Lunch du lancement de la campagne Centraide (employés),2017-09-25,Mme Vallée et Denis Coderre
"Photo-op, drapeau Transplant Québec",2017-09-27,Denis Coderre
"Accueil de M. Lawrence J. Hogan jr., gouverneur du Maryland, États-Unis",2017-09-29,Denis Coderre
"Cabaret littéraire, Les écrivains qui célèbrent Montréal, dans le cadre des journées de la culture",2017-09-29,Frantz Benjamin
Réception de bienvenue du 47e championnat du monde de gymnastique artistique (FIG),2017-10-01,Denis Coderre
Vernissage de l'exposition Montréal - Un patrimoine religieux à découvrir,2017-10-10,Frantz Benjamin
Cérémonie de signature de la covention collective de la fraternité des policiers et policières de Montréal,2017-10-11,Denis Coderre
"Accueil du président de la métropole de Lyon, M. David Kimelfeld, et du maire de Lyon, M. Georges Képénékian",2017-10-16,Denis Coderre
Soirée de lancement des entretiens Jacques-Cartier,2017-10-16,Denis Coderre
Entrepreneuriat féminin dans le cadre des entretiens Jacques-Cartier,2017-10-18,Denis Coderre
Cérémonie d'acceuil des nouveaux employés de la ville de Montréal,2017-10-19,Pierre Desrochers
"Rencontre avec Laura Boldrini, présidente de la chambre des députés d'Italie",2017-10-21,Denis Coderre
Lancement de la campagne du Coquelicot à l'hôtel de ville de Montréal,2017-10-26,Denis Coderre
Vernissage de l'exposition Nature insaisissable par les artistes du Centre d'intégration à la vie active (CIVA),2017-10-27,Frantz Benjamin
Accueil du bourgmestre de Bruxelles,2017-10-27,Denis Coderre
Accueil des lauréats du IFTAR 2017 du groupe Atlas Média,2017-10-30,Denis Coderre
"Rencontre de courtoisie, M.-L. Jacques Ménard, président de BMO groupe financier",2017-11-03,Denis Coderre
Cérémonie du Jour du Souvenir,2017-11-11,Denis Coderre et Valérie Plante
Assermentation du maire et des élus municipaux,2017-11-16,Tous les élus
"Rencontre avec le ministre des finances du gouvernement du Canada, l'honorable Bill Morneau",2017-11-16,Valérie Plante
Présentation des membres du comité exécutif de la ville de Montréal,2017-11-20,Valérie Plante
Accueil de l'ambassadrice du Canada en France,2017-11-21,Valérie Plante
"Assermentation de Mme Lisa Christensen, conseillère d'arrondissement",2017-11-22,Valérie Plante
"Accueil du maire de Québec, M. Régis Labeaume",2017-11-23,Valérie Plante
Remise du prix Thérèse-Daviau 2017,2017-11-28,Valérie Plante
"Accueil du sous-ministre des affaires étrangères de Cuba, M. Marcelino Medina González",2017-12-01,Valérie Plante
Signature de la déclaration de Paris visant l'éradication du VIH,2017-12-01,Valérie Plante
Réception de la 8e conférence internationale sur l'éducation aux droits humants,2017-12-01,Valérie Plante
Signature du livre d'or en mémoire des victimes de l'école polytechnique,2017-12-06,"Valérie Plante, Cathy Wong"
Commémoration de la tragédie du 6 décembre 1989,2017-12-06,Valérie Plante
Activités des fêtes des employés de l'hôtel de ville de Montréal,2017-12-11,Cathy Wong
"Rencontre de courtoisie avec le maire de Laval, M. Marc Demers",2017-12-13,Valérie Plante
Soirée de reconnaissance du comité de bénévoles de l'hôtel de ville ,2017-12-14,"Valérie Plante, Cathy Wong"
"Rencontre de courtoisie avec M. Jean-Nicolas Beuze, représentant du Haut Commissariat des Nations unies pour les réfugiés (HRC) au Canada",2017-12-15,Valérie Plante
"Accueil du premier ministre du Canada, le très honorable Justin Trudeau",2017-12-19,Valérie Plante
"Rencontre de courtoisie avec M. Jean-François Lisée, chef de l'opposition officielle",2017-12-19,Valérie Plante
Réception post-comité exécutif,2017-12-20,Valérie Plante
"Déjeuner avec la ministre du patrimoine canadien, l'honorable Mélanie Joly",2017-12-20,Valérie Plante
"Assermentation de M. Martin Prud'homme, directeur par intérim du service de police de la ville de Montréal (SPVM)",2017-12-21,Valérie Plante
Portes ouvertes de Noël,2017-12-23,Valérie Plante
"Rencontre avec M. Pierre Arcand, ministre responsable de l'administration gouvernementale et de la révision permanente des programmes, président du conseil du trésor et ministre responsable de la région",2018-01-11,Valérie Plante
Cérémonie de remise du prix de l'opération patrimoine Montréal,2018-01-11,Christine Gosselin
"Rencontre de courtoisie avec le ministre de l'éducation, du loisir et du sport, M. Sébastien Proulx",2018-01-15,Valérie Plante
"Accueil de la gouverneure générale du Canada, la très honorable Julie Payette",2018-01-15,Valérie Plante
"Accueil du consul général des États-Unis, M. Robert W. Thomas",2018-01-15,Valérie Plante
Journée Martin Luther King jr. ,2018-01-15,Valérie Plante
"Vernissage de l'exposition « le métro, véhicule de notre histoire »",2018-01-17,"Cathy Wong, Éric Alan Caldwell"
"Accueil du premier ministre du Québec, M. Philippe Couillard",2018-01-18,Valérie Plante
"Rencontre de courtoisie avec le doyen du corps consulaire, M. Yury Bedzhanyan",2018-01-18,Valérie Plante
Échange des voeux du nouvel an des chefs de poste du corps consulaire,2018-01-18,Valérie Plante
Rencontre de courtoisie avec le caucus libéral de Montréal,2018-01-19,Valérie Plante
31e simulation du jeune conseil de Montréal - Vin d'honneur,2018-01-19,Cathy Wong 
Accueil de la fondation Air Canada,2018-01-22,Valérie Plante
Chapelle ardente pour le père Emmett Johns « Pops »,2018-01-25,Valérie Plante
"Rencontre avec M. Gaétan Barrette, ministre de la Santé et des services sociaux",2018-01-29,Valérie Plante
Commémoration des attentats de la grande mosquée de Québec,2018-01-29,Valérie Plante
"Accueil d'une délégation de députés de la république en marche, France",2018-01-30,Valérie Plante
Échange de voeux du nouvel an avec les membres des conseils consultatifs,2018-01-31,Cathy Wong
"Rencontre avec M. Guy Pilon, maire de Vaudreuil-Dorion",2018-02-01,Valérie Plante
Lancement de la programmation du mois de l'histoire des Noirs 2018,2018-02-01,"Valérie Plante, Magda Popeanu"
"Rencontre avec l'ambassadeur d'Autriche au Canada, M. Stefen Pehringer, et le consul d'Autriche à Montréal, M. Marc Bissel",2018-02-05,Robert Beaudry
"Rencontre de courtoisie avec Mme Sylvie Parent, mairesse de la ville de Longueil",2018-02-08,Valérie Plante
Remise de prix de la fédération canadienne des municipalités (FCM) aux employés de la ville de Montréal,2018-02-09,Benoit Dorais
Annonce de la nommination de la commissaire aux relations avec les peuples autochtones,2018-02-09,Valérie Plante
"Déjeuner avec Ghislain Picard, chef de l'assemblée des premières nations Québec-Labrador",2018-02-09,Valérie Plante
"Rencontre de courtoisie avec la consule générale de France à Montréal, Mme Catherine Feuillet",2018-02-09,Valérie Plante
"Rencontre de courtoisie avec le consul général de Chine à Montréal, M. Peng Jingtao",2018-02-12,Cathy Wong
Lancement de l'édition 2018 du festival Montréal Joue,2018-02-13,Christine Gosselin
"Visite guidée avec accueil, journée de la persévérance scolaire",2018-02-13,Cathy Wong
Cérémonie d'accueil des nouveaux employés et visite guidée,2018-02-15,Benoit Dorais
Accueil de l'association professionnelle des guides touristiques de Montréal,2018-02-19,Cathy Wong
"Accueil de huit maires d'Arizona, États-Unis",2018-02-23,Robert Beaudry
"Entretien avec M. Pierre Corbeil, maire de Val d'Or et M. Mario Leblanc, directeur général de tourisme Côte-Nord",2018-03-01,Valérie Plante
"Accueil du premier ministre du pays de Galles, le très honorable Carwyn Jones",2018-03-02,Valérie Plante
"Rencontre de courtoisie avec M. Jean d'Amour, ministre délégué aux affaires maritimes",2018-03-02,Valérie Plante
"Rencontre de courtoisie avec M. François Legault, chef du deuxième groupe d'opposition",2018-03-02,Valérie Plante
"Accueil de M. Gino Van Begin, secrétaire général d'ICLEI",2018-03-02,Valérie Plante
Nuit Blanche de Montréal,2018-03-03,"Cathy Wong, Christine Gosselin"
"Entretien avec M. Paul Loftus, président du Irish Society",2018-03-07,Valérie Plante
"Conférence de presse suivi d'un accueil, lancement de la 195e édition du défilé de la Saint-Patrick",2018-03-07,Valérie Plante
"Entretien avec M. Philippe Roy, maire de Ville Mont-Royal",2018-03-07,Valérie Plante
"Entretien avec l'honorable Marc Garneau, ministre des transports du Canada",2018-03-09,Valérie Plante
Petit déjeuner causerie soulignant la journée internationale des femmes,2018-03-12,"Valérie Plante, Rosannie Filato, Suzie Miron"
"Entretien avec la ministre Mélançon, le ministre Ménard et M. Pierre Brodeur, maire de Saint-Lambert",2018-03-12,Valérie Plante
Accueil des participants au programme de parrainage professionnel de la ville de Montréal,2018-03-13,Benoit Dorais
Vernissage de l'exposition 12 poèmes pour Montréal,2018-03-14,Cathy Wong
Visite de courtoisie de la secrétaire générale de l'organisation de l'aviation civile international (OACI),2018-03-15,Valérie Plante
Réception du consulat général de Belgique en l'honneur du roi et de la reine des Belges,2018-03-15,Valérie Plante
"Entretien avec Mme Lise Thériault, ministre responsable de la protection des consommateurs et de l'habitation",2018-03-16,Valérie Plante
"Visite de courtoisie avec le ministre-président du gouvernement de la région Bruxelles-Capitale, M. Rudy Vervoot",2018-03-16,Valérie Plante
"Visite guidée de l'hôtel de ville avec accueil protocolaire, Diller Teen Fellows",2018-03-19,Lionel Perez
"Entretien des membres du comité aviseur de la table sur la diversité, l'inclusion et la lutte aux discriminations",2018-03-19,Valérie Plante
