nom_evenement,date,elu_representant
250e anniversaire de la congrégation des juifs espagnols et portuguais de Montréal,2018-03-20,"Valérie Plante, Magda Popeanu"
Vernissage de l'exposition « Aime comme Montréal » et lancement de la semaine d'actions contre le racisme,2018-03-21,"Valérie Plante, Cathy Wong"
"Accueil de M. Michalis Angelopoulos, maire de Samos, Grèce",2018-03-23,Mary Deros
Visite guidée avec accueil des lauréats du concours 12 poèmes pour Montréal,2018-03-26,Cathy Wong
"Visite guidée de l'hôtel de ville avec accueil protocolaire, école Félix-Leclerc",2018-03-26,Cathy Wong
Cocktail d'ouverture du 11e forum annuel mondial sur le leadership en infrastructure,2018-03-27,Sylvain Ouellet
"Visite de courtoisie du représentant personnel du premier ministre du Canada pour le G7, M. Peter M. Boehm",2018-03-28,Valérie Plante
Cérémonie d'accueil des nouveaux employés de la ville de Montréal,2018-03-29,Benoit Dorais
"Visite guidée de l'hôtel de ville et accueil protocolaire, juge Abdelhadi Al Battah et artiste Salma Rachid",2018-03-29,Abdelhaq Sari
"Visite guidée de l'hôtel de ville et accueil protocolaire, université Besançon",2018-04-03,François Croteau
"Visite de courtoisie du consul général du Japon, M. Kuramitsu Hideaki",2018-04-03,Valérie Plante
"Visite de courtoisie de M. Laurent Wehrli, syndic de Montreux",2018-04-04,Valérie Plante et Christine Gosselin
"Entretien avec la mairesse de Westmount, Mme Christina Smith",2018-04-05,Valérie Plante
"Accueil de M. Jean-Jacques Bernard, vice-président en charge des transports et des déplacements de Rennes métropole, France",2018-04-09,François Croteau
"Accueil de M. Michel Dantin, maire de Chambéry, France",2018-04-09,François Croteau
"Vernissage de l'exposition « Montréal toute garnie! », 39e édition du concours Montréal à l'oeil",2018-04-10,Magda Popeanu
Accueil des jeunes participants au projet soeur de l'école secondaire Pierre-Laporte,2018-04-12,Cathy Wong
Journée du souvenir de l'Holocauste « Yom Hashoa »,2018-04-12,Magda Popeanu
Accueil de M. Mohamed Bajeddoub,2018-04-12,Abdelhaq Sari
"Visite de courtoisie du consul d'Algérie, M. Cheriaf Abdelghani",2018-04-13,Valérie Plante 
"Accueil des consuls généraux d'Allemagne à Montréal, M. Markus Lang et Mme Kathrin Misera-Lang et de l'ambassadrice d'Allemagne au Canada, son excellence Sabine Sparwasser",2018-04-13,Valérie Plante 
"Accueil du consul général d'Israël, M. David Levy",2018-04-13,Valérie Plante 
"Accueil du ministre-président de la fédération Wallonie-Bruxelles, M. Rudy Demotte",2018-04-13,Valérie Plante
"Entretien avec le ministre des Transports, M. André Fortin",2018-04-16,Valérie Plante
"Accueil de M. Pierre Moscovici, commissaire européen aux affaires économiques et financières, fiscalité et douanes",2018-04-17,Valérie Plante
Événement de remise du prix interculturel,2018-04-17,Magda Popeanu
Accueil des jeunes participants au projet soeur de l'école secondaire Pierre-Laporte,2018-04-19,Cathy Wong
"Visite guidée de l'hôtel de ville et accueil protocolaire, école secondaire régionale Héritage",2018-04-19,Cathy Wong
"Remise des insignes de l'Ordre de Montréal, Grands Montréalais",2018-04-20,Valérie Plante
"Accueil du maire de Plattsburgh, M. Colin Read, dans le cadre d'une mission économique à Montréal",2018-04-20,"Valérie Plante, Robert Beaudry"
"Accueil du vice premier ministre de l'Arménie, M. Vaché Gabrielyan",2018-04-23,Valérie Plante
Accueil de la St-Andrews Society dans le cadre du jour du tartan,2018-04-23,"Valérie Plante, Cathy Wong, Sterling Downey"
Semaine du personnel de soutien administratif de la ville de Montréal,2018-04-25,Valérie Plante
Lancement de la série mondiale du plongeon,2018-04-26,Hadrien Parizeau
"Visite de courtoisie du consul général de la Grande-Bretagne, M. Nicolas James Baker",2018-04-27,Valérie Plante
Visite de courtoisie de la délégation de parlementaires français dans le cadre de la 46e réunion annuelle de l'association interparlementaire Canada-France,2018-04-27,Valérie Plante
Journée d'accueil des jeunes des centres jeunesse (plan municipal d'emplois),2018-04-28,"Rosannie Filato, Robert Beaudry"
Lancement du parcours développement durable Montréal 2018,2018-04-30,Valérie Plante
"Visite de courtoisie du consul général de l'Italie, M. Marco Riccardo Rusconi",2018-05-01,Valérie Plante
"Accueil du consul général du Liban, M. Antoine Eid",2018-05-01,Valérie Plante
"Accueil du consul général du Pakistan, M. Muhammad Aamer",2018-05-01,Valérie Plante
"Accueil du consul général de la République de Turquie, M. Deniz Barkan Umruk",2018-05-01,Valérie Plante
"Accueil du consul général de la République de Pologne, M. Dariusz Wisniewski",2018-05-01,Valérie Plante
Journée nationale de l'audition du Québec,2018-05-02,Valérie Plante
"Accueil de M. Charlie Watt Sr., président de Makivik",2018-05-02,Valérie Plante
Vernissage de l'exposition Montréal en Bulles et lancement de la programmation du festival bd de Montréal,2018-05-02,Cathy Wong et Christine Gosselin
"Accueil du commandant du régiment de Maisonneuve, le lieutenant-colonel Jean-François Latreille",2018-05-03,Valérie Plante
Accueil et visite guidée de concertation Montréal (écoles de la commission scolaire de Montréal),2018-05-04,Cathy Wong
Accueil dans le cadre de l'assemblée annuelle des membres de l'association des anciens élus municipaux,2018-05-04,Cathy Wong et Benoit Dorais
Accueil d'une délégation de la Roumanie,2018-05-07,Magda Popeanu
Coup d'oeil 2007-2017 : 10 ans de réalisation culturelles,2018-05-07,Valérie Plante
"Accueil de courtoisie du vice-maire de Barcelone, M. Gerardo Pisarello",2018-05-08,Valérie Plante
Conférence de presse du tour de Silence,2018-05-09,Éric Alan Caldwell
Cérémonie d'accueil des nouveaux employés de la ville de Montréal,2018-05-10,Benoit Dorais
Réception à l'occasion du forum - politiques sociales pour une prospérité partagée : s'ouvrir à l'avenir de l'OCDE,2018-05-13,Magda Popeanu
Forum stratégique tourisme de Montréal,2018-05-14,Valérie Plante
Visite de courtoisie des députés et portes-paroles de Québec solidaire,2018-05-14,Valérie Plante
"Remise des insignes de l'ordre de Montréal, Grands Montréalais",2018-05-14,Valérie Plante
"Accueil du maire d'Athènes, M. Giorgos Kaminis",2018-05-14,Valérie Plante
Remise du prix Laurent-McCutcheon,2018-05-14,Rosanie Filato 
Séminaire préparatoire - mission économique de la mairesse de Montréal au Japon,2018-05-15,Valérie Plante
Accueil des commissions scolaires English-Montréal (CSEM) et Lester-B.-Pearson (CSLBP),2018-05-15,Cathy Wong
Journée internationale du vire-ensemble dans la paix,2018-05-16,Magda Popeanu
Cérémonie de remise des insignes de l'ordre de Montréal,2018-05-17,Valérie Plante
Messe et cérémonie anniversaire de Montréal,2018-05-20,Valérie Plante
Cérémonie de changement de garde du régiment de Maisonneuve suivi d'une réception,2018-05-20,Jocelyn Pauzé
Accueil de la commision scolaire Marguerite-Bourgeoys,2018-05-22,Sterling Downey
25e anniversaire de la convention des Nations Unies sur la diversité biologique,2018-05-22,Valérie Plante
"Visite de courtoisie de M. Alexandre Gagnon, vice-président d'Amazon Canada et Amazon Mexique",2018-05-24,Valérie Plante
"Accueil et visite guidée, programme de stage parlementaire",2018-05-25,Sophie Mauzerolle
Journée nationale des enfants disparus,2018-05-25,Nathalie Goulet
"Accueil du lord-maire de Dublin, M. Micheal Mac Donncha",2018-05-28,Valérie Plante
Accueil d'une délégation dans le cadre du conseil municipal,2018-05-28,Valérie Plante
Visite guidée de l'hôtel de ville et accueil protocolaire : femmes de la diversité,2018-05-30,Cathy Wong
Remise du prix Victor Goldbloom,2018-06-04,"Magda Popeanu, Sue Montgomery"
Accueil de la comission scolaire de Montréal (CSDM),2018-06-05,Cathy Wong
Accueil des boursiers de la 5e édition du gala persévérance scolaire du fonds 1804,2018-06-06,Cathy Wong
"Événement : Villes, enjeux mondiaux et G7",2018-06-07,Valérie Plante
Accueil de la commision scolaire de la Pointe-de-l'Île (CSPI),2018-06-11,Cathy Wong
"Accueil de M. Craig Smith, ancien conseiller stratégique de Bill et Hilary Clinton",2018-06-13,Sue Montgomery
Accueil de courtoisie d'une délégation culturelle de Nantes (France) ,2018-06-13,Christine Gosselin
Cérémonie d'accueil des nouveaux employés de la ville de Montréal,2018-06-14,Benoit Dorais
"Accueil du grand chef Joe Norton, conseil de bande de Kahnawà:ke",2018-06-15,Valérie Plante
"Accueil dans le cadre du 30e colloque du carrefour action municipale et famille, suivi d'une visite guidée",2018-06-15,Valérie Plante
Lancement de la stratégie montréalaise pour une ville résiliente,2018-06-18,"Valérie Plante, Nathalie Goulet"
"Entretien avec le ministre fédéral de la Famille, des Enfants et du Développement social, M. Jean-Yves Duclos",2018-06-18,Valérie Plante
Bilatérales ICLEI,2018-06-19,Valérie Plante
Dîner d'ouverture ICLEI,2018-06-19,Valérie Plante
Cocktail et dîner officiel ICLEI,2018-06-20,Valérie Plante
Déjeuner officiel dans le cadre d'ICLEI,2018-06-21,Valérie Plante
Cérémonie spéciale de citoyenneté dans le cadre de la journée nationale des autochtones,2018-06-21,Valérie Plante
Réception à l'occasion de la fête nationale du Québec à Montréal,2018-06-24,Valérie Plante
"Accueil de M. Laurent Duvernay-Tardif, joueur professionnel de Football",2018-06-26,Valérie Plante
Cocktail de l'opposition officiel ,2018-06-28,Opposition
"Accueil du consul général de l'Uruguay, M. Luis Eduardo Coronel",2018-07-05,Valérie Plante
"Visite de courtoisie du consul général du Mexique, M. Alejandro Estivill Castro",2018-07-05,Valérie Plante
"Visite de courtoisie de la consule de Tunisie, Mme Lamia Kedadi Siala, et accueil de l'ambassadeur de Tunisie, son excellence Mohamed Imed Torjemane",2018-07-05,Valérie Plante
"Accueil de l'ambassadeur du Qatar, son excellence M. Fahad Mohammed Y. Kafood",2018-07-05,Valérie Plante
"Accueil du maire de New-York, M. Bill de Blasio",2018-07-05,Valérie Plante
Vernissage de l'exposition « Montréal : Métropole et ... capitale »,2018-07-05,Cathy Wong et Christine Gosselin
Remise du prix Nuits d'Afrique pour la Francophonie,2018-07-20,Cathy Wong
"Accueil M. Dominique Saint-Roc, maire de Pétion-Ville (Haïti) et sa délégation",2018-07-20,"Frantz Benjamin, Cathy Wong"
Simulation CS-18 du conseil jeunesse de Montréal,2018-07-27,Marianne Giguère
The Canadian grenadier guards - Cérémonie du crépuscule,2018-07-28,Sterling Downey
Cérémonie d'ouverture de la simulation du parlement européen Canada-Québec-Europe (Specque),2018-07-30,Sylvain Ouellet
"Rencontre du bureau de gouvernance et itinérance avec Mme Lucie Charlebois, ministre déléguée à la réadaptation, à la protection de la jeunesse, à la santé publique et aux saines habitudes de vie",2018-07-31,Valérie Plante
Simulation CS-18 du conseil jeunesse de Montréal 2e partie,2018-08-02,Jocelyn Pauzé
Cérémonie de la paix à la mémoire de Hiroshima,2018-08-05,Benoit Dorais
Lancement de la semaine italienne de Montréal,2018-08-06,Rosannie Filato
"Accueil d'une délégation de la ville de Lethbridge, Alberta",2018-08-09,Alan Desousa
"Visite de courtoisie de la consule générale de Suisse, Mme Elisabeth Bôsch",2018-08-13,Valérie Plante
"Accueil de M. Edixon Antonio Mateo Quezada, consul général de la République Dominicaine",2018-08-13,Valérie Plante
Signature du livre d'or pour souligner les festivités de Fierté Montréal 2018,2018-08-17,Valérie Plante
Accueil d'une délégation dans le cadre de la journée internationale du souvenir de la traite transatlantique des noirs et son abolition,2018-08-20,Valérie Plante
Événement pour souligner la rentrée automnale du conseil municipal,2018-08-20,Valérie Plante
Accueil d'une délégation de représentants communautaires ,2018-08-20,Valérie Plante
Accueil du festival Mode & Design 2018,2018-08-22,"Valérie Plante, Cathy Wong"
Sommet de la réconciliation ,2018-08-30,Valérie Plante
"Accueil de M. Alexandre Cusson, président de l'union des municipalités du Québec (UMQ)",2018-08-30,Valérie Plante
Accueil du programme de persévérance scolaire de la Ligue des Noirs du Québec,2018-08-31,Cathy Wong
"Accueil de l'ambassadeur du Mexique, son excellence M. Dionisio Arturo Perez Jacome",2018-09-04,Valérie Plante
"Visite de courtoisie de l'ambassadrice de Cuba, son excellence Josefina de la Caridad Vidal",2018-09-04,Valérie Plante
"Accueil de courtoisie de M. Martin Dulig, ministre de l'économie, du travail et des transports de Saxe, Allemagne",2018-09-11,François Croteau
Activité à l'occasion de la journée internationale du souvenir de la traite des Noirs et de son abolition,2018-09-14,Magda Popeanu
Photographie officielle des élus du conseil municipal 2017-2020,2018-09-17,Ensemble des élus
Remise de prix de la société historique de Montréal,2018-09-19,Cathy Wong
Commémoration à la mémoire des victimes cambodgiennes,2018-09-19,"Cathy Wong, Magda Popeanu"
Petit déjeuner des leaders de la campagne Centraide,2018-09-20,Benoit Dorais
Événement : Journée internationale de la Paix,2018-09-21,Valérie Plante
"Visite de courtoisie de l'ancien président de la République Française, M. François Hollande",2018-09-21,Valérie Plante
Réception du WFMM : rencontre des ministres des affaires étrangères féminines,2018-09-21,Valérie Plante
"Accueil du consul honoraire du royaume des Pays-Bas, M. Michael P. Polak",2018-09-24,Valérie Plante
"Visite de courtoisie de la consule générale du Maroc, Mme Habiba Zemmouri",2018-09-24,Valérie Plante
"Visite de courtoisie de l'ambassadeur de Hongrie au Canada, son excellence M. Blaint David Odor",2018-09-24,Valérie Plante
"Accueil du consul général de la République de Corée, M. Yun Je Lee",2018-09-24,Valérie Plante
"Entretien téléphonique avec l'ambassadeur d'Ukraine au Canada, son excellence M. Andrii Shevchenko",2018-09-24,Valérie Plante
Vernissage de l'exposition « Citoyennes inspirantes »,2018-09-25,Sophie Mauzerolle
Accueil de courtoisie d'une délégation de députés français,2018-09-26,Valérie Plante
Signature de la convention collective des brigadiers scolaires,2018-09-26,Valérie Plante
"Visite guidée de l'hôtel de ville de Montréal et accueil protocolaire, organisme Entre parents de Montréal-Nord",2018-09-27,Abdelhaq Sari
Activité dans le cadre des journées de la culture « Nourrir les familles montréalaise : du local à l'internationale »,2018-09-28,Cathy Wong
"Accueil de M. Gabor Szilasi, photographe",2018-10-11,Valérie Plante
Cité Elles citoyennes 2018,2018-10-13,"Cathy Wong, Suzie Miron"
Lancement du conseil du système alimentaire montréalais,2018-10-16,Valérie Plante
"Visite guidée de l'hôtel de ville de Montréal et accueil protocolaire, école Jean-Nicolet",2018-10-16,Renée-Chantal Bélinga
Lancement de la banque de candidature de concertation Montréal,2018-10-19,Valérie Plante
Hommage national public à Lise Payette,2018-10-20,Valérie Plante
Lancement de la semaine de l'action communautaire autonome,2018-10-22,"Valérie Plante, Rosannie Filato "
Accueil de la fondation du cancer du sein du Québec dans le cadre du mois du cancer du sein,2018-10-22,Cathy Wong
"Accueil de Mme Micheline Cyr, ancienne directrice générale de l'auberge Madeleine",2018-10-22,Valérie Plante
"Visite guidée de l'hôtel de ville de Montréal et accueil protocolaire, concertation Montréal",2018-10-22,Sterling Downey
"Visite guidée de l'hôtel de ville de Montréal et accueil protocolaire, école Jean-Nicolet",2018-10-24,Renée-Chantal Bélinga
"Entretien de courtoisie avec le consul général de Chine, M. Chen",2018-10-25,Robert Beaudry
Lancement de la campagne du coquelicot,2018-10-25,Valérie Plante
"Accueil du premier ministre du Québec, M. François Legault",2018-10-26,Valérie Plante
"Accueil de Mme Gina Cody, ingénieure",2018-10-26,Valérie Plante
Accueil des équipes montréalaises récipiendaires en 2018 de la médaille du gouverneur général pour l'excellence en architecture,2018-10-31,"Christine Gosselin, Robert Beaudry"
Vernissage de l'exposition  « Marilyn - renaissance d'une icône »,2018-11-01,Cathy Wong
Petit déjeuner dans le cadre de la mission à Los Angeles,2018-11-02,Valérie Plante
Cérémonie du Jour du Souvenir,2018-11-11,Valérie Plante
"Accueil et visite guidée, programme intégration jeunesse - Ligue des Noirs",2018-11-16,Cathy Wong
"Visite guidée de l'hôtel de ville de Montréal et accueil protocolaire, concertation Montréal",2018-11-19,Sterling Downey
"Rencontre de courtoisie avec l'honorable Bill Blair, ministre de la sécurité frontalière et de la réduction du crime organisé",2018-11-21,Valérie Plante
Remise d'une plaque pour souligner le 100e anniversaire de l'établissement du consulat honoraire de Serbie à Montréal,2018-11-21,Valérie Plante
"Accueil de courtoisie de la ministre des affaires municipales et de l'habitation, Mme Andrée Laforest",2018-11-22,Valérie Plante
"Accueil de courtoisie de M. François Bonnardel, ministre des transports",2018-11-26,Valérie Plante
Cérémonie d'accueil des nouveaux employés de la ville de Montréal,2018-11-27,Benoit Dorais
Journée mondiale de la lutte contre le sida,2018-11-29,Valérie Plante
"Accueil de la mairesse de Victoria, Mme Lisa Helps",2018-11-30,Valérie Plante
Journée internationale des personnes handicapées,2018-12-03,"Valérie Plante, Rosannie Filato"
Accueil d'une délégation économique de la région Île-de-France,2018-12-04,Robert Beaudry
Accueil de courtoisie du rabbin Adam Scheier de la congrégation Shaar Hashomayin,2018-12-04,Valérie Plante
Parcours innovation PME Montréal,2018-12-04,Robert Beaudry
Rencontre statutaire avec le SPVM (M. Martin Prud'homme),2018-12-05,Valérie Plante
70e anniversaire de la déclaration universelle des droits de l'Homme,2018-12-05,Valérie Plante
"Accueil de l'honorable Michel Doyon, lieutenant-gouverneur du Québec",2018-12-06,Valérie Plante
Commémoration de la tragédie du 6 décembre 1989,2018-12-06,Valérie Plante
Opération patrimoine de Montréal,2018-12-06,Christine Gosselin
"Cérémonie d'assermentation de M. Sylvain Caron, directeur du SPVM",2018-12-12,Valérie Plante
Rencontre stratégique des forces vives du développement économique et entretien avec le ministre de l'économie du Québec,2018-12-13,Valérie Plante
"Visite guidée de l'hôtel de ville de Montréal et accueil protocolaire, délégation de Nouvelle-Aquitaine",2018-12-14,Cathy Wong
"Accueil de M. Roland Emmerich, réalisateur",2018-12-14,Valérie Plante
Activité de Noël pour les employés,2018-12-17,"Valérie Plante, Cathy Wong"
"Visite guidée de l'hôtel de ville de Montréal et accueil protocolaire, Concertation Montréal",2018-12-17,Sterling Downey
"Assermentation de Mme Caroline Bourgeois, mairesse de l'arrondissement Rivière-des-Prairies-Pointes-aux-Trembles (élections partielles)",2018-12-21,"Valérie Plante, Cathy Wong"
"Assermentation de M. Josué Corvil, conseiller de ville - district de Saint-Michel, arrondissement de Villeray-St-Michel-Parc-Extension (élections partielles)",2018-12-21,Cathy Wong
Porte ouverte de Noël,2018-12-22,Valérie Plante
"Accueil de courtoisie de M. Niels Annen, ministre adjoint aux affaires étrangères de la République fédérale d'Allemagne",2019-01-07,François Croteau
"Accueil de Mme Monique Lefebvre, directrice générale d'altergo",2019-01-08,Valérie Plante
Premier comité exécutif de l'année 2019,2019-01-09,Valérie Plante
"Accueil de courtoisie de la brigadière-générale Jennie Carignan, commandante de la 2e division du Canada et de la force opérationnelle interarmées",2019-01-11,Valérie Plante
"Accueil du maire de Boston, M. Martin J. Walsh",2019-01-18,Valérie Plante
"Accueil du maire de Cambridge, M. Marc McGovern",2019-01-18,Valérie Plante
Journée Martin Luther King Jr. 2019,2019-01-21,"Valérie Plante, Magda Popeanu"
Échange de voeux avec les chefs de missions diplomatiques à Montréal,2019-01-22,Valérie Plante
"Entretien avec la ministre du tourisme du gouvernement du Québec, Mme Caroline Proulx",2019-01-24,Valérie Plante
"Rencontre de travail avec la ministre de l'habitation, Mme Andrée Laforest",2019-01-25,Valérie Plante
32e simulation du jeune conseil de Montréal - réception,2019-01-25,"Sterling Downey, Laurence Lavigne-Lalonde"
"Accueil de Mme Leilani Farha, rapporteuse spéciale des Nations Unies sur le logement convenable",2019-01-25,Valérie Plante
32e simulation du jeune conseil de Montréal,2019-01-26,Valérie Plante
Événement de sensibilation - journées de la persévérance scolaire 2019,2019-01-28,Valérie Plante
Commémoration des attentats de la grande mosquée de Québec,2019-01-29,"Valérie Plante, Cathy Wong"
"Accueil du consul général du Japon, M. Osamu Isawa",2019-01-30,Valérie Plante
"Accueil de la consule générale de Grande-Bretagne, Mme Chloé Jayne Adams",2019-01-30,Valérie Plante
"Entretien de courtoisie avec le consul général par intérim de l'Algérie, M. Messaoud Mehila",2019-01-30,Valérie Plante
"Accueil du maire de Courtrai, Belgique, M. Vincent van Quickenborne",2019-01-31,Robert Beaudry
"Accueil de courtoisie du chef de la 2e opposition à l'assemblée nationale du Québec, M. Pascal Bérubé",2019-02-01,Valérie Plante
"Entretien avec le ministre de l'immigration, de la diversité et de l'inclusion, M. Simon Jolin Barrette",2019-02-01,Valérie Plante
Lancement de la programmation du mois de l'histoire des Noirs 2019,2019-02-01,Valérie Plante 
Pré-rencontre des co-présidents du conseil consultatif de l'Ordre de Montréal,2019-02-04,Valérie Plante
Rencontre du conseil consultatif de l'Ordre de Montréal,2019-02-04,Valérie Plante
Accueil du groupe des trente de concertation Montréal,2019-02-04,Cathy Wong
Accueil de jeunes du projet shooting for the star de la fondation Air Canada et du Club des petits déjeuners,2019-02-05,Marie-Josée Parent
"Visite de courtoisie de la ministre responsable des affaires autochtones, Mme Sylvie d'Amours",2019-02-11,Valérie Plante
Accueil de M. Raymond Laurent dans le cadre du 30e anniversaire du gala samedi mid inter,2019-02-12,"Valérie Plante, Cathy Wong"
"Accueil de M. Pierre Asselin, dans le cadre de la guignolée des médias",2019-02-13,Valérie Plante
"15e anniversaire des trois conseils consultatifs : conseil des Montréalaises, conseil jeunesse et conseil interculturel",2019-02-13,"Valérie Plante, Cathy Wong"
Événement : Montréal inclusive au travail,2019-02-18,Valérie Plante
"Visite guidée avec accueil, « Be the change Montréal »",2019-02-18,Cathy Wong
Café-rencontre : relocalisation à Lucien-Saulnier,2019-02-19,Benoit Dorais
"Visite de courtoisie du doyen du corps consulaire et consul général de Russie, M. Yury Bedzhanyan",2019-02-20,Valérie Plante
Cérémonie d'accueil des nouveaux employés,2019-02-21,Benoit Dorais
Café-rencontre : présentation aux occupants - relocalisation à Lucien-Saulnier,2019-02-22,Benoit Dorais
"Accueil de M. Yannick Nézet-Séguin, directrice artistique et chef principal de l'orchestre métropolitain de Montréal",2019-02-27,Valérie Plante
50e anniversaire de l'office municipal d'habitation de Montréal,2019-02-27,"Valérie Plante, Magda Popeanu"
Nuit Blanche - soirée électro-arcade,2019-03-02,Cathy Wong
"Accueil de Mme Marie-Ève Dicaire, championne de boxe",2019-03-04,Valérie Plante
"Visite guidée avec accueil, divers partenaires de la communauté chinoise",2019-03-05,Cathy Wong
Table des partenaires en habitation,2019-03-06,Valérie Plante
"Accueil du consul général de Chine, M. Xueming Chen",2019-03-06,Valérie Plante
"Visite de courtoisie de la consule générale de l'argentine, Mme Maria Fabiana Loguzzo",2019-03-06,Valérie Plante
"Accueil du consul général de Grèce, M. Michalis Gavriilidis",2019-03-06,Valérie Plante
Événement pour la Journée internationale des femmes,2019-03-11,"Valérie Plante, Cathy Wong"
"Visite de courtoisie du ministre de l'environnement et de la lutte contre les changements climatiques, M. Benoit Charette",2019-03-11,Valérie Plante
Café-rencontre : présentation aux occupants - relocalisation à Lucien-Saulnier,2019-03-12,Benoit Dorais
Lancement de la 196e édition des festivités de la Saint-Patrick,2019-03-12,Valérie Plante
Lancement du rapport eat-Lancet sur l'alimentation saine et durable,2019-03-13,Rosannie Filato
Accueil des participants au programme de parrainage professionnel,2019-03-14,Magda Popeanu
Conférence de presse environnement Canada,2019-03-14,Valérie Plante
Remise de la bourse de la fondation de la chambre de commerce Canada-Liban,2019-03-14,"Valérie Plante, Magda Popeanu"
"Visite guidée avec accueil, école secondaire Sophie-Barat",2019-03-15,Valérie Plante
Lancement de la 2e édition du parcours développement durable,2019-03-18,Valérie Plante
"Visite guidée avec accueil, école primaire Bienville",2019-03-19,Josué Corvil
Accueil de l'honorable Louise Arbour,2019-03-21,Valérie Plante
20e anniversaire de la semaine d'actions contre le racisme,2019-03-21,"Valérie Plante, Magda Popeanu"
Accueil d'anciens joueurs des Expos de Montréal dans le cadre du 50e anniversaire des Expos,2019-03-25,Valérie Plante
Cité Elles MTL - simulation du conseil de ville pour les femmes,2019-03-25,Cathy Wong
"Accueil de la présidente du conseil de la ville de Québec, Mme Geneviève Hamelin",2019-03-25,Cathy Wong
"Accueil de Mme Karen Tam, artiste",2019-03-27,Cathy Wong
"Visite guidée avec accueil, cégep Bois-de-Boulogne",2019-03-27,Nathalie Goulet
Accueil du groupe RAPLIQ,2019-03-27,Cathy Wong
Cérémonie d'accueil des nouveaux employés,2019-03-28,Benoit Dorais
Accueil des représentants de la communauté chinoise,2019-03-28,Cathy Wong
"Signature du livre d'or par maître Afif Bennani, artiste peintre",2019-03-28,"Cathy Wong, Magda Popeanu"
"Visite de courtoisie du ministre de l'éducation et de l'enseignement supérieur, M. Jean-François Roberge",2019-03-29,Valérie Plante
"Visite guidée avec accueil, scout Sainte-Bibiane",2019-03-30,Cathy Wong
Lancement du livre « Mon ami... mon agresseur » projet conjoint du SPVM et des communautés de femmes autochtones,2019-04-02,Valérie Plante
"Accueil du maire d'Angoulème, M. Xavier Bonnefont",2019-04-03,Magda Popeanu
Accueil - centre d.action bénévole de Montréal,2019-04-10,Cathy Wong
150e anniversaire de la SPCA - Montréal,2019-04-10,Jean-François Parenteau
"Rencontre de courtoisie avec Mme Isabelle Hudon, ambassadrice du Canada en France et à Monaco et de Mme Kareen Rispal, ambassadrice de France au Canada",2019-04-12,Valérie Plante
"Concertation Montréal, une soirée à l'hôtel de ville (arrondissement Ville-Marie)",2019-04-15,"Valérie Plante, Cathy Wong"
"Accueil de la vice-présidente du conseil régional occitanie / Pyrénées-méditerranée, Mme Nadia Pellefigue",2019-04-17,Robert Beaudry
Accueil - Culture Montréal,2019-04-18,"Cathy Wong, Marie-Josée Parent"
"Entretien avec le ministre responsable de l'administration gouvernementaile et président du conseil du trésor, M. Christian Dubé",2019-04-18,Valérie Plante
Vin d'honneur dans le cadre de la semaine du personnel administratif,2019-04-23,Valérie Plante
Journée d'accueil des jeunes des centres jeunesse (plan municipal d'emploi),2019-04-27,Robert Beaudry et Hadrien Parizeau
Accueil du réseau pour transformer les soins en austisme (RTSA-TACC),2019-04-30,Nathalie Goulet
Événement Yom Hashoah,2019-05-01,Valérie Plante
"Visite de courtoisie du ministre de l'innovation, des sciences et du développement économique, l'honnorable Navdeep Singh Bains",2019-05-02,Valérie Plante
"Accueil de M. Laurent Fabius, président du conseil constitutionnel de la République Française",2019-05-02,Valérie Plante
"Visite de courtosie du secrétaire permanent de l'association internationale des maires francophones, M. Pierre Baillet",2019-05-02,Valérie Plante
Forum stratégique de tourisme Montréal,2019-05-06,Valérie Plante
"Rencontre de courtoisie avec Father Erik Oland, Gesu (Jésuite)",2019-05-08,Valérie Plante
"Accueil du secrétaire général de l'UITP (union international des transports publics), M. Mohamed Mezghani",2019-05-08,Valérie Plante
Première séance ordinaire du conseil municipal à l'édifice Lucien-Saulnier,2019-05-13,"Valérie Plante, Cathy Wong"
"Accueil de Mme Kalliopi Mingeiro et de Mme Laura Capobianco, représentantes d'ONU femmes",2019-05-16,"Nathalie Gouet, Suzie Miron"
Remise des insignes de l'Ordre de Montréal,2019-05-17,Valérie Plante
Événement : Anniversaire de Montréal,2019-05-17,Valérie Plante
"Entretien avec le ministre des transports du Québec, M. François Bonnardel, et la ministre responsable de la métropole, Mme Chantal Rouleau",2019-05-21,Valérie Plante
Accueil de M. Charles Bronfman,2019-05-21,Valérie Plante
Dîner officiel du corps consulaire,2019-05-21,Valérie Plante
Lancement de l'édition française de l'ouvrage « La vie dans l'espace public : comment l'étudier »,2019-05-22,Valérie Plante
Rencontre de la table des établissements d'enseignement supérieur,2019-06-03,"Valérie Plante, François Croteau"
"Accueil de délégué général de la Palestine, l'honorable Nabil Maarouf",2019-06-03,Valérie Plante
"Accueil du consul général d'Espagne, M. Luis Antonio Calvo Castano",2019-06-03,Valérie Plante
"Accueil du consul général d'Égypte, M. Hossameldin Moharm",2019-06-03,Valérie Plante
Activité collective : pique-nique durable,2019-06-05,"Valérie Plante, Cathy Wong"
Entretien membres comité stratégique de l'UMQ (Union des Municipalités du Québec),2019-06-07,Valérie Plante
"Rencontre de courtoisie avec la secrétaire générale de la Francophonie, Mme Louise Mushikiwabo",2019-06-10,Valérie Plante
"Entretien avec le ministre de l'infrastructure et des collectivités, gouvernement du Canada, l'honorable François-Philippe Champagne",2019-06-10,Valérie Plante
