INSTANCE|SOUS_INSTANCE|TYPE_RENCONTRE|DATE_RENCONTRE|ENDROIT|NOM|SALLE|RUE|NUMERO_CIVIC
Conseil de quartier|Montcalm|2|2019.05.28 19:00:00|Centre loisirs Montcalm|Centre loisirs Montcalm|Salle 202|boulevard René-Lévesque Ouest|265
Conseil de quartier|Montcalm|2|2019.06.18 19:00:00|Centre loisirs Montcalm|Centre loisirs Montcalm|Salle 202|boulevard René-Lévesque Ouest|265
Conseil de quartier|Saint-Sauveur|2|2019.05.15 19:00:00|Centre Édouard-Lavergne, 390, rue Arago Ouest, salle 300||||
Conseil de quartier|Saint-Sauveur|2|2019.06.19 19:00:00|Centre Édouard-Lavergne, 390, rue Arago Ouest, salle 300||||
Conseil de quartier|Vieux-Québec-Cap-Blanc-colline Parlementaire|2|2019.05.13 19:00:00|L'École des Ursulines|L'École des Ursulines|Salle du gymnase|ruelle des Ursulines|3
Conseil de quartier|Vieux-Québec-Cap-Blanc-colline Parlementaire|2|2019.06.10 19:00:00|L'École des Ursulines|L'École des Ursulines|Salle du gymnase|ruelle des Ursulines|3
Conseil de quartier|Saint-Sacrement|2|2019.05.07 19:00:00|à confirmer||||
Conseil de quartier|Saint-Sacrement|4|2019.06.04 19:00:00|à confirmer||||
Conseil de quartier|Lairet|2|2019.05.08 19:00:00||Centre communautaire Marchand||2e Avenue|2740
Conseil de quartier|Lairet|2|2019.06.12 19:00:00|Centre communautaire Marchand|Centre communautaire Marchand||2e Avenue|2740
Conseil de quartier|Vieux-Limoilou|2|2019.05.15 19:00:00|Centre communautaire Jean-Guy Drolet|Centre communautaire Jean-Guy Drolet||rue Royal-Roussillon|16
Conseil de quartier|Vieux-Limoilou|2|2019.06.19 19:00:00|Centre communautaire Jean-Guy Drolet|Centre communautaire Jean-Guy Drolet||rue Royal-Roussillon|16
Conseil de quartier|Saint-Jean-Baptiste|2|2019.05.07 19:00:00|Centre culture et environnement Frédéric-Back, 870, avenue De Salaberry, salle 322-324 au 3e étage||||
Conseil de quartier|Saint-Jean-Baptiste|2|2019.06.04 19:00:00|Centre culture et environnement Frédéric-Back, 870, avenue De Salaberry, salle 322-324 au 3e étage||||
Conseil de quartier|Duberger-Les-Saules|2|2019.05.08 19:00:00|Centre communautaire Duberger, Salle RC-06, 2341, rue de la Rivière-du-Berger||||
Conseil de quartier|Duberger-Les-Saules|2|2019.06.12 19:00:00|Centre communautaire Duberger, Salle RC-06, 2341, rue de la Rivière-du-Berger||||
Conseil de quartier|Neufchâtel-Est / Lebourgneuf|2|2019.05.15 19:00:00|Centre communautaire Lebourgneuf, Salle Multifonctionnelle, 1650, boulevard La Morille||||
Conseil de quartier|Neufchâtel-Est / Lebourgneuf|2|2019.06.19 19:00:00|Centre communautaire Lebourgneuf, Salle multifonctionnelle, 1650, boulevard La Morille||||
Conseil de quartier|Vanier|2|2019.05.21 19:00:00|Bureau d'arrondissement des Rivières, 330, rue Chabot (salle du conseil)||||
Conseil de quartier|Vanier|2|2019.06.10 19:00:00|Bureau d'arrondissement des Rivières, 330, rue Chabot (salle du conseil)||||
Conseil de quartier|Maizerets|2|2019.05.14 19:00:00|Centre de jour Feu Vert, 1410 Rue de la Trinité||||
Conseil de quartier|Maizerets|2|2019.06.11 19:00:00|à déterminer||||
Conseil de quartier|Saint-Roch|2|2019.05.30 19:00:00|École nationale d'administration publique|École nationale d'administration publique||Boulevard Charest Est|555
Conseil de quartier|Saint-Roch|2|2019.06.20 19:00:00|École nationale d'administration publique|École nationale d'administration publique||Boulevard Charest Est|555
Conseil de quartier|Plateau|2|2019.05.28 19:00:00|Centre communautaire Claude-Allard|Centre communautaire Claude-Allard|Salle 215|avenue D'Amours|3200
Conseil de quartier|Plateau|2|2019.06.25 19:00:00|Centre de loisirs Saint-Mathieu|Centre de loisirs Saint-Mathieu||rue de Bar-le-Duc |1000
Conseil de quartier|Aéroport|2|2019.05.15 19:00:00||Centre Trois-Saisons|Salle polyvalente|rue Buffon|1390
Conseil de quartier|Aéroport|2|2019.06.11 19:00:00|Centre Trois-Saisons|Centre Trois-Saisons|Salle polyvalente|rue Buffon|1390
Conseil de quartier|Cap-Rouge|2|2019.05.21 19:00:00|Centre communautaire Cap-Rouge|Centre communautaire Cap-Rouge|Salle du conseil|rue Saint-Félix|4473
Conseil de quartier|Cap-Rouge|2|2019.06.18 19:00:00|Centre communautaire Cap-Rouge|Centre communautaire Cap-Rouge|Salle du conseil|rue Saint-Félix|4473
Conseil de quartier|Pointe-de-Sainte-Foy|2|2019.05.29 19:00:00||Collège des Compagnons|Salle A-112 (Le Carrefour)|avenue des Compagnons|3643
Conseil de quartier|Pointe-de-Sainte-Foy|2|2019.06.26 19:00:00||Collège des Compagnons|Salle A-112 (Le Carrefour)|avenue des Compagnons|3643
Conseil de quartier|Chutes-Montmorency|2|2019.05.22 19:00:00|4579, boulevard Sainte-Anne (ancienne salle Even Art)||||
Conseil de quartier|Chutes-Montmorency|2|2019.06.19 19:00:00|4579, boulevard Sainte-Anne (ancienne salle Even Art)||||
Conseil de quartier|Cité-Universitaire|2|2019.05.15 19:00:00|Centre de loisirs Saint-Thomas d'Aquin|Centre de loisirs Saint-Thomas d'Aquin||avenue Myrand|895
Conseil de quartier|Cité-Universitaire|2|2019.06.19 19:00:00|Centre de loisirs Saint-Thomas d'Aquin|Centre de loisirs Saint-Thomas d'Aquin||avenue Myrand|895
Conseil de quartier|Des Jésuites|2|2019.05.13 19:00:00|Bureau d'arrondissement de Charlesbourg|Bureau d'arrondissement de Charlesbourg|Salle de la Cité|76e Rue Est|160
Conseil de quartier|Des Jésuites|2|2019.06.10 19:00:00|Bureau d'arrondissement de Charlesbourg|Bureau d'arrondissement de Charlesbourg|Salle de la Cité|76e Rue Est|160
Conseil de quartier|Lac-Saint-Charles|2|2019.05.14 19:00:00|Centre communautaire Paul-Émile-Beaulieu, salle 214, 530, rue Delage||||
Conseil de quartier|Lac-Saint-Charles|2|2019.06.11 19:00:00|Centre communautaire Paul-Émile-Beaulieu, salle 214, 530, rue Delage||||
Conseil de quartier|Saint-Émile|2|2019.05.28 19:30:00|Centre communautaire Saint-Émile, Salle A,2200 rue de la Faune||||
Conseil de quartier|Saint-Émile|2|2019.06.25 19:30:00|Centre communautaire Saint-Émile, Salle A,2200 rue de la Faune||||
Conseil de quartier|Loretteville|2|2019.05.07 19:00:00||Édifice Denis-Giguère|Salle du conseil|rue Racine|305
Conseil de quartier|Loretteville|2|2019.06.04 19:00:00|Édifice Denis-Giguère|Édifice Denis-Giguère|Salle du conseil|rue Racine|305
Conseil de quartier|Des Châtels|2|2019.05.08 19:15:00|Édifice Denis-Giguère, Salle RC-15, 305, rue Racine||||
Conseil de quartier|Des Châtels|2|2019.06.05 19:15:00|Édifice Denis-Giguère, Salle RC-15, 305, rue Racine||||
Conseil de quartier|Val-Bélair|2|2019.05.15 19:30:00|Centre culturel Georges-Dor, Salle RC-19, 3490, route de l'Aéroport||||
Conseil de quartier|Val-Bélair|2|2019.06.19 19:30:00|Centre culturel Georges-Dor, Salle RC-19, 3490, route de l'Aéroport||||
Conseil de quartier|Notre-Dame-des-Laurentides|2|2019.06.05 19:00:00|Chalet Notre-Dame-des-Laurentides|Chalet Notre-Dame-des-Laurentides|Salle principale|rue Moïse-Verret|55
Conseil de quartier|Saint-Louis|2|2019.06.05 19:00:00|Centre de loisir Saint-Louis de France, 1530, route de l'Église, RC01||||
Conseil de quartier|Saint-Louis|2|2019.05.08 19:00:00|Centre communautaire Saint-Mathieu, Grande salle, 1000, rue Bar-le-duc||||
Conseil de quartier|Sillery|2|2019.05.07 19:00:00||Centre communautaire Noël-Brulart||avenue du Chanoine-Morel|1229
Conseil de quartier|Sillery|2|2019.06.11 19:00:00|Centre communautaire Noël-Brulart|Centre communautaire Noël-Brulart||avenue du Chanoine-Morel|1229
Conseil d'arrondissement|Beauport|0|2019.05.14 17:30:00|Centre de loisirs Monseigneur-De Laval|Centre de loisirs Monseigneur-De Laval||avenue du Couvent|35
Conseil d'arrondissement|Beauport|0|2019.06.11 17:30:00|Centre de loisirs Monseigneur-De Laval|Centre de loisirs Monseigneur-De Laval||avenue du Couvent|35
Conseil d'arrondissement|Beauport|0|2019.07.04 17:30:00|Centre de loisirs Monseigneur-De Laval|Centre de loisirs Monseigneur-De Laval||avenue du Couvent|35
Conseil d'arrondissement|Beauport|0|2019.08.29 17:30:00|Centre de loisirs Monseigneur-De Laval|Centre de loisirs Monseigneur-De Laval||avenue du Couvent|35
Conseil d'arrondissement|Beauport|0|2019.09.10 17:30:00|Centre de loisirs Monseigneur-De Laval|Centre de loisirs Monseigneur-De Laval||avenue du Couvent|35
Conseil d'arrondissement|Beauport|0|2019.10.08 17:30:00|Centre de loisirs Monseigneur-De Laval|Centre de loisirs Monseigneur-De Laval||avenue du Couvent|35
Conseil d'arrondissement|Beauport|0|2019.11.12 17:30:00|Centre de loisirs Monseigneur-De Laval|Centre de loisirs Monseigneur-De Laval||avenue du Couvent|35
Conseil d'arrondissement|Beauport|0|2019.12.10 17:30:00|Centre de loisirs Monseigneur-De Laval|Centre de loisirs Monseigneur-De Laval||avenue du Couvent|35
