"Station","Date","%OD","O2 (mg/L)","COND.","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Cd (µg/L)","Co (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","Mn (µg/L)","Mo (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","TURBIDITE NTU","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-4RS",2004/07/06,113,"10,28",249,"8,3","20,0","=",1000,-1,"0,1",102,"0,8",25,"0,5","0,2","0,5","1,2","1,8",117,6,5,22,"0,8",14,"0,5","2,6","0,2",1,"1,8",1,"0,6",13
"EMIS-4RS",2004/07/21,116,"10,11",251,"8,4","22,4","=",360,-2,"0,1",90,1,"23,3","0,5","0,2","0,5","1,0","1,0",114,"5,3",5,20,"0,8",12,"0,5","2,5","0,2",1,"2,5",1,"0,5",40
"EMIS-4RS",2004/07/26,,"11,32",247,"8,3","22,2","=",320,1,"0,1",89,1,"23,8","0,5","0,2","0,5","0,8","1,1",113,"5,4",5,21,"0,8",8,"0,5","2,5","0,2",1,"2,4",1,"0,5",10
"EMIS-4RS",2004/08/25,107,"9,75",213,"8,7","20,3","=",330,1,"0,1",158,1,"23,6","0,5","0,2","0,5","0,8","1,2",169,"5,8",5,27,"1,1",11,"0,5","3,5","0,2",1,"3,5",1,"0,5",5
"EMIS-4RS",2004/09/22,102,"9,60",208,"8,4","18,5","=",10,0,"0,1",79,"0,9","23,8","0,5","0,2","0,5","0,7","1,4",107,"5,5",5,20,"0,8",16,"0,5","2,3","0,2",1,"2,3",1,"0,5",5
"EMIS-4RS",2004/10/12,102,"10,44",294,"8,6","14,4","=",360,1,"0,1",93,"0,7",23,"0,5","0,2","0,5","1,2","1,3",98,"5,2",5,40,"1,0",15,"0,5","1,7","0,2",1,"1,7",1,"0,6",7
"EMIS-5.2P",2004/06/07,102,"10,06",252,"8,0","16,3",">",6000,0,,,,,,,,,,,,,,,,,,,,,,,9
"EMIS-5.2P",2004/07/06,107,"9,74",246,"8,3","20,1","=",190000,-1,,,,,,,,,,,,,,,,,,,,,,,5
"EMIS-5.2P",2004/07/21,109,"9,48",235,"8,3","22,6","=",27000,-2,,,,,,,,,,,,,,,,,,,,,,,5
"EMIS-5.2P",2004/07/26,125,"10,85",226,"8,4","22,4","=",12000,1,,,,,,,,,,,,,,,,,,,,,,,24
"EMIS-5.2P",2004/08/25,105,"9,55",213,"8,6","20,3","=",14000,1,,,,,,,,,,,,,,,,,,,,,,,83
"EMIS-5.2P",2004/09/22,101,"9,51",207,"8,3","18,3","=",20000,0,,,,,,,,,,,,,,,,,,,,,,,11
"EMIS-5.2P",2004/10/12,101,"10,31",296,"8,6","14,4","=",17000,1,,,,,,,,,,,,,,,,,,,,,,,8
"EMIS-6P1",2004/06/07,101,"9,92",257,"8,0","16,5",">",6000,0,"0,1",217,"0,8","23,8","0,5","0,2","0,5","1,3","2,2",256,"11,7",5,150,"0,9",36,"0,5","5,1","0,3",1,3,1,"0,5",9
"EMIS-6P1",2004/07/06,106,"9,62",246,"8,3","20,1","=",80000,-1,"0,1",120,"0,8","24,7","0,5","0,2","0,5","1,1","2,2",153,"7,6",5,76,"0,9",20,"0,5","3,1","0,2",1,"2,1",1,"0,6",5
"EMIS-6P1",2004/07/21,101,"8,73",243,"8,2","22,8","=",150000,-2,"0,1",179,"0,9","24,3","0,5","0,2","0,5","0,9","1,7",208,"12,5",5,200,"1,0",30,"0,5","4,0","0,2",1,"3,3",1,"0,6",7
"EMIS-6P1",2004/07/26,115,"9,94",235,"8,1","22,6","=",60000,1,"0,1",197,"0,9","22,9","0,5","0,2","0,7","1,2","1,9",247,"11,2",5,180,"1,0",27,"0,5","4,5","0,2",1,"4,2",1,"0,6",32
"EMIS-6P1",2004/08/25,101,"9,12",220,"8,5","20,6","=",24000,1,"0,1",141,"0,9","22,9","0,5","0,2","0,5","0,7","1,6",155,8,5,210,"0,9",19,"0,5","3,7","0,3",1,"3,7",1,"0,5",10
"EMIS-6P1",2004/09/22,98,"9,29",209,"8,3","18,3","=",16000,0,"0,1",123,"0,8","23,9","0,5","0,2","0,5","0,8","1,4",131,"7,6",5,81,"0,9",21,"0,5","2,7","0,2",1,"2,7",1,"0,5",107
"EMIS-6P1",2004/10/12,100,"10,21",297,"8,5","14,4","=",29000,1,"0,1",68,"0,8","22,9","0,5","0,2","0,5","0,8","1,9",121,"5,7",5,160,"0,8",18,"0,5","2,3","0,2",1,"1,6",1,"0,5",6
"EMIS-6P2",2004/06/07,103,"10,15",253,"8,0","16,1",">",6000,0,"0,1",181,"0,7","24,1","0,5","0,2","0,5","1,3","2,0",205,"10,6",5,60,"0,9",22,"0,5","3,9","0,2",1,"2,4",1,"0,5",41
"EMIS-6P2",2004/07/06,110,"9,91",246,"8,2","20,6","=",90000,-1,"0,1",445,"0,7",29,"0,5","0,2","0,5","1,8","2,5",437,"13,5",5,68,"1,4",28,"0,5","8,0","0,2",1,"6,8",1,"1,1",41
"EMIS-6P2",2004/07/21,111,"9,64",233,"8,4","22,8","=",24000,-2,"0,1",221,"0,9","23,1","0,5","0,2","0,5","1,0","1,3",248,"8,5",5,73,"1,0",21,"0,5","4,2","0,2",1,"4,9",1,"0,7",
"EMIS-6P2",2004/07/26,126,"10,95",226,"8,2","22,7","=",11000,1,"0,1",223,"0,9",24,"0,5","0,2","0,5","1,3","1,5",241,"10,2",5,58,"1,0",17,"0,5","4,6","0,2",1,"4,9",1,"0,7",38
"EMIS-6P2",2004/08/25,105,"9,48",212,"8,7","20,5","=",8000,1,"0,1",135,1,"23,1","0,5","0,2","0,5","0,7","1,3",143,"6,4",5,83,"0,9",15,"0,5","3,1","0,2",1,"2,9",1,"0,5",24
"EMIS-6P2",2004/09/22,101,"9,51",208,"8,5","18,4","=",19000,0,"0,1",130,"0,8","24,7","0,5","0,2","0,5","0,9","1,5",130,9,5,75,"0,9",16,"0,5","2,4","0,2",1,"2,4",1,"0,5",
"EMIS-6P2",2004/10/12,101,"10,34",296,"8,6","14,6","=",16000,1,"0,1",92,"0,8","23,6","0,5","0,2","0,5","1,0","1,7",133,"5,9",5,140,"0,9",16,"0,5","2,7","0,2",1,"2,3",1,"0,5",
"EMIS-7RS",2004/06/07,114,"11,19",260,"7,9","16,2","=",330,0,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-7RS",2004/07/06,109,"9,97",245,"8,5","19,9","=",1700,-1,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-7RS",2004/07/21,118,"10,22",241,"8,5","22,7","=",1800,-2,,,,,,,,,,,,,,,,,,,,,,,5
"EMIS-7RS",2004/07/26,,"11,34",237,"8,2","22,6","=",360,1,,,,,,,,,,,,,,,,,,,,,,,5
"EMIS-7RS",2004/08/25,106,"9,73",214,"8,7","19,8","<",10,1,,,,,,,,,,,,,,,,,,,,,,,18
"EMIS-7RS",2004/09/22,100,"10,20",205,"8,6","18,6","=",170,0,,,,,,,,,,,,,,,,,,,,,,,5
"EMIS-7RS",2004/10/12,108,"10,93",294,"8,7","14,9","=",98,1,,,,,,,,,,,,,,,,,,,,,,,5
"EMIS-9.5P1",2004/06/07,101,"9,98",244,"7,9","16,3",">",6000,0,"0,1",228,"0,8","23,9","0,5","0,2","0,5","1,1","2,1",248,"13,4",5,100,"1,0",34,"0,5","4,1","0,2",1,"2,8",1,"0,7",
"EMIS-9.5P1",2004/07/06,102,"9,27",229,"7,9","20,4","=",160000,-1,"0,1",154,"0,8","23,8","0,5","0,2","0,5","1,4","2,2",180,"8,5",5,71,"0,9",20,"0,5","3,2","0,2",1,"2,5",1,"0,5",
"EMIS-9.5P1",2004/07/21,107,"9,23",221,"7,9","23,0","=",38000,-2,"0,1",205,"0,9","23,5","0,5","0,2","0,5","1,1","1,8",227,"12,8",5,86,"1,0",18,"0,5","3,5","0,2",1,4,1,"0,7",
"EMIS-9.5P1",2004/07/26,117,"10,15",209,"7,8","22,7","=",20000,1,"0,1",245,"1,1","24,3","0,5","0,2","0,5","1,2","1,4",219,"16,5",5,140,"1,0",17,"0,5","3,3","0,2",1,"3,9",1,"0,7",
"EMIS-9.5P1",2004/08/25,101,"9,19",212,"8,3","20,2","=",11000,1,"0,1",82,1,"22,3","0,5","0,2","0,5","0,6","1,3",95,"5,6",5,86,"0,9",14,"0,5","2,1","0,2",1,"1,9",1,"0,5",
"EMIS-9.5P1",2004/09/22,97,"9,14",209,"8,2","18,6","=",23000,0,"0,1",164,"0,7","24,8","0,5","0,2","0,5","1,0","1,9",192,"8,4",5,100,"1,0",25,"0,5","3,8","0,2",1,"3,6",1,"0,5",
"EMIS-9.5P1",2004/10/12,100,"10,20",295,"8,3","14,4","=",20000,1,"0,1",69,"1,1","23,5","0,5","0,2","0,5","0,9","1,7",107,"5,3",5,92,"0,9",15,"0,5","2,1","0,2",1,"1,8",1,"0,5",
"EMIS-9.5P2",2004/06/07,102,"10,06",249,"7,8","16,4",">",6000,0,"0,1",189,"0,5","23,4","0,5","0,2","0,5","0,9","1,9",241,"10,3",5,98,"0,9",27,"0,5","4,1","0,2",1,"2,8",1,"0,7",
"EMIS-9.5P2",2004/07/06,103,"9,32",235,"8,0","20,3","=",130000,-1,"0,1",128,"0,7","24,5","0,5","0,2","0,5","1,1","2,2",152,"7,4",5,73,"0,9",17,"0,5","2,8","0,2",1,"2,1",1,"0,6",
"EMIS-9.5P2",2004/07/21,107,"9,20",220,"8,1","22,9","=",38000,-2,"0,1",162,"0,8","24,1","0,5","0,2","0,5","0,9","1,2",198,"9,2",5,80,"0,9",20,"0,5","3,2","0,2",1,"3,3",1,"0,6",
"EMIS-9.5P2",2004/07/26,119,"10,33",223,"7,9","22,5","=",39000,1,"0,1",187,"0,9","23,7","0,5","0,2","0,5","1,1","1,5",199,11,5,95,"1,0",16,"0,5","3,1","0,2",1,"3,4",1,"0,6",
"EMIS-9.5P2",2004/08/25,104,"9,44",212,"8,5","20,2","=",13000,1,"0,1",84,"0,8","22,3","0,5","0,2","0,5","0,6","1,4",94,"5,7",5,83,"0,8",13,"0,5","2,0","0,2",1,"1,9",1,"0,5",
"EMIS-9.5P2",2004/09/22,98,"9,25",208,"8,2","18,4","=",17000,0,"0,1",123,1,"23,6","0,5","0,2","0,5","0,7","1,5",140,"6,4",5,120,"0,9",19,"0,5","2,9","0,2",1,3,1,"0,5",
"EMIS-9.5P2",2004/10/12,100,"10,21",295,"8,4","14,4","=",12000,1,"0,1",64,1,"22,9","0,5","0,2","0,5","0,8","1,6",100,"4,8",5,110,"0,8",16,"0,5","2,1","0,2",1,"1,9",1,"0,5",
"EMIS-9.5RS",2004/06/07,108,"10,70",259,"7,9","16,1","=",40,0,"0,1",125,"0,7","23,5","0,5","0,2","0,5","1,1","1,5",154,"6,6",5,34,"0,8",14,"0,5","3,1","0,2",1,"1,9",1,"0,5",
"EMIS-9.5RS",2004/07/06,,"14,13",240,"9,0","21,5","=",590,-1,"0,1",524,1,"27,6","0,5","0,2","0,5","1,8","2,2",494,"12,7",5,39,"1,4",23,"0,5","7,6","0,2",1,"9,2",1,"1,2",
"EMIS-9.5RS",2004/07/21,122,"10,59",236,"8,4","22,8","=",200,-2,"0,1",129,"0,9","23,5","0,5","0,2","0,5","0,7","1,0",152,"5,7",5,20,"0,9",14,"0,5","2,4","0,2",1,"3,1",1,"0,6",
"EMIS-9.5RS",2004/07/26,,"11,74",234,"8,2","22,6","=",90,1,"0,1",109,1,"23,7","0,5","0,2","0,5","1,2","1,0",118,"6,6",5,23,"0,8",8,"0,5","2,1","0,2",1,"2,6",1,"0,5",
"EMIS-9.5RS",2004/08/25,108,"9,81",211,"8,6","20,4","=",160,1,"0,1",150,1,"23,8","0,5","0,2","0,5","0,7","1,2",161,"6,1",5,20,"0,9",12,"0,5","3,2","0,2",1,"3,5",1,"0,6",
"EMIS-9.5RS",2004/09/22,103,"9,74",206,"8,4","18,4","=",160,0,"0,1",127,"0,8","23,5","0,5","0,2","0,5","0,8","1,6",150,"5,9",5,33,"0,9",17,"0,5","3,3","0,2",1,"2,9",1,"0,5",
"EMIS-9.5RS",2004/10/12,104,"10,67",294,"8,5","14,6","=",90,1,"0,1",68,"0,6","23,6","0,5","0,2","0,5","1,1","1,3",83,4,5,22,"0,9",12,"0,5","1,6","0,2",1,2,1,"0,6",
"OER-MTL",2004/06/07,99,"9,65",267,"7,9","16,6",">",6000,0,"0,1",222,"0,8",25,"0,5","0,2","0,9","1,4","4,1",254,"14,4",5,860,"1,2",82,"0,5","5,4","0,2",1,"3,4",1,"0,5",
"OER-MTL",2004/07/06,97,"8,73",376,"8,1","20,5","=",1800000,-1,"0,1",309,"0,8","28,6","0,5","0,2","1,7","1,8","7,7",285,"20,6",5,1200,"1,6",134,"0,5","8,0","0,4",1,"4,6",1,"0,6",
"OER-MTL",2004/07/21,98,"8,48",292,"8,0","22,9","=",310000,-2,"0,1",203,"0,9","24,5","0,5","0,2","1,1","1,1","4,3",260,"15,1",5,900,"1,3",97,"0,5","5,6","0,2","1,2","4,3",1,"0,5",
"OER-MTL",2004/07/26,113,"9,81",285,"8,0","22,7","=",140000,1,"0,1",199,"0,9","25,6","0,5","0,2",2,"1,0","4,0",239,"21,2",5,970,"1,2",69,"0,5","4,9","0,2",1,"3,5",1,"0,5",
"OER-MTL",2004/08/25,98,"8,77",305,"8,6","21,0","=",570000,1,"0,1",116,"0,8","24,5","0,5","0,2","0,5","0,9","7,0",341,21,5,2400,"1,8",117,"0,5","6,4","0,6","4,2",5,1,"0,5",
"OER-MTL",2004/10/05,97,"9,61",386,"8,2","16,2","=",580000,0,"0,1",135,"0,6","27,2","0,5","0,2","0,5","1,2","5,6",456,"15,1",5,950,"1,7",90,"0,5","5,9","0,3",5,"4,4",1,"0,5",
"OER-MTL",2004/10/12,90,"9,06",363,"8,2","15,2","=",310000,1,"0,1",102,"0,7","24,6","0,5","0,2","0,7","1,3","4,7",419,"13,9",5,990,"1,5",79,"0,5","4,2","0,2",1,"2,7",1,"0,5",
"OER-Repentigny",2004/06/07,101,"9,59",114,"8,0","17,9","=",490,0,"0,1",599,"0,5",21,"0,5","0,2","0,5","2,0","2,1",663,"25,6",5,100,"1,2",46,"0,5","8,7","0,2",1,"7,8",1,"1,3",
"OER-Repentigny",2004/07/06,101,"8,87",135,"7,9","22,0","=",1600,-1,"0,1",436,"0,6","21,3","0,5","0,2","0,5","1,7","2,2",448,"18,9",5,160,"1,0",35,"0,5","6,0","0,2",1,"6,7",1,"1,0",
"OER-Repentigny",2004/07/21,102,"8,51",85,"8,1","24,8","=",330,-2,"0,1",819,"0,5",21,"0,5","0,2","0,5","3,7","1,6",867,"36,2",5,83,"3,3",54,"0,6","10,9","0,2",1,13,1,"1,2",
"OER-Repentigny",2004/07/26,110,"9,34",81,"7,9","23,6","=",420,1,"0,1",640,"0,5","20,3","0,5","0,2","0,5","2,0","1,7",681,"28,2",5,82,"1,2",45,"0,5","9,8","0,2",1,12,1,"1,4",
"OER-Repentigny",2004/08/25,105,"9,46",97,"8,4","20,6","=",7000,1,"0,1",283,"0,6","17,7","0,5","0,2","0,5","1,0","1,7",314,"14,2",5,140,"0,9",28,"0,5","3,3","0,2",1,"5,1",1,"0,9",
"OER-Repentigny",2004/09/22,102,"9,46",110,"8,4","19,0","=",1700,0,"0,1",775,"0,6","36,9","0,5","0,2","0,5","1,8","3,0",762,"27,1",5,160,"1,7",63,"0,6","7,1","0,2",1,14,1,"1,8",
"OER-Repentigny",2004/10/12,105,"10,97",137,"8,4","13,5","=",1000,1,"0,1",644,"0,5","22,5","0,5","0,2","0,5","1,9","2,2",739,"28,5",5,290,"1,4",60,"0,6","14,0","0,2",1,16,1,"1,6",
"STEP MTL-rejet",2004/06/07,55,"5,29",777,"7,3","17,7",">",6000,0,"0,1",1050,"0,9","38,2","0,5","0,2","11,9","2,3","25,5",909,"62,4","7,2",4900,"3,3",569,"2,1","23,8","0,4","1,9",13,1,"0,5",
"STEP MTL-rejet",2004/07/06,44,"3,85",730,"7,5","22,5","=",5900000,-1,"0,2",1176,"0,8","40,9","0,5","0,2","7,5","3,8","30,1",973,"63,1","9,4",5300,"4,6",642,"1,8","22,8","1,0","2,6",15,1,"0,5",
"STEP MTL-rejet",2004/07/21,32,"3,00",680,"7,6","23,9","=",2300000,-2,"0,5",960,"0,8","35,7","0,5","0,2","8,3","4,1","23,9",847,"63,7","8,1",6400,"3,6",665,"1,1","20,6","1,0","3,7",13,1,"0,5",
"STEP MTL-rejet",2004/07/26,98,"8,43",660,"7,6","23,1","=",2000000,1,"0,3",551,1,"34,7","0,5","0,2","9,8","2,1","20,4",696,"71,5","8,5",6900,"2,5",493,1,"16,3","0,4","2,2",10,1,"0,5",
"STEP MTL-rejet",2004/08/25,57,"4,91",579,"8,0","22,7","=",1900000,1,"0,3",369,"0,9","30,6","0,5","0,2","1,8","1,5","19,6",801,"61,6","14,9",8200,"5,8",354,"0,8","16,0","1,7","11,6","8,9",1,"0,5",
"STEP MTL-rejet",2004/09/22,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"STEP MTL-rejet",2004/10/05,72,"6,71",742,"7,9","18,8","=",2200000,0,"0,6",424,"0,5","34,6","0,5","0,2","0,9","3,1","24,1",1863,"53,7","6,9",5500,"5,0",470,1,"20,4","0,9","21,6",12,1,"0,5",
"FSL-50R",2004/05/31,98,"9,83",129,"7,9","15,6","=",12,1,,,,,,,,,,,,,,,20,,"2,3",,,"2,1",,,
"FSL-50R",2004/06/15,100,"9,29",180,"8,2","19,4","=",46,0,,,,,,,,,,,,,,,15,,"1,9",,,"1,7",,,
"FSL-50R",2004/07/19,104,"8,85",213,"8,3","23,4","=",48,-1,,,,,,,,,,,,,,,15,,"1,1",,,"1,5",,,
"FSL-50R",2004/08/04,118,"10,02",191,"8,3","23,7","=",60,-1,,,,,,,,,,,,,,,28,,"2,3",,,"2,7",,,
"FSL-50R",2004/09/01,104,"9,17",189,"8,3","21,6","=",1100,-1,,,,,,,,,,,,,,,16,,"1,6",,,"1,6",,,
"FSL-50R",2004/09/21,94,"8,82",147,"8,3","18,6","=",900,1,,,,,,,,,,,,,,,26,,"1,2",,,"2,1",,,
"FSL-50R",2004/10/05,100,"9,81",258,"8,6","16,3","=",170,1,,,,,,,,,,,,,,,21,,"1,6",,,2,,,
"FSL-52R",2004/05/31,102,"10,44",167,"7,9","14,6","=",24,1,"0,1",171,"0,7","21,1","0,5","0,2","0,5","1,1","1,4",208,"9,3",5,77,"0,9",22,"0,5","4,2","0,2",1,"3,2",1,"0,5",
"FSL-52R",2004/06/15,107,"9,97",228,"8,2","18,9","=",30,0,"0,1",172,"0,7","23,1","0,5","0,2","0,5","1,0","1,6",212,"9,6",5,20,"0,8",15,"0,5","3,9","0,2",1,"2,5",1,"0,6",
"FSL-52R",2004/07/19,103,"9,01",209,"8,3","22,4","=",12,-1,"0,1",137,"0,9","22,8","0,5","0,2","0,5","1,3","1,4",157,"9,3",5,20,"0,9",19,"0,5","2,6","0,2",1,"2,3",1,"0,5",
"FSL-52R",2004/08/04,,"11,58",204,"8,4","22,7","=",26,-1,"0,1",117,1,"22,4","0,5","0,2","0,5","0,9","1,1",143,"9,3",5,47,"0,9",15,"0,5","1,7","0,2",1,"2,4",1,"0,6",
"FSL-52R",2004/09/01,104,"9,29",198,"8,3","21,3","=",50,-1,"0,1",55,"0,9","22,3","0,5","0,2","0,5","0,6","1,1",74,"5,8",5,22,"0,8",14,"0,5","1,7","0,2",1,"1,3",1,"0,5",
"FSL-52R",2004/09/21,99,"9,36",193,"8,2","18,1","=",18,1,"0,1",152,"0,6","22,5","0,5","0,2","0,5","0,7","3,3",159,"7,3",5,20,"1,1",19,"0,5","2,2","0,2",1,"3,5",1,"0,5",
"FSL-52R",2004/10/05,103,"10,33",276,"8,7","15,4","=",24,1,"0,1",79,"0,6","23,5","0,5","0,2","0,5","0,7","1,4",107,"6,7",5,20,"0,8",13,"0,5","2,0","0,2",1,"2,2",1,"0,5",
"FSL-53R",2004/05/31,103,"10,51",175,"7,9","14,5","=",34,1,,,,,,,,,,,,,,,21,,"4,4",,,"3,3",,,
"FSL-53R",2004/06/15,104,"9,74",223,"8,2","18,9","=",30,0,,,,,,,,,,,,,,,14,,"4,2",,,"2,6",,,
"FSL-53R",2004/07/19,101,"8,84",201,"8,3","22,4","=",28,-1,,,,,,,,,,,,,,,15,,"2,5",,,"2,6",,,
"FSL-53R",2004/08/04,,"11,42",207,"8,4","22,7","=",30,-1,,,,,,,,,,,,,,,14,,"2,0",,,"2,2",,,
"FSL-53R",2004/09/01,103,"9,16",198,"8,3","21,3","=",52,-1,,,,,,,,,,,,,,,27,,"1,6",,,"1,4",,,
"FSL-53R",2004/09/21,99,"9,36",194,"8,3","18,1","=",30,1,,,,,,,,,,,,,,,19,,"2,0",,,"2,9",,,
"FSL-53R",2004/10/05,103,"10,36",280,"8,7","15,5","=",40,1,,,,,,,,,,,,,,,13,,"1,9",,,2,,,
"FSL-55R",2004/05/31,102,"10,44",185,"8,0","14,4","=",26,1,,,,,,,,,,,,,,,22,,"3,8",,,3,,,11
"FSL-55R",2004/06/15,105,"9,81",227,"8,2","18,7","=",30,0,,,,,,,,,,,,,,,15,,"4,3",,,"2,7",,,6
"FSL-55R",2004/07/19,101,"8,84",205,"8,4","22,3","=",16,-1,,,,,,,,,,,,,,,14,,"2,4",,,"2,6",,,5
"FSL-55R",2004/08/04,,"11,26",212,"8,4","22,6","=",10,-1,,,,,,,,,,,,,,,13,,"1,9",,,"2,4",,,5
"FSL-55R",2004/09/01,103,"9,14",201,"8,3","21,2","=",32,-1,,,,,,,,,,,,,,,12,,"1,5",,,"1,4",,,5
"FSL-55R",2004/09/21,98,"9,29",198,"8,4","18,1","=",20,1,,,,,,,,,,,,,,,18,,"2,0",,,"2,7",,,24
"FSL-55R",2004/10/05,102,"10,23",283,"8,7","15,5","=",20,1,,,,,,,,,,,,,,,14,,"2,0",,,"2,1",,,5
"FSL-56L",2004/05/31,104,"10,80",262,"7,8","13,8","<",2,1,,,,,,,,,,,,,,,15,,"2,7",,,"1,7",,,12
"FSL-56L",2004/06/15,106,"10,01",255,"8,1","18,1","=",2,0,,,,,,,,,,,,,,,13,,"3,4",,,"1,7",,,5
"FSL-56L",2004/07/19,106,"9,35",260,"8,3","21,6","=",6,-1,,,,,,,,,,,,,,,10,,"3,1",,,"2,3",,,5
"FSL-56L",2004/08/04,,"11,54",243,"8,4","22,3","=",72,-1,,,,,,,,,,,,,,,13,,"3,2",,,"2,9",,,9
"FSL-56L",2004/09/01,102,"9,12",213,"8,2","21,1","=",14,-1,,,,,,,,,,,,,,,12,,"2,3",,,"1,8",,,5
"FSL-56L",2004/09/21,98,"9,25",207,"8,4","18,1","=",22,1,,,,,,,,,,,,,,,17,,"2,2",,,2,,,17
"FSL-56L",2004/10/05,102,"10,16",294,"8,6","15,8","=",56,1,,,,,,,,,,,,,,,14,,"2,3",,,"1,8",,,20
"FSL-56R",2004/05/31,102,"10,46",190,"7,8","14,3","=",12,1,,,,,,,,,,,,,,,20,,"4,1",,,3,,,6
"FSL-56R",2004/06/15,103,"9,72",227,"8,1","18,6","=",26,0,,,,,,,,,,,,,,,15,,"5,1",,,"2,7",,,
"FSL-56R",2004/07/19,99,"8,68",210,"8,3","22,2","=",32,-1,,,,,,,,,,,,,,,14,,"2,8",,,"2,9",,,
"FSL-56R",2004/08/04,,"11,31",214,"8,3","22,5","=",36,-1,,,,,,,,,,,,,,,14,,"2,1",,,"2,1",,,
"FSL-56R",2004/09/01,102,"9,05",201,"8,2","21,2","=",46,-1,,,,,,,,,,,,,,,12,,"1,7",,,"1,2",,,
"FSL-56R",2004/09/21,98,"9,30",197,"8,3","18,0","=",14,1,,,,,,,,,,,,,,,18,,"2,4",,,"3,1",,,
"FSL-56R",2004/10/05,100,"10,01",283,"8,6","15,5","=",28,1,,,,,,,,,,,,,,,15,,"1,9",,,"2,1",,,
"FSL-57R",2004/05/31,102,"10,45",191,"7,9","14,2","=",6,1,,,,,,,,,,,,,,,21,,"3,7",,,"3,1",,,
"FSL-57R",2004/06/15,103,"9,65",227,"8,1","18,5","=",68,0,,,,,,,,,,,,,,,15,,"4,8",,,"2,9",,,
"FSL-57R",2004/07/19,101,"8,80",209,"8,3","22,3","=",120,-1,,,,,,,,,,,,,,,13,,"3,1",,,"3,2",,,
"FSL-57R",2004/08/04,126,"10,90",216,"8,3","22,6","=",250,-1,,,,,,,,,,,,,,,13,,"2,1",,,"2,4",,,
"FSL-60R",2004/05/31,100,"10,35",193,"7,9","14,2","=",26,1,,,,,,,,,,,,,,,20,,"4,2",,,3,,,
"FSL-60R",2004/06/15,102,"9,59",228,"8,1","18,5","=",60,0,,,,,,,,,,,,,,,16,,"4,4",,,3,,,
"FSL-60R",2004/07/19,100,"8,75",210,"8,3","22,2","=",62,-1,,,,,,,,,,,,,,,13,,"3,7",,,"2,9",,,
"FSL-60R",2004/08/04,125,"10,84",217,"8,3","22,5","=",60,-1,,,,,,,,,,,,,,,12,,"2,3",,,"2,5",,,
"FSL-60R",2004/09/01,96,"8,55",201,"8,1","21,2","=",50,-1,,,,,,,,,,,,,,,12,,"1,9",,,"1,8",,,
"FSL-60R",2004/09/21,98,"9,33",197,"8,4","18,0","=",14,1,,,,,,,,,,,,,,,18,,"2,2",,,"2,9",,,
"FSL-60R",2004/10/05,100,"9,97",282,"8,6","15,5","=",46,1,,,,,,,,,,,,,,,16,,"2,8",,,3,,,
"FSL-63R",2004/05/31,100,"10,28",197,"7,6","14,1","=",4,1,,,,,,,,,,,,,,,19,,"3,9",,,"2,8",,,
"FSL-63R",2004/06/15,102,"9,64",229,"8,1","18,5","=",52,0,,,,,,,,,,,,,,,13,,"4,7",,,"2,9",,,
"FSL-63R",2004/07/19,99,"8,69",212,"8,2","22,2","=",40,-1,,,,,,,,,,,,,,,13,,"2,7",,,"2,6",,,
"FSL-63R",2004/08/04,128,"11,08",219,"8,3","22,5","=",44,-1,,,,,,,,,,,,,,,15,,"2,4",,,"2,5",,,
"FSL-63R",2004/09/01,97,"8,64",202,"7,9","21,2","=",50,-1,,,,,,,,,,,,,,,13,,"1,7",,,"1,5",,,
"FSL-63R",2004/09/21,94,"8,97",197,"8,1","18,0","=",14,1,,,,,,,,,,,,,,,17,,"2,5",,,"3,3",,,
"FSL-63R",2004/10/05,100,"9,96",283,"8,5","15,5","=",14,1,,,,,,,,,,,,,,,14,,"2,4",,,2,,,
"FSL-64L",2004/05/31,100,"10,46",263,"7,6","13,5","=",4,1,,,,,,,,,,,,,,,15,,"3,4",,,"1,7",,,
"FSL-64L",2004/06/15,104,"9,89",258,"8,0","18,0","=",54,0,,,,,,,,,,,,,,,12,,"3,7",,,2,,,
"FSL-64L",2004/07/19,103,"9,12",259,"8,1","21,6","=",32,-1,,,,,,,,,,,,,,,11,,"2,5",,,2,,,
"FSL-64L",2004/08/04,126,"11,03",244,"8,3","22,2","=",120,-1,,,,,,,,,,,,,,,14,,"2,7",,,"2,7",,,
"FSL-64L",2004/09/01,95,"8,50",212,"8,0","21,1","=",34,-1,,,,,,,,,,,,,,,11,,"2,4",,,"2,2",,,
"FSL-64L",2004/09/21,96,"9,11",207,"8,3","18,1","=",16,1,,,,,,,,,,,,,,,16,,"2,8",,,"2,6",,,
"FSL-64L",2004/10/05,100,"9,95",293,"8,5","15,6","=",150,1,,,,,,,,,,,,,,,14,,"2,4",,,"1,8",,,
