"Station","Date","%OD","O2 (mg/L)","COND.","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Cd (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","TURBIDITE NTU"
"OER-LAPINIERE",2002/06/25,102,"9,84",99,"7,6","19,2","=",430,-2,"0,2","1,0","1,0",680,,"1,0",52,"1,0","9,9","11,0"
"OER-LAPINIERE",2002/07/03,104,"9,16",,"7,4","23,7","=",130,1,"0,2","1,0","2,7",340,260,"1,0",44,"1,0","6,5","7,8"
"OER-LAPINIERE",2002/07/10,95,"8,18",110,"7,5","23,1","=",100,-1,"0,2","1,0","1,0",340,130,"1,0",45,"1,3","6,1","6,6"
"OER-LAPINIERE",2002/07/24,103,"8,73",109,"7,6","23,9","=",390,-1,"0,2","1,0","1,0",370,86,"1,8",41,"1,8","7,9","8,6"
"OER-LAPINIERE",2002/07/30,110,"9,11",93,"7,6","25,1","=",600,0,"0,2","1,2","2,1",260,150,"1,7",36,"1,1","4,6","5,6"
"OER-LAPINIERE",2002/08/20,90,"7,44",99,"7,4","24,4","=",4500,1,"0,2","1,1","2,0",420,250,"1,0",55,"1,0","5,3","6,9"
"OER-LAPINIERE",2002/08/28,110,"9,53",104,"7,7","22,4","=",3900,1,"0,2","1,0","2,2",390,480,"1,4",55,"1,0","4,8","6,4"
"OER-LAPINIERE",2002/09/23,97,"8,66",118,"7,6","21,0","=",6000,0,"0,2","1,0","2,8",460,560,"1,0",72,"1,0","6,6","8,5"
"RDP-13C",2002/06/25,105,"9,79",83,"7,5","18,4","=",12,-2,"0,2","1,0","1,0",510,77,"1,0",43,"1,0","5,8","8,5"
"RDP-13C",2002/07/03,103,,96,"7,4","22,6","=",4,1,"0,2","1,0","1,6",270,57,"2,0",29,"1,0","4,9","6,0"
"RDP-13C",2002/07/10,96,"7,83",88,"7,7","22,3","=",4,-1,"0,2","1,0","1,0",280,200,"1,6",29,"1,1","4,0","5,1"
"RDP-13C",2002/07/24,98,"8,53",85,"7,8","22,4","=",2,-1,"0,4","1,0","4,2",250,54,"2,3",28,"1,0","3,1","4,9"
"RDP-13C",2002/07/30,105,"8,77",81,"7,5","24,4","<",2,0,"0,2","1,5","2,1",220,65,"1,0",22,"1,0","2,4","4,2"
"RDP-13C",2002/08/20,87,"7,65",75,"7,7","23,1","=",12,1,"0,2","1,5","1,8",600,45,"1,0",46,"1,0","7,6","11,0"
"RDP-13C",2002/08/28,93,"8,35",74,"7,7","20,9","=",14,1,"0,2","1,0","1,9",510,42,"1,4",46,"1,4","6,7","7,8"
"RDP-13C",2002/09/23,95,"8,70",70,"7,8","20,1","=",24,0,"0,2","1,0","1,3",620,28,"1,0",55,"1,0","10,4","10,0"
"RDP-14R",2002/06/25,105,"9,79",84,"7,5","19,0","=",12,-2,,,,,,,63,,"8,0","9,4"
"RDP-14R",2002/07/03,102,"8,73",98,"7,6","23,2","=",24,1,"0,2","1,0","1,0",330,49,"1,0",32,"1,0","6,2","6,5"
"RDP-14R",2002/07/10,96,"8,16",93,"7,6","22,7","=",36,-1,,,,,,,31,,"5,9","6,0"
"RDP-14R",2002/07/24,100,"8,60",87,"7,7","22,9","=",24,-1,,,,,,,35,,"6,2","6,6"
"RDP-14R",2002/07/30,105,"8,75",86,"7,6","24,6","=",270,0,,,,,,,29,,"4,7","5,7"
"RDP-14R",2002/08/20,87,"7,80",77,"7,8","23,7","=",32,1,,,,,,,29,,"5,0","6,3"
"RDP-14R",2002/08/28,93,"8,22",76,"7,6","21,5","=",18,1,,,,,,,26,,"3,7","5,3"
"RDP-14R",2002/09/23,92,"8,32",74,"7,7","20,3","=",430,0,,,,,,,34,,"4,9","7,2"
"RDP-16L",2002/06/25,106,"9,98",80,"7,5","18,7","=",8,-2,"0,2","1,0","1,0",640,64,"1,6",46,"1,0","9,0","10,0"
"RDP-16L",2002/07/03,103,,96,"7,4","22,6","=",2,1,"0,2","1,0","2,1",280,49,"1,1",26,"1,0","5,8","6,5"
"RDP-16L",2002/07/10,95,"8,24",89,"7,7","22,6","<",2,-1,"0,2","1,0","1,0",320,84,"1,2",44,"1,3","5,6","6,1"
"RDP-16L",2002/07/24,100,"8,65",85,"7,8","22,9","=",2,-1,"0,2","1,0","1,0",260,37,"1,0",28,"1,0","4,9","5,7"
"RDP-16L",2002/07/30,106,"8,92",82,"7,6","24,5","=",8,0,"0,2","1,3","2,2",220,53,"1,3",26,"1,0","3,4","5,3"
"RDP-16L",2002/08/20,87,"7,91",75,"8,0","23,5","=",2,1,"0,2","1,1","1,0",440,36,"1,0",36,"1,0","6,3","6,8"
"RDP-16L",2002/08/28,93,"8,27",75,"7,7","20,8","=",8,1,"0,2","1,0","1,5",460,27,"2,7",37,"1,0","5,6","6,8"
"RDP-16L",2002/09/23,95,"8,62",70,"7,8","20,2","=",68,0,"0,2","1,0","1,8",570,30,"1,0",44,"1,0","8,1","9,9"
"RDP-19R",2002/06/25,104,"9,70",83,"7,5","18,9","=",12,-2,,,,,,,43,,"8,3","9,8"
"RDP-19R",2002/07/03,102,"8,72",97,"7,5","23,3","=",6,1,,,,,,,31,,"6,3","6,8"
"RDP-19R",2002/07/10,96,"8,20",95,"7,6","22,8","=",36,-1,,,,,,,40,,"5,3","6,1"
"RDP-19R",2002/07/24,105,"9,01",88,"7,8","23,3","=",20,-1,,,,,,,37,,"7,2","7,8"
"RDP-19R",2002/07/30,110,"9,18",85,"7,7","24,8","=",180,0,,,,,,,26,,"4,3","5,4"
"RDP-19R",2002/08/20,87,"7,66",80,"7,7","23,7","=",120,1,,,,,,,33,,"5,6","7,2"
"RDP-19R",2002/08/28,92,"8,24",81,"7,6","21,0","=",110,1,,,,,,,42,,"4,8","6,7"
"RDP-19R",2002/09/23,92,"8,43",82,"7,7","19,9","=",4500,0,,,,,,,47,,"8,5","10,0"
"RDP-21R",2002/06/25,104,"9,76",82,"7,5","18,7","=",22,-2,,,,,,,45,,"8,2","10,0"
"RDP-21R",2002/07/03,101,"8,71",97,"7,5","23,1","=",10,1,,,,,,,31,,"5,8","6,5"
"RDP-21R",2002/07/10,98,"8,25",90,"7,7","22,7","=",8,-1,,,,,,,42,,"5,7","5,9"
"RDP-21R",2002/07/24,100,"8,60",86,"7,7","23,0","=",14,-1,,,,,,,30,,"5,7","6,9"
"RDP-21R",2002/07/30,104,"8,75",84,"7,5","24,4","=",82,0,,,,,,,26,,"4,9","6,0"
"RDP-21R",2002/08/20,86,"7,62",76,"7,6","23,7","=",62,1,,,,,,,28,,"5,9","6,5"
"RDP-21R",2002/08/28,97,"8,60",75,"7,7","21,7","=",8,1,,,,,,,24,,"4,0","5,6"
"RDP-21R",2002/09/23,93,"8,42",72,"7,7","20,4","=",380,0,,,,,,,32,,"4,2","6,3"
"RDP-23C",2002/06/25,104,"9,79",81,"7,5","18,7","=",4,-2,,,,,,,43,,"10,0","10,0"
"RDP-23C",2002/07/03,101,"8,78",97,"7,5","23,0","=",4,1,,,,,,,31,,"6,3","6,8"
"RDP-23C",2002/07/10,95,"8,29",89,"7,6","22,5","=",10,-1,,,,,,,35,,"5,9","6,1"
"RDP-23C",2002/07/24,101,"8,71",85,"7,7","22,9","=",8,-1,,,,,,,30,,"6,0","6,6"
"RDP-23C",2002/07/30,105,"8,84",82,"7,5","24,5","=",10,0,,,,,,,24,,"4,5","5,5"
"RDP-23C",2002/08/20,90,"7,60",75,"7,5","23,6","=",8,1,,,,,,,40,,"7,5","8,1"
"RDP-23C",2002/08/28,94,"8,39",75,"7,7","21,4","=",6,1,,,,,,,29,,"5,0","6,7"
"RDP-23C",2002/09/23,96,"8,69",71,"7,7","20,3","=",54,0,,,,,,,39,,"7,8","9,1"
"RDP-23L",2002/06/25,104,"9,71",81,"7,5","18,8","=",18,-2,,,,,,,42,,"9,0","10,0"
"RDP-23L",2002/07/03,101,"8,68",96,"7,5","23,2","=",12,1,,,,,,,30,,"5,9","6,4"
"RDP-23L",2002/07/10,98,"8,45",90,"7,6","22,8","=",6,-1,,,,,,,36,,"5,6","6,0"
"RDP-23L",2002/07/24,104,"8,99",85,"7,7","23,0","=",8,-1,,,,,,,45,,"5,0","6,2"
"RDP-23L",2002/07/30,108,"9,02",82,"7,6","24,6","=",50,0,,,,,,,25,,"3,6","5,3"
"RDP-23L",2002/08/20,94,"7,66",76,"7,7","23,9","=",56,1,,,,,,,34,,"5,6","7,0"
"RDP-23L",2002/08/28,101,"8,92",76,"7,7","21,3","=",12,1,,,,,,,29,,"4,0","6,2"
"RDP-23L",2002/09/23,101,"9,21",72,"7,8","20,3","=",96,0,,,,,,,40,,"7,0","9,2"
"RDP-23R",2002/06/25,104,"9,78",82,"7,5","18,8","=",62,-2,,,,,,,46,,"8,8","10,0"
"RDP-23R",2002/07/03,102,"8,72",97,"7,5","23,1","=",38,1,,,,,,,33,,"5,7","7,0"
"RDP-23R",2002/07/10,98,"8,25",90,"7,6","22,8","=",66,-1,,,,,,,45,,"6,2","6,0"
"RDP-23R",2002/07/24,101,"8,67",86,"7,7","23,0","=",24,-1,,,,,,,32,,"6,7","6,8"
"RDP-23R",2002/07/30,106,"8,85",84,"7,6","24,5","=",100,0,,,,,,,26,,"5,6","6,0"
"RDP-23R",2002/08/20,89,"7,63",75,"7,5","23,5","=",42,1,,,,,,,32,,"5,8","6,9"
"RDP-23R",2002/08/28,95,"8,41",75,"7,7","21,6","=",20,1,,,,,,,23,,"3,9","5,6"
"RDP-23R",2002/09/23,97,"8,76",72,"7,7","20,5","=",250,0,,,,,,,32,,"3,9","6,5"
"RDP-26C",2002/06/25,104,"9,71",81,"7,5","18,7","=",14,-2,,,,,,,43,,"8,3","9,8"
"RDP-26C",2002/07/03,102,"8,72",96,"7,5","23,1","=",8,1,,,,,,,33,,"5,7","7,1"
"RDP-26C",2002/07/10,95,"8,23",89,"7,6","22,7","=",4,-1,,,,,,,42,,"5,5","6,5"
"RDP-26C",2002/07/24,100,"8,68",85,"7,7","22,9","=",6,-1,,,,,,,32,,"5,5","6,5"
"RDP-26C",2002/07/30,106,"8,85",83,"7,5","24,5","=",6,0,,,,,,,26,,"4,3","5,7"
"RDP-26C",2002/08/20,87,"7,57",75,"7,6","23,6","=",12,1,,,,,,,37,,"7,6","8,5"
"RDP-26C",2002/08/28,95,"8,40",75,"7,7","21,3","=",8,1,,,,,,,38,,"4,9","6,7"
"RDP-26C",2002/09/23,95,"8,59",71,"7,7","20,3","=",120,0,,,,,,,41,,"7,5","9,3"
"RDP-26L",2002/06/25,105,"9,64",83,"7,5","18,8","=",42,-2,,,,,,,40,,"9,3","10,0"
"RDP-26L",2002/07/03,101,"8,70",98,"7,5","23,4","=",14,1,,,,,,,30,,"4,6","6,3"
"RDP-26L",2002/07/10,97,"8,42",94,"7,6","22,8","=",100,-1,,,,,,,36,,"6,0","6,4"
"RDP-26L",2002/07/24,101,"8,72",90,"7,7","23,0","=",18,-1,,,,,,,30,,"5,1","6,6"
"RDP-26L",2002/07/30,108,"9,00",88,"7,6","24,7","=",66,0,,,,,,,27,,"3,6","5,5"
"RDP-26L",2002/08/20,87,"7,55",78,"7,6","23,6","=",30,1,,,,,,,37,,"5,4","7,3"
"RDP-26L",2002/08/28,96,"8,47",80,"7,7","21,5","=",16,1,,,,,,,28,,"5,2","7,2"
"RDP-26L",2002/09/23,95,"8,61",87,"7,7","20,3","=",1000,0,,,,,,,41,,"5,9","9,2"
"RDP-26R",2002/06/25,104,"9,76",100,"7,5","18,7","=",530,-2,,,,,,,42,,"8,0","10,0"
"RDP-26R",2002/07/03,101,"8,69",97,"7,5","23,2","=",20,1,,,,,,,33,,"5,9","6,9"
"RDP-26R",2002/07/10,96,"8,10",90,"7,6","22,9","=",6,-1,,,,,,,38,,"6,1","6,1"
"RDP-26R",2002/07/24,101,"8,65",95,"7,7","23,2","=",56,-1,,,,,,,35,,"6,2","7,1"
"RDP-26R",2002/07/30,105,"8,80",84,"7,6","24,6","=",72,0,,,,,,,26,,"4,7","5,8"
"RDP-26R",2002/08/20,91,"7,61",76,"7,6","23,8","=",28,1,,,,,,,33,,"6,0","7,0"
"RDP-26R",2002/08/28,94,"8,26",85,"7,7","21,7","=",1900,1,,,,,,,30,,"3,7","5,8"
"RDP-26R",2002/09/23,95,"8,59",73,"7,8","20,1","=",500,0,,,,,,,34,,"4,4","7,0"
"RDP-29R",2002/06/25,104,"9,59",93,"7,5","19,0","=",66,-2,,,,,,,44,,"7,9","9,9"
"RDP-29R",2002/07/03,102,"8,71",106,"7,5","23,4","=",18,1,,,,,,,29,,"5,5","6,3"
"RDP-29R",2002/07/10,94,"8,16",91,"7,6","22,9","=",66,-1,,,,,,,36,,"6,0","6,1"
"RDP-29R",2002/07/24,99,"8,49",87,"7,6","23,1","=",62,-1,,,,,,,35,,"6,3","7,1"
"RDP-29R",2002/07/30,106,"8,83",90,"7,6","24,5","=",100,0,,,,,,,25,,"4,8","5,9"
"RDP-29R",2002/08/20,86,"7,51",125,"7,6","23,8","=",44,1,,,,,,,31,,"5,6","7,4"
"RDP-29R",2002/08/28,93,"8,24",76,"7,7","21,8","=",120,1,,,,,,,31,,"3,6","5,8"
"RDP-29R",2002/09/23,93,"8,41",93,"7,7","20,6","=",470,0,,,,,,,35,,"4,2","6,5"
"RDP-30L",2002/06/25,104,"9,68",83,"7,5","19,0","=",530,-2,"0,2","1,0","1,0",680,34,"1,1",43,"1,0","12,0","12,0"
"RDP-30L",2002/07/03,102,"8,72",97,"7,5","23,3","=",40,1,,,,,,,33,,"7,6","7,3"
"RDP-30L",2002/07/10,95,"8,21",92,"7,6","22,8","=",24,-1,,,,,,,43,,"6,6","6,7"
"RDP-30L",2002/07/24,100,"8,56",90,"7,7","23,4","=",280,-1,,,,,,,37,,"7,7","7,7"
"RDP-30L",2002/07/30,107,"8,91",88,"7,6","24,8","=",260,0,,,,,,,29,,"5,5","6,3"
"RDP-30L",2002/08/20,92,"7,63",83,"7,6","23,9","=",150,1,,,,,,,31,,"5,0","7,1"
"RDP-30L",2002/08/28,96,"8,41",79,"7,7","21,9","=",90,1,,,,,,,42,,"4,4","7,1"
"RDP-30L",2002/09/23,95,"8,53",73,"7,7","20,6","=",180,0,,,,,,,34,,"4,6","7,9"
"RDP-32C",2002/06/25,104,"9,73",81,"7,5","18,9","=",8,-2,,,,,,,40,,"8,7","9,9"
"RDP-32C",2002/07/03,102,"8,68",96,"7,5","23,4","=",50,1,,,,,,,37,,"6,1","7,2"
"RDP-32C",2002/07/10,96,"8,27",90,"7,6","22,7","=",2,-1,,,,,,,31,,"6,0","5,9"
"RDP-32C",2002/07/24,101,"8,64",87,"7,6","23,2","=",14,-1,,,,,,,33,,"6,3","6,9"
"RDP-32C",2002/07/30,106,"8,85",84,"7,6","24,6","=",92,0,,,,,,,24,,"4,4","5,7"
"RDP-32C",2002/08/20,89,"7,52",75,"7,5","23,7","=",14,1,,,,,,,33,,"6,3","7,4"
"RDP-32C",2002/08/28,95,"8,40",75,"7,7","21,8","=",14,1,,,,,,,27,,"3,8","5,9"
"RDP-32C",2002/09/23,95,"8,56",71,"7,7","20,7","=",160,0,,,,,,,34,,"4,8","7,4"
