"Station","Date","%OD","O2 (mg/L)","COND.","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-0P",13/09/2017 10:01,"65,9","5,93",600,"7,23","20,46",">",600000,1,"0,1",314,"0,8",29,"0,1",41100,"0,1","0,8","24,2","0,7","7,4",201,8160,10900,25,"2,6",44700,5100,"2,5",256,"0,4","9,4","0,9","4,8","1,0","0,3","0,4","7,0"
"EMIS-0P",25/09/2017 09:35,"75,6","6,59",436,"7,3","22,12",">",600000,1,"0,1",171,"0,8",26,"0,1",37600,"0,1","0,4","11,9","0,9",5,338,4480,9950,"19,7","1,8",27000,420,"1,3",118,"0,2","4,2","0,5",1,"1,0","0,3","0,3","7,0"
"EMIS-0P",02/10/2017 10:15,"71,5","6,55",412,"7,34","19,52",">",600000,1,"0,1",201,"0,7",27,"0,1",38800,"0,1","0,5","16,2","0,7","6,9",465,6410,10100,"22,8","1,9",33300,3200,"1,6",145,"0,3","8,1","0,5","6,2","1,0","0,3","0,3","7,0"
"EMIS-16P",21/06/2017 12:53,"100,5","9,38",272,,"18,64","=",40000,-1,"0,1",212,"0,8",23,"0,1",30000,"0,1","0,2","3,3","0,7","1,4",265,1480,7440,"11,9","15,5",13000,60,"0,9",19,"0,3","7,4","0,5","0,5","1,0","0,3","1,2","7,0"
"EMIS-16P",14/08/2017 11:36,"97,3","8,41",298,"8,17","22,55","=",22000,-1,"0,1",107,"0,8",23,"0,1",32200,"0,1","0,1","2,9","0,5","1,1",125,1590,8340,"6,2","1,1",13500,60,"0,9",14,"0,2","3,3","0,5","0,5","1,0","0,3","1,1","7,0"
"EMIS-16P",30/08/2017 12:11,"99,5","8,71",292,"8,25","21,9","=",2900,1,"0,1",110,"0,8",23,"0,1",31300,"0,1","0,1","3,2","0,5","1,1",130,1640,8560,"7,2","1,1",13800,90,"0,7",23,"0,2","4,1","0,5","0,5","1,0","0,3","0,9","7,0"
"EMIS-16P",06/09/2017 11:55,"95,7","8,74",292,"8,18","19,72","=",27000,-1,"0,1",102,"0,8",24,"0,1",33400,"0,1","0,1","2,8","0,5","1,2",130,1680,8790,"6,7","1,1",13200,60,"0,8",13,"0,2","3,6","0,5","0,5","1,0","0,4","1,0","7,0"
"EMIS-16P",13/09/2017 11:53,"98,5","9,05",284,"8,19","19,45","=",23000,1,"0,1",82,"0,8",24,"0,1",32300,"0,1","0,1",3,"0,4","1,1",113,1640,8360,"5,9",1,12700,80,1,12,"0,2","2,3","0,5","0,5","1,0","0,3","1,2","7,0"
"EMIS-16P",25/09/2017 11:20,"99,2","8,7",292,8,"21,82","=",15000,1,"0,1",71,"0,8",23,"0,1",33400,"0,1","0,1","2,8","0,4","1,2",101,1680,8820,6,"1,1",13100,50,"0,7",11,"0,2","1,8","0,5","0,5","1,0","0,4","0,3","7,0"
"EMIS-16P",02/10/2017 13:06,"96,5","9,01",296,"8,03","18,65","=",10000,1,"0,1",74,"0,8",24,"0,1",34400,"0,1","0,1","2,6","0,6",1,99,1750,9090,"6,6",1,13200,50,"0,7",10,"0,2",2,"0,5","0,5","1,0","0,4","0,4","7,0"
"EMIS-16RN",21/06/2017 12:48,97,"8,73",110,,"20,46","=",2300,-1,"0,1",541,"0,4",18,"0,1",11000,"0,1","0,3","6,2","1,3","1,8",681,942,2840,"29,3",1,5860,100,"1,2",38,"0,5","13,4","0,5","0,5","1,0","0,1","0,4","9,0"
"EMIS-16RN",14/08/2017 11:32,"95,3","8,12",151,"7,73","23,36","=",730,-1,"0,1",292,"0,5",20,"0,1",15800,"0,1","0,2","6,4","0,9","1,6",393,1140,4170,19,1,8010,90,"0,9",28,"0,2","5,8","0,5","0,5","1,0","0,2","0,3","7,0"
"EMIS-16RN",30/08/2017 12:06,"95,7","8,45",127,"7,57","21,47","=",410,1,"0,1",286,"0,4",19,"0,1",13600,"0,1","0,2","6,6","0,9","1,7",377,1070,3640,"17,6",1,6760,90,"1,7",25,"0,2","4,9","0,5","0,5","1,0","0,1","0,4","7,0"
"EMIS-16RN",06/09/2017 11:49,"95,3","8,89",126,"7,51","18,75","=",1300,-1,"0,1",311,"0,5",19,"0,1",13300,"0,1","0,2","6,5",1,"1,6",369,1120,3440,"18,8",1,6370,90,"0,9",26,"0,3","5,6","0,5","0,5","1,0","0,1","0,4","7,0"
