"Station","Date","%OD","O2 (mg/L)","COND.","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"OER-LAPINIERE","2012-07-30  10:36:37","102","8,5","111","7,9","24,6","=","99","1","0,1","347,6","0,6","18,4","0,1","10416,0","0,1","0,2","6,1","0,8","2,2","402,2","990,4","2622,0","18,0","1,0","6244,0","223,3","0,9","29,0","0,6","5,8","0,5","0,6","1,0","0,1","1,1","5,0"
"OER-LAPINIERE","2012-08-20  10:34:44","98","8,5","124","7,7","22,5","=","180","1","0,1","296,6","0,4","17,9","0,1","10906,0","0,1","0,2","6,4","0,7","3,2","331,4","1043,0","2610,0","16,3","1,0","7062,0","346,3","0,9","25,0","0,3","4,8","0,5","0,5","1,0","0,1","1,2","3,1"
"OER-LAPINIERE","2012-09-12  10:05:29","96","8,8","156","7,6","19,5","=","2100","1","0,1","323,4","0,5","18,1","0,1","12828,0","0,1","0,2","6,8","1,0","1,5","366,0","1314,6","3040,0","19,7","1,0","9124,0","896,3","1,1","43,0","0,3","7,2","0,5","0,5","1,0","0,1","1,1","3,0"
"OER-LAPINIERE","2012-09-17  10:29:24","97","9,0","150","7,8","18,8","=","1000","1","0,1","330,4","0,5","18,3","0,1","11824,0","0,1","0,2","5,7","0,8","1,6","358,0","1208,6","2888,0","18,7","1,0","8710,0","698,1","0,9","31,0","0,4","6,1","0,5","0,5","1,0","0,1","1,1","3,2"
"OER-LAPINIERE","2012-10-02  10:01:57","106","10,7","158","7,5","15,1","=","600","-1","0,1","414,8","0,5","20,4","0,1","14674,0","0,1","0,2","6,0","0,9","1,7","473,2","1506,6","3518,0","26,0","1,0","10960,0","590,8","1,0","77,0","0,4","8,9","0,5","0,5","1,0","0,1","1,2","4,2"
"OER-LAPINIERE","2012-10-16  10:37:24","104","11,4","159","7,6","11,4","=","150","-1","0,1","551,4","0,4","20,2","0,1","12320,0","0,1","0,3","6,1","1,5","1,5","622,2","1304,0","3088,0","31,7","1,0","8088,0","416,7","1,1","39,0","0,5","11,4","0,5","0,5","1,0","0,1","1,3","4,4"
"OER-LAPINIERE","2012-10-23  10:24:45",,"7,6","171","7,7","11,6","=","360","1","0,1","498,2","0,5","20,8","0,1","15552,0","0,1","0,3","6,4","0,9","1,6","517,4","1392,4","3786,0","28,7","1,0","11076,0","575,0","1,0","48,0","0,4","11,4","0,5","0,5","1,0","0,2","1,1","3,6"
"RDP-23C","2012-08-01  12:52:29","99","8,0","88","8,1","26,0","=","140","-1",,,,,,,,,"5,5",,,,,,,,,,,"19,0",,"3,1",,,,,,
"RDP-23C","2012-08-22  11:45:02","95","8,2","89","7,7","22,7","=","18","1","0,1","313,8","0,5","17,1","0,1","8156,0","0,1","0,2","6,4","0,8","1,5","354,2","835,6","2090,0","16,1","1,0","4674,0","20,0","0,8","64,0","0,3","4,7","0,5","0,5","1,0","0,1","1,3","3,0"
"RDP-23C","2012-09-10  12:26:25","95","8,7","89","7,9","19,9","=","72","-2","0,1","478,6","0,5","20,1","0,1","8218,0","0,1","0,3","5,7","1,2","1,7","533,4","857,8","2124,0","22,6","1,0","4582,0","20,0","1,0","27,0","0,4","9,0","0,5","0,5","1,0","0,1","1,4","4,4"
