"Station","Date","%OD","O2 (mg/L)","COND.","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-(-1)P","2011-08-02  09:03:46","119","10,0",293,"8,4","24,0","=","430","0","0,1","97,6","1,1","23,2","0,1","29660,0","0,1","0,1","2,7","1,0","1,0","144,3","1496,8","7700,0","6,5","1,3","11892,0","20,0","0,8","11,0","0,2","2,4","0,5","0,5","1,0","0,3","0,5","3,0"
"EMIS-(-1)P","2011-08-08  09:23:27","99","8,3",285,"8,4","24,4","=","8","-1","0,1","92,6","0,9","23,7","0,1","29860,0","0,1","0,1","2,8","0,9","0,8","117,9","1467,0","7844,0","6,1","1,1","12080,0","20,0","0,6","11,0","0,2","2,7","0,5","0,5","1,0","0,3","0,5","3,0"
"EMIS-(-1)P","2011-08-30  09:25:41","98","8,8",288,"8,3","20,6","=","63","-1","0,1","118,0","0,8","24,0","0,1","32600,0","0,1","0,1","2,6","0,3","0,9","134,2","1651,8","8188,0","6,1","1,1","12536,0","20,0","0,7","14,0","0,2","3,8","0,5","0,5","1,0","0,3","0,5","3,0"
"EMIS-(-1)P","2011-09-13  09:12:44","100","8,9",288,"8,4","21,1","=","180","-1","0,1","89,5","0,9","22,8","0,1","32180,0","0,1","0,1","2,6","0,5","0,9","116,1","1637,8","8446,0","5,9","1,2","12874,0","20,0","0,7","11,0","0,2","2,8","0,5","0,5","1,0","0,4","0,5","3,0"
"EMIS-(-1)P","2011-09-26  08:57:31","108","10,0",270,"8,4","19,1","=","28","1","0,1","75,5","0,8","22,9","0,1","32400,0","0,1","0,1","2,4","0,3","0,8","97,9","1636,6","8506,0","5,4","1,1","12794,0","20,0","0,6","11,0","0,2","2,4","0,5","0,5","1,0","0,3","0,4","3,0"
"EMIS-(-1)P","2011-10-11  09:21:13","102","10,1",273,"8,4","16,1","=","10","0","0,1","57,7","0,7","22,9","0,1","30580,0","0,1","0,1","2,7","0,8","0,7","77,7","1518,0","7758,0","4,5","1,0","11552,0","20,0","0,6","8,0","0,2","2,0","0,5","0,5","1,0","0,3","0,3","3,0"
"EMIS-(-1)P","2011-10-26  09:11:06","100","10,9",259,"8,1","11,6","=","18","-2","0,1","169,8","0,8","24,3","0,1","32080,0","0,1","0,1","2,7","0,4","0,9","202,6","1688,2","7794,0","8,1","1,2","11826,0","20,0","0,8","15,0","0,3","5,2","0,5","0,5","1,0","0,4","0,7","3,0"
"EMIS-(-1)RS","2011-08-02  09:09:07","96","8,1",306,"8,3","23,7","=","400","0","0,1","102,4","0,8","23,9","0,1","31220,0","0,1","0,1","2,6","0,3","0,9","135,4","1516,0","8162,0","5,6","1,1","12552,0","20,0","0,7","14,0","0,2","3,4","0,5","0,5","1,0","0,3","0,5","3,0"
"EMIS-(-1)RS","2011-08-08  09:28:50","98","8,2",293,"8,4","24,2","<","10","-1","0,1","83,9","0,9","23,7","0,1","31280,0","0,1","0,1","2,6","1,2","0,9","115,5","1513,0","8200,0","5,2","1,2","12408,0","20,0","0,7","10,0","0,2","2,6","0,5","0,5","1,0","0,3","0,5","3,0"
"EMIS-(-1)RS","2011-08-30  09:32:16","96","8,6",298,"8,3","20,8","=","1600","-1","0,1","218,2","0,9","24,9","0,1","33640,0","0,1","0,1","2,3","0,5","1,0","239,6","1744,6","8538,0","8,5","1,1","12826,0","20,0","0,8","20,0","0,2","6,2","0,5","0,5","1,0","0,3","0,7","3,0"
