"Station","Date","%OD","O2 (mg/L)","COND.","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-(-1)P",2014/07/08,95,"8,6",270,"8,1","20,2","=",18,-1,"0,1","182,0","0,7","24,7","0,1","28900,0","0,1","0,1","0,3","1,3","212,0","1360,0","6790,0","8,9","1,0","11400,0","20,0","0,8","17,0","0,2","4,6","0,5","0,5","0,3","0,7","7,0","0,0","1454,0"
"EMIS-(-1)P",2014/07/16,97,"8,8",263,"8,4","20,6","=",18,-1,"0,1","138,0","0,8","25,2","0,1","28500,0","0,1","0,1","0,3","1,2","169,0","1420,0","7200,0","7,9","1,0","11900,0","20,0","0,8","5,0","0,2","4,4","0,5","0,5","0,3","0,6","3,0","0,0","1475,0"
"EMIS-(-1)P",2014/08/27,98,"8,6",269,"8,4","22,2","<",10,1,"0,1","96,0","0,8","24,0","0,1","29800,0","0,1","0,1","0,3","1,1","105,0","1440,0","7330,0","5,8","1,1","11600,0","20,0","0,7","9,0","0,2","2,4","0,5","0,5","0,3","0,5","3,0","0,0","1496,0"
"EMIS-(-1)P",2014/09/10,,,,,,"=",18,1,"0,1","111,0","0,8","24,0","0,1","31700,0","0,1","0,1","0,3","1,1","130,0","1530,0","8170,0","7,2","1,1","12700,0","73,0","0,7","12,0","0,2","2,6","0,5","0,5","0,3","0,5","3,0","0,0","0,0"
"EMIS-(-1)P",2014/09/16,97,"9,2",260,"8,5","17,8","<",10,1,"0,1","116,0","0,8","22,0","0,1","28200,0","0,1","0,1","0,3","1,1","126,0","1330,0","7090,0","6,8","1,0","10900,0","23,0","0,6","13,0","0,2","3,0","0,5","0,5","0,3","0,4","11,0","0,0","0,0"
"EMIS-(-1)P",2014/09/24,108,"10,5",260,"8,3","16,5","=",18,-1,"0,1","132,0","0,8","23,0","0,1","29300,0","0,1","0,1","0,3","0,9","155,0","1440,0","7410,0","7,6","1,0","11500,0","20,0","0,9","14,0","0,2","3,9","0,5","0,5","0,3","0,8","3,0","0,0","0,0"
"EMIS-(-1)P",2014/10/21,98,"10,3",246,"8,2","13,1","=",18,0,"0,1","150,0","0,7","21,0","0,1","26600,0","0,1","0,1","0,3","1,0","173,0","1360,0","7110,0","7,3","1,0","11100,0","20,0","0,8","14,0","0,2","2,6","0,5","0,5","0,3","0,6","3,0","0,0","0,0"
"EMIS-(-1)RS",2014/07/08,95,"8,6",287,"7,9","20,0","=",250,-1,"0,1","108,0","0,8","25,2","0,1","31800,0","0,1","0,1","0,3","1,2","142,0","1440,0","7630,0","6,5","1,0","12500,0","21,0","0,7","14,0","0,2","3,6","0,5","0,5","0,3","0,5","3,0","0,0","0,0"
"EMIS-(-1)RS",2014/07/16,96,"8,7",276,"8,0","20,2","=",210,-1,"0,1","88,1","0,8","24,5","0,1","28800,0","0,1","0,1","0,3","0,5","108,0","1420,0","7320,0","5,4","1,0","12000,0","20,0","0,8","7,0","0,2","3,3","0,5","0,5","0,3","0,5","6,4","0,0","0,0"
"EMIS-(-1)RS",2014/08/27,95,"8,4",283,"8,4","21,9","=",150,1,"0,1","79,0","0,8","24,0","0,1","31300,0","0,1","0,1","0,3","1,0","75,0","1500,0","7750,0","4,1","1,1","12100,0","20,0","0,6","9,0","0,2","2,4","0,5","0,5","0,3","0,4","3,0","0,0","0,0"
"EMIS-(-1)RS",2014/09/10,95,"8,5",281,"8,4","21,0","=",200,1,"0,1","66,0","0,9","24,0","0,1","33800,0","0,1","0,1","0,3","0,9","80,0","1600,0","8630,0","4,7","1,1","13400,0","24,0","0,6","10,0","0,2","2,2","0,5","0,5","0,4","0,4","3,0","0,0","0,0"
"EMIS-(-1)RS",2014/09/16,98,"9,3",281,"8,4","18,0","=",210,1,"0,1","81,0","0,8","23,0","0,1","31800,0","0,1","0,1","0,3","1,0","81,0","1460,0","7890,0","4,8","1,1","12300,0","25,0","0,8","11,0","0,2","2,0","0,5","0,5","0,3","0,4","3,0","0,0","0,0"
"EMIS-(-1)RS",2014/09/24,108,"10,5",285,"8,4","16,6","=",170,-1,"0,1","83,0","0,8","25,0","0,1","33000,0","0,1","0,1","0,3","0,8","103,0","1540,0","8130,0","5,2","1,1","12500,0","20,0","0,6","13,0","0,2","3,0","0,5","0,5","0,4","0,5","3,0","0,0","0,0"
"EMIS-(-1)RS",2014/10/21,98,"10,2",294,"8,2","13,4","=",240,0,"0,1","95,0","0,8","24,0","0,1","33600,0","0,1","0,1","0,3","0,9","93,0","1570,0","8820,0","4,6","1,1","13800,0","20,0","0,8","10,0","0,2","1,3","0,5","0,5","0,3","0,4","8,0","0,0","0,0"
"EMIS-0P",2014/07/08,65,"5,9",428,"7,2","20,6","=",240000,-1,"0,1","177,0","0,8","28,6","0,1","36700,0","0,1","2,7","1,0","7,4","835,0","3170,0","8580,0","23,9","2,1","26800,0","1540,0","1,6","115,0","0,6","10,0","0,5","0,5","0,4","0,7","14,6","0,0","0,0"
"EMIS-0P",2014/07/16,57,"5,1",492,"7,3","21,2","=",120000,-1,"0,1","115,0","0,8","25,6","0,1","32000,0","0,1","6,7","0,3","4,8","621,0","3020,0","8520,0","25,0","1,0","28000,0","1720,0","1,3","71,0","0,2","7,5","0,5","0,5","0,3","0,5","11,9","0,0","0,0"
"EMIS-0P",2014/08/27,75,"6,5",365,"7,4","22,6","=",330000,1,"0,1","133,0","0,9","23,0","0,1","30000,0","0,1","0,1","0,3","1,2","138,0","1480,0","7430,0","5,6","1,1","11700,0","22,0","0,7","10,0","0,2","3,0","0,5","0,5","0,3","0,5","3,0","0,0","0,0"
"EMIS-0P",2014/09/10,87,"7,8",304,"7,9","21,3","=",55000,1,"0,1","97,0","0,7","24,0","0,1","30700,0","0,1","3,4","0,3","2,1","314,0","2000,0","7860,0","15,5","1,2","16200,0","517,0","0,8","34,0","0,2","3,4","0,5","0,5","0,3","0,5","3,0","0,0","0,0"
"EMIS-0P",2014/09/16,82,"7,7",353,"7,7","18,4","=",490000,1,"0,1","152,0","0,7","25,0","0,1","34700,0","0,1","8,4","0,5","4,5","647,0","3520,0","8690,0","31,3","1,7","27600,0","1640,0","1,5","76,0","0,3","6,0","0,5","0,5","0,3","0,6","9,0","0,0","0,0"
"EMIS-0P",2014/09/24,88,"8,4",409,"7,6","17,5","=",1300000,-1,"0,1","88,0","0,7","27,0","0,1","37200,0","0,1","24,9","0,8","8,7","1220,0","5200,0","9300,0","64,3","2,4","47000,0","5760,0","1,8","165,0","0,5","10,0","0,7","0,7","0,3","0,5","13,0","0,0","0,0"
"EMIS-0P",2014/10/21,78,"7,9",414,"7,5","14,5","=",490000,0,"0,1","153,0","0,7","25,0","0,1","33100,0","0,1","13,2","0,7","6,6","685,0","4130,0","8900,0","37,5","1,8","29100,0","6360,0","1,9","117,0","0,4","9,2","0,5","0,5","0,3","0,5","9,0","0,0","0,0"
"EMIS-16P",2014/07/08,94,"8,4",272,"8,0","20,5","=",28000,-1,"0,1","179,0","0,7","24,3","0,1","29300,0","0,1","0,1","0,3","1,2","233,0","1410,0","7000,0","8,9","1,0","11900,0","42,0","0,8","19,0","0,2","4,1","0,5","0,5","0,3","0,8","6,7","0,0","0,0"
"EMIS-16P",2014/07/16,95,"8,5",266,"7,9","20,8","=",15000,-1,"0,1","121,0","0,8","24,4","0,1","28700,0","0,1","0,3","0,3","1,4","176,0","1500,0","7460,0","7,8","1,0","12600,0","33,0","0,9","9,0","0,2","4,4","0,5","0,5","0,3","0,5","8,6","0,0","0,0"
"EMIS-16P",2014/08/27,96,"8,3",277,"8,4","22,3","=",10000,1,"0,1","125,0","0,8","25,0","0,1","30700,0","0,1","0,1","0,3","1,5","164,0","1580,0","7810,0","7,0","1,2","12600,0","49,0","0,8","13,0","0,2","3,0","0,5","0,5","0,3","0,6","9,0","0,0","0,0"
"EMIS-16P",2014/09/10,94,"8,3",271,"8,3","21,3","=",20000,1,"0,1","88,0","1,0","23,0","0,1","30900,0","0,1","0,4","0,3","1,2","125,0","1570,0","7870,0","6,6","1,1","12800,0","57,0","0,7","13,0","0,2","2,8","0,5","0,5","0,3","0,4","3,0","0,0","0,0"
"EMIS-16P",2014/09/16,98,"9,2",269,"8,3","18,0","=",21000,1,"0,1","123,0","0,8","23,0","0,1","30600,0","0,1","0,2","0,3","1,1","127,0","1480,0","7740,0","6,6","1,1","12300,0","52,0","0,7","13,0","0,2","3,2","0,5","0,5","0,3","0,9","3,0","0,0","0,0"
"EMIS-16P",2014/09/24,98,"9,6",267,"8,3","16,6","=",23000,-1,"0,1","107,0","0,8","24,0","0,1","30300,0","0,1","0,3","0,4","1,0","153,0","1540,0","7720,0","6,8","1,0","12300,0","38,0","0,7","14,0","0,3","3,2","0,5","0,5","0,3","0,6","3,0","0,0","0,0"
"EMIS-16P",2014/10/21,95,"10,0",262,"8,0","13,1","=",23000,0,"0,1","161,0","0,7","22,0","0,1","28400,0","0,1","0,8","0,4","1,7","190,0","1530,0","7520,0","8,8","1,0","12400,0","107,0","0,9","17,0","0,2","3,2","0,5","0,5","0,3","0,5","8,0","0,0","0,0"
"EMIS-16RN",2014/07/08,90,"7,9",172,"8,0","22,0","=",1300,-1,"0,1","807,0","0,5","27,9","0,1","17900,0","0,1","0,5","1,7","2,3","957,0","1330,0","4480,0","35,9","1,0","9320,0","89,0","1,8","54,0","0,6","14,8","0,5","0,5","0,2","2,3","8,5","0,0","0,0"
"EMIS-16RN",2014/07/16,94,"8,2",156,"8,2","22,3","=",2800,-1,"0,1","467,0","0,5","21,6","0,1","14300,0","0,1","0,3","1,0","2,2","578,0","1150,0","3700,0","23,3","1,0","8390,0","75,0","1,1","37,0","0,4","8,7","0,5","0,5","0,1","1,4","8,7","0,0","0,0"
"EMIS-16RN",2014/08/27,91,"7,9",130,"7,9","23,2","=",590,1,"0,1","378,0","0,5","20,0","0,1","13500,0","0,1","0,2","0,9","1,7","476,0","1100,0","3330,0","17,9","1,0","7240,0","42,0","1,0","26,0","0,3","7,2","0,5","0,5","0,1","1,2","8,0","0,0","0,0"
"EMIS-16RN",2014/09/10,90,"7,9",117,"7,8","21,9","=",360,1,"0,1","342,0","0,5","19,0","0,1","12100,0","0,1","0,2","0,7","1,6","394,0","1060,0","3090,0","15,2","1,0","6710,0","97,0","0,9","27,0","0,3","4,8","0,5","0,5","0,1","1,1","3,0","0,0","0,0"
"EMIS-16RN",2014/09/16,93,"9,0",115,"8,1","16,6","=",140,1,"0,1","489,0","0,5","20,0","0,1","12000,0","0,1","0,3","1,0","1,8","579,0","1120,0","3130,0","19,9","1,0","6630,0","66,0","1,1","33,0","0,4","6,0","0,5","0,5","0,1","1,5","8,0","0,0","0,0"
"EMIS-16RN",2014/09/24,95,"9,6",106,"8,3","15,0","=",260,-1,"0,1","488,0","0,5","21,0","0,1","11100,0","0,1","0,3","1,1","1,5","646,0","1060,0","2840,0","23,6","1,0","6270,0","46,0","1,2","32,0","0,4","9,6","0,5","0,5","0,1","1,4","10,0","0,0","0,0"
"EMIS-16RN",2014/10/21,96,"10,5",105,"8,1","11,4","=",840,0,"0,1","560,0","0,4","20,0","0,1","11400,0","0,1","0,3","1,2","1,8","706,0","1150,0","3160,0","28,1","1,0","6840,0","86,0","1,2","36,0","0,4","10,0","0,5","0,5","0,1","1,3","3,0","0,0","0,0"
"EMIS-26P",2014/07/08,94,"8,4",263,"7,8","20,7","=",12000,-1,"0,1","226,0","0,7","24,6","0,1","28800,0","0,1","0,2","0,3","1,2","248,0","1420,0","7060,0","9,7","1,0","11900,0","40,0","0,9","21,0","0,2","5,8","0,5","0,5","0,3","0,9","3,0","0,0","0,0"
"EMIS-26P",2014/07/16,96,"8,5",256,"8,0","21,1","=",14000,-1,"0,1","144,0","0,7","23,5","0,1","26300,0","0,1","0,3","0,3","1,2","174,0","1420,0","6880,0","7,7","1,0","11900,0","72,0","0,8","8,0","0,2","4,9","0,5","0,5","0,3","0,8","3,0","0,0","0,0"
"EMIS-26P",2014/08/27,93,"8,1",276,"8,3","22,6","=",13000,1,"0,1","103,0","0,8","24,0","0,1","28800,0","0,1","0,6","0,3","1,3","152,0","1590,0","7270,0","6,7","1,1","12500,0","124,0","0,7","15,0","0,2","2,9","0,5","0,5","0,3","0,5","13,0","0,0","0,0"
"EMIS-26P",2014/09/10,96,"8,5",265,"8,3","21,5","=",24000,1,"0,1","113,0","0,8","23,0","0,1","30100,0","0,1","0,6","0,3","1,2","133,0","1570,0","7700,0","7,0","1,0","12700,0","75,0","0,7","14,0","0,2","2,3","0,5","0,5","0,3","0,5","3,0","0,0","0,0"
"EMIS-26P",2014/09/16,96,"9,1",271,"8,3","18,2","=",35000,1,"0,1","109,0","0,7","22,0","0,1","28900,0","0,1","0,5","0,3","1,3","124,0","1430,0","7090,0","6,8","1,0","11900,0","111,0","0,7","14,0","0,2","2,4","0,5","0,5","0,3","0,4","8,0","0,0","0,0"
