Variable,Imposition,Prop_affaires_QC,Annee_imposition,Nombre,Unite_nombre,Montant,Unite_montant
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1986,85253,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1987,92100,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1988,95382,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1989,97171,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1990,97586,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1991,91280,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1992,89423,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1993,89408,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1994,96772,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1995,107820,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1996,113801,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1997,121330,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1998,127643,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,1999,125446,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2000,127360,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2001,128571,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2002,125523,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2003,140093,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2004,137562,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2005,156948,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2006,163582,Nombre de soci̩t̩s,,
Nombre de soci̩t̩s,Soci̩t̩s impos̩es,100 %,2007,165216,Nombre de soci̩t̩s,,
