"EspÃ¨ce vÃ©gÃ©tale","Nom commercial du produit 
(semences enrobÃ©es de pesticides)","Nom de l'ingrÃ©dient actif","Concentration de l'ingrÃ©dient actif","QuantitÃ© de 
produits vendus
(kg)","QuantitÃ© d'ingrÃ©dients actifs contenus dans le produit vendu
(kg) ","RÃ©gion administrative
du domicile du client","MunicipalitÃ© rÃ©gionale de comtÃ© 
du domicile du client","MunicipalitÃ© du domicile du client"
"","","","","","","","",""
"Canola","INVIGOR L-255PC PROSPER CANOLA","Clothianidine","0.00406","681.00","2.76","Capitale-Nationale","Portneuf","Saint-LÃ©onard-de-Portneuf"
"Canola","INVIGOR L-234PC PROSPER EVERGOL CANOLA","Clothianidine","0.00406","272.40","1.11","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Alma"
"Canola","INVIGOR L-234PC PROSPER EVERGOL CANOLA","Clothianidine","0.00406","181.60","0.74","Saguenay--Lac-Saint-Jean","Le-Domaine-du-Roy","Saint-FÃ©licien"
"Canola","INVIGOR L-255PC LUMIDERM (EVERGOL PROSPER)","Clothianidine","0.00406","181.60","0.74","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","HÃ©bertville"
"Canola","INVIGOR L-255PC PROSPER CANOLA","Clothianidine","0.00406","340.50","1.38","Saguenay--Lac-Saint-Jean","Le-Domaine-du-Roy","Saint-FÃ©licien"
"Canola","INVIGOR L-255PC PROSPER CANOLA","Clothianidine","0.00406","45.40","0.18","Saguenay--Lac-Saint-Jean","Ville-de-Saguenay ","Saguenay "
"Canola","INVIGOR L-255PC PROSPER CANOLA","Clothianidine","0.00406","113.50","0.46","Saguenay--Lac-Saint-Jean","Le-Domaine-du-Roy","Saint-AndrÃ©-du-Lac-Saint-Jean"
"Canola","INVIGOR L-255PC PROSPER CANOLA","Clothianidine","0.00406","249.70","1.01","Saguenay--Lac-Saint-Jean","Ville-de-Saguenay ","Saguenay "
"Canola","CANOLA 73-45RR","Clothianidine","0.00406","125.00","0.51","Bas-Saint-Laurent","TÃ©miscouata ","Saint-Louis-du-Ha-!-Ha!"
"Canola","4187 RR","ThiamÃ©thoxame","0.0040055","113.50","0.45","Saguenay--Lac-Saint-Jean","Le-Domaine-du-Roy","La DorÃ©"
"Canola","6204 RRTF","ThiamÃ©thoxame","0.0040055","204.30","0.82","Saguenay--Lac-Saint-Jean","Maria-Chapdelaine","Normandin"
"Canola","6204 RRTF","ThiamÃ©thoxame","0.0040055","113.50","0.45","Saguenay--Lac-Saint-Jean","Le-Domaine-du-Roy","La DorÃ©"
"Canola","6204 RRTF","ThiamÃ©thoxame","0.0040055","45.40","0.18","Saguenay--Lac-Saint-Jean","Maria-Chapdelaine","Normandin"
"Canola","Invigor Canola","Clothianidine","0.00406","249.70","1.01","Saguenay--Lac-Saint-Jean","Le-Domaine-du-Roy","Saint-FÃ©licien"
"Canola","Invigor Canola","Clothianidine","0.00406","90.80","0.37","Saguenay--Lac-Saint-Jean","Maria-Chapdelaine","Normandin"
"Canola","Invigor Canola","Clothianidine","0.00406","476.70","1.94","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Saint-Bruno"
"Canola","Invigor Canola","Clothianidine","0.00406","249.70","1.01","Saguenay--Lac-Saint-Jean","Le-Domaine-du-Roy","Saint-Prime"
"Canola","Invigor Canola","Clothianidine","0.00406","136.20","0.55","Saguenay--Lac-Saint-Jean","Maria-Chapdelaine","Saint-EugÃ¨ne-d'Argentenay"
"Canola","Invigor Canola","Clothianidine","0.00406","204.30","0.83","Saguenay--Lac-Saint-Jean","Maria-Chapdelaine","Normandin"
"Canola","Invigor Canola","Clothianidine","0.00406","249.70","1.01","Saguenay--Lac-Saint-Jean","Le-Domaine-du-Roy","Saint-Prime"
"Canola","Invigor Canola","Clothianidine","0.00406","136.20","0.55","Bas-Saint-Laurent","La-Mitis","Sainte-Jeanne-d'Arc"
"Canola","Invigor Canola","Clothianidine","0.00406","113.50","0.46","Mauricie","Les-Chenaux ","Saint-Narcisse "
"Canola","Invigor Canola","Clothianidine","0.00406","340.50","1.38","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","Alma"
"Canola","Canola InVigor L255","Clothianidine","0.00406","45.00","0.18","ChaudiÃ¨re-Appalaches","Bellechasse","Saint-Gervais"
"Canola","Canola L345 ","ThiamÃ©thoxame","0.00403","68.00","0.27","ChaudiÃ¨re-Appalaches","Bellechasse","Saint-Anselme"
"Canola","Invigor Canola","Clothianidine","0.00406","317.80","1.29","Saguenay--Lac-Saint-Jean","Lac-Saint-Jean-Est","MÃ©tabetchouan--Lac-Ã -la-Croix"
"Canola","Invigor Canola","Clothianidine","0.00406","113.50","0.46","Saguenay--Lac-Saint-Jean","Ville-de-Saguenay","Saguenay"
