"Num̩ro
d'homologation du produit","
Nom commercial du produit","Nom de l'ingr̩dient actif","Concentration de l'ingr̩dient actif","Quantit̩ de 
produits vendus
(kg)","Quantit̩ d'ingr̩dients actifs contenus dans le produit vendu
(kg)","R̩gion administrative 
du domicile du client ","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","227.00","34.05","Lanaudi̬re","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","68.10","10.21","Lanaudi̬re","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","227.00","34.05","Lanaudi̬re","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","272.40","40.86","Lanaudi̬re","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","1315.44","197.32","Chaudi̬re-Appalaches","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","227.00","34.05","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","1089.60","163.44","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","181.44","27.22","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","454.00","68.10","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","68.10","10.21","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","226.80","34.02","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","249.48","37.42","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","430.92","64.64","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","272.40","40.86","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","22.70","3.40","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","23.60","3.54","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","680.40","102.06","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","90.72","13.61","Mont̩r̩gie","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","136.20","20.43","Lanaudi̬re","","","",""
"16458","Lorsban 15G Insecticide","Chlorpyrifos","0.15","181.60","27.24","Lanaudi̬re","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.30","9.74","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","100.00","48.00","Mauricie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","40.00","19.20","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","60.00","28.80","Mont̩r̩gie","","","",""
"18450","Aatrex Liquide 480","Atrazine","0.48","20.00","9.60","Mont̩r̩gie","","","",""
