code_region,nom_region,Code_CNP4,Titre_professionnel_de_la_CNP,niveau_de_competence,genre_de_competence,emploi_arrondi_2020,DIAGNOSTIC_2022,DIAGNOSTIC_2025
400,Ensemble du Qu̩bec,0011,Membres des corps l̩gislatifs,A-1 Gestion (Haut. Qualifi̩),Gestion,1500,Non publi̩,Non publi̩
400,Ensemble du Qu̩bec,0012,Cadres sup̩rieurs/cadres sup̩rieures - administration publique,A-1 Gestion (Haut. Qualifi̩),Gestion,4000,Non publi̩,Non publi̩
400,Ensemble du Qu̩bec,0013,"Cadres sup̩rieurs/cadres sup̩rieures - services financiers, communications et autres services aux entreprises",A-1 Gestion (Haut. Qualifi̩),Gestion,8000,Non publi̩,Non publi̩
400,Ensemble du Qu̩bec,0014,"Cadres sup̩rieurs/cadres sup̩rieures - sant̩, enseignement, services sociaux et communautaires et associations mutuelles",A-1 Gestion (Haut. Qualifi̩),Gestion,4000,Non publi̩,Non publi̩
400,Ensemble du Qu̩bec,0015,"Cadres sup̩rieurs/cadres sup̩rieures - commerce, radiot̩l̩diffusion et autres services, n.c.a.",A-1 Gestion (Haut. Qualifi̩),Gestion,17000,Non publi̩,Non publi̩
400,Ensemble du Qu̩bec,0016,"Cadres sup̩rieurs/cadres sup̩rieures - construction, transport, production et services d'utilit̩ publique",A-1 Gestion (Haut. Qualifi̩),Gestion,17000,Non publi̩,Non publi̩
400,Ensemble du Qu̩bec,0111,Directeurs financiers/directrices financi̬res,A-1 Gestion (Haut. Qualifi̩),Gestion,18000,L̩ger d̩ficit,L̩ger d̩ficit
400,Ensemble du Qu̩bec,0112,Directeurs/directrices des ressources humaines,A-1 Gestion (Haut. Qualifi̩),Gestion,12000,L̩ger d̩ficit,L̩ger d̩ficit
400,Ensemble du Qu̩bec,0113,Directeurs/directrices des achats,A-1 Gestion (Haut. Qualifi̩),Gestion,4500,L̩ger D̩ficit,L̩ger d̩ficit
400,Ensemble du Qu̩bec,0114,Directeurs/directrices d'autres services administratifs,A-1 Gestion (Haut. Qualifi̩),Gestion,9000,L̩ger d̩ficit,L̩ger d̩ficit
