ï»¿Produi_Desc_FR;Produit_Desc_EN;Date_Emission;Valeur_Nominale;Devise_Nominale;Montant_CAD;Taux_Coupon;Taux_Rendement_Investisseur;Date_Echeance;Encours_Cumulatif_CAD;Prefixe;ISIN;Type_Produits_Ref;Type_Produit_Desc_FR;Type_Produit_Desc_EN
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-12-02;600 000 000;CAD;571 600 000;3,250;3,836;2032-09-01;6 600 000 000;B131-11;CA74814ZFN83;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-12-05;500 000 000;CAD;546 700 000;4,400;3,895;2055-12-01;3 000 000 000;B133-06;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2022-12-16;500 000 000;CAD;561 300 000;4,400;3,749;2055-12-01;3 500 000 000;B133-07;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-01-20;500 000 000;CAD;559 900 000;4,400;3,762;2055-12-01;4 000 000 000;B133-08;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-01-26;600 000 000;CAD;583 200 000;3,250;3,598;2032-09-01;7 200 000 000;B131-12;CA74814ZFN83;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-02-09;600 000 000;CAD;575 850 000;3,250;3,755;2032-09-01;7 800 000 000;B131-13;CA74814ZFN83;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-02-13;500 000 000;CAD;544 500 000;4,400;3,916;2055-12-01;4 500 000 000;B133-09;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-02-27;600 000 000;CAD;561 000 000;3,250;4,083;2032-09-01;8 400 000 000;B131-14;CA74814ZFN83;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-03-13;500 000 000;CAD;537 300 000;4,400;3,989;2055-12-01;5 000 000 000;B133-10;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-03-27;600 000 000;CAD;602 100 000;3,600;3,560;2033-09-01;600 000 000;B135-01;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-03-29;600 000 000;CAD;596 300 000;3,600;3,672;2033-09-01;1 200 000 000;B135-02;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© australien;Medium Term Note - Australian Program;2022-04-06;60 000 000;AUD;56 300 000;3,650;3,700;2033-04-06;60 000 000;D010-01;AU3CB0288223;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© europÃ©en;Medium Term Note - European Program;2022-05-06;750 000 000;GBP;1 188 800 000;2,250;2,326;2026-09-15;750 000 000;E215-01;XS2476287979;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© europÃ©en;Medium Term Note - European Program;2023-01-24;2 250 000 000;EUR;3 240 800 000;3,000;3,110;2033-01-24;2 250 000 000;E216-01;XS2579050639;3;Emprunts publics;Public issues
Produits d'Ã©pargne;Saving Products;;;;1 294 000 000;Divers/Various;;Divers/Various;;;;;;
Programme des immigrants investisseurs;Immigrant Investor Program;;;;289 000 000;Divers/Various;;Divers/Various;;;;;;
