ï»¿Produi_Desc_FR;Produit_Desc_EN;Date_Emission;Valeur_Nominale;Devise_Nominale;Montant_CAD;Taux_Coupon;Taux_Rendement_Investisseur;Date_Echeance;Encours_Cumulatif_CAD;Prefixe;ISIN;Type_Produits_Ref;Type_Produit_Desc_FR;Type_Produit_Desc_EN
Obligations;Debentures;2023-04-13;3 500 000 000;USD;4 664 000 000;3,625;3,647;2028-04-13;3 500 000 000;RC-01;US748148SD69;3;Emprunts publics;Public issues
Obligations;Debentures;2023-09-08;1 500 000 000;USD;2 038 300 000;4,500;4,548;2033-09-08;1 500 000 000;RD-01;US748148SE43;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-04-05;600 000 000;CAD;596 300 000;3,600;3,671;2033-09-01;1 800 000 000;B135-03;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-04-17;500 000 000;CAD;536 400 000;4,400;3,998;2055-12-01;5 500 000 000;B133-11;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-04-25;600 000 000;CAD;592 800 000;3,600;3,740;2033-09-01;2 400 000 000;B135-04;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-04-28;600 000 000;CAD;599 800 000;3,600;3,603;2033-09-01;3 000 000 000;B135-05;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-05-16;500 000 000;CAD;545 000 000;4,400;3,909;2055-12-01;6 000 000 000;B133-12;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-05-19;600 000 000;CAD;587 700 000;3,600;3,842;2033-09-01;3 600 000 000;B135-06;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-05-30;600 000 000;CAD;577 000 000;3,600;4,061;2033-09-01;4 200 000 000;B135-07;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-06-05;500 000 000;CAD;535 100 000;4,400;4,012;2055-12-01;6 500 000 000;B133-13;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-06-15;600 000 000;CAD;591 000 000;3,900;4,094;2032-11-22;1 400 000 000;B134-02;CA74814ZFR97;5;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-06-15;600 000 000;CAD;574 300 000;3,600;4,118;2033-09-01;4 800 000 000;B135-08;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-06-22;500 000 000;CAD;529 300 000;4,400;4,073;2055-12-01;7 000 000 000;B133-14;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-07-05;600 000 000;CAD;576 300 000;3,600;4,078;2033-09-01;5 400 000 000;B135-09;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-07-21;600 000 000;CAD;577 500 000;3,600;4,056;2033-09-01;6 000 000 000;B135-10;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-08-11;600 000 000;CAD;570 800 000;3,600;4,198;2033-09-01;6 600 000 000;B135-11;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-08-28;500 000 000;CAD;499 720 000;4,400;4,403;2055-12-01;7 500 000 000;B133-15;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-09-26;600 000 000;CAD;548 600 000;3,600;4,689;2033-09-01;7 200 000 000;B135-12;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-10-06;500 000 000;CAD;462 300 000;4,400;4,866;2055-12-01;8 000 000 000;B133-16;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-10-16;600 000 000;CAD;548 400 000;3,600;4,697;2033-09-01;7 800 000 000;B135-13;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-10-20;500 000 000;CAD;475 300 000;4,400;4,699;2055-12-01;8 500 000 000;B133-17;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-10-26;500 000 000;CAD;471 500 000;4,400;4,748;2055-12-01;9 000 000 000;B133-18;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-11-14;600 000 000;CAD;557 300 000;3,600;4,506;2033-09-01;8 400 000 000;B135-14;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-11-23;500 000 000;CAD;503 400 000;4,400;4,360;2055-12-01;9 500 000 000;B133-19;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2023-12-04;600 000 000;CAD;569 100 000;3,600;4,250;2033-09-01;9 000 000 000;B135-15;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2024-03-15;600 000 000;CAD;576 400 000;3,600;4,105;2033-09-01;9 600 000 000;B135-16;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2024-03-18;600 000 000;CAD;571 500 000;3,600;4,215;2033-09-01;10 200 000 000;B135-17;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2024-03-21;750 000 000;CAD;757 700 000;4,400;4,340;2055-12-01;10 250 000 000;B133-20;CA74814ZFQ15;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© canadien;Medium Term Note - Canadian Program;2024-03-25;750 000 000;CAD;715 300 000;3,600;4,199;2033-09-01;10 950 000 000;B135-18;CA74814ZFS70;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© europÃ©en;Medium Term Note - European Program;2023-05-09;390 000 000;CHF;586 200 000;2,040;2,040;2033-05-09;390 000 000;E217-01;CH1264823431;3;Emprunts publics;Public issues
Billets Ã  moyen terme - marchÃ© europÃ©en;Medium Term Note - European Program;2024-03-27;2 250 000 000;EUR;3 300 600 000;3,125;3,144;2034-03-27;2 250 000 000;E218-01;XS2792222379;3;Emprunts publics;Public issues
Produits d'Ã©pargne;Saving Products;;;;1 534 100 000;Divers/Various;;Divers/Various;;;;;;
Programme des immigrants investisseurs;Immigrant Investor Program;;;;191 100 000;Divers/Various;;Divers/Various;;;;;;
