ï»¿Produi_Desc_FR,Produit_Desc_EN,Date_Emission,Valeur_Nominale,Devise_Nominale,Montant_CAD,Taux_Coupon,Taux_Rendement_Investisseur,Date_Echeance,Encours_Cumulatif_CAD,Prefixe,ISIN,Type_Produits_Ref,Type_Produit_Desc_FR,Type_Produit_Desc_EN
"Obligations","Debentures",2020-05-28,1 500 000 000,"USD",2 063 100 000,1.35,1.358,2030-05-28,1 500 000 000,"QZ-01","US748148SB04",3,"Emprunts publics","Public issues"
"Obligations","Debentures",2020-07-23,3 250 000 000,"USD",4 350 500 000,0.6,0.609,2025-07-23,3 250 000 000,"RA-01",US748148SC86,3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-04-01,600 000 000,"CAD",600 600 000,1.9,1.889,2030-09-01,600 000 000,"B127-01","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-04-03,600 000 000,"CAD",603 300 000,1.9,1.841,2030-09-01,1 200 000 000,"B127-02","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-04-08,500 000 000,"CAD",572 100 000,3.1,2.443,2051-12-01,5 500 000 000,"B125-11","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-04-13,600 000 000,"CAD",637 400 000,2.75,1.539,2025-09-01,6 600 000 000,"B116-13","CA74814ZEV19",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-04-16,600 000 000,"CAD",609 200 000,1.9,1.737,2030-09-01,1 800 000 000,"B127-03","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-04-23,500 000 000,"CAD",602 200 000,3.1,2.199,2051-12-01,6 000 000 000,"B125-12","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-04-29,600 000 000,"CAD",625 200 000,1.9,1.46,2030-09-01,2 400 000 000,"B127-04","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-05-11,600 000 000,"CAD",626 200 000,1.9,1.443,2030-09-01,3 000 000 000,"B127-05","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-05-25,500 000 000,"CAD",617 200 000,3.1,2.082,2051-12-01,6 500 000 000,"B125-13","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-06-03,500 000 000,"CAD",613 200 000,3.1,2.112,2051-12-01,7 000 000 000,"B125-14","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-06-08,600 000 000,"CAD",653 800 000,2.75,0.988,2025-09-01,7 200 000 000,"B116-14","CA74814ZEV19",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-06-11,600 000 000,"CAD",626 700 000,1.9,1.431,2030-09-01,3 600 000 000,"B127-06","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-06-18,500 000 000,"CAD",629 400 000,3.1,1.989,2051-12-01,7 500 000 000,"B125-15","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-06-26,600 000 000,"CAD",631 600 000,1.9,1.344,2030-09-01,4 200 000 000,"B127-07","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-06-30,500 000 000,"CAD",634 900 000,3.1,1.948,2051-12-01,8 000 000 000,"B125-16","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-07-09,500 000 000,"CAD",646 500 000,3.1,1.863,2051-12-01,8 500 000 000,"B125-17","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-07-20,600 000 000,"CAD",639 000 000,1.9,1.216,2030-09-01,4 800 000 000,"B127-08","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-07-24,500 000 000,"CAD",654 900 000,3.1,1.802,2051-12-01,9 000 000 000,"B125-18","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-08-07,600 000 000,"CAD",640 800 000,1.9,1.181,2030-09-01,5 400 000 000,"B127-09","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-08-21,600 000 000,"CAD",636 700 000,1.9,1.249,2030-09-01,6 000 000 000,"B127-10","CA74814ZFG33",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-09-01,500 000 000,"CAD",625 600 000,3.1,2.013,2051-12-01,9 500 000 000,"B125-19","CA74814ZFE84",3,"Emprunts publics","Public issues"
"Billets Ã  moyen terme - marchÃ© canadien","Medium Term Note - Canadian Program",2020-09-09,600 000 000,"CAD",635 800 000,1.9,1.261,2030-09-01,6 600 000 000,"B127-11","CA74814ZFG33",3,"Emprunts publics","Public issues"
