ï»¿ID,TYPE,OBJECTID,SHAPE__Area,SHAPE__Length
1817,Zone prioritaire de dÃ©veloppement,131,250289.63671875,2675.8497060009
1818,Zone d'expansion urbaine,132,37629.859375,1231.71414201464
1819,Zone d'expansion urbaine,133,33474.37890625,902.347636113672
1820,Zone d'expansion urbaine,134,0,2.47873195046147
1821,Zone d'expansion urbaine,135,106842.15625,1958.98986172075
1822,Zone prioritaire de dÃ©veloppement,136,49744.46875,1160.11875503655
1823,Zone d'expansion urbaine,137,55581.921875,1536.94635481779
1824,Zone prioritaire de dÃ©veloppement,138,1143.86328125,140.123208700355
1825,Zone d'expansion urbaine,139,73033.27734375,1195.52272151245
1826,Zone prioritaire de dÃ©veloppement,140,57680.109375,2065.63722233216
1827,Zone d'expansion urbaine,141,5911.0625,332.592156684127
1828,Zone prioritaire de dÃ©veloppement,142,5215.2578125,322.329405944185
1829,Zone d'expansion urbaine,143,1471.7890625,164.940333205986
1830,Zone prioritaire de dÃ©veloppement,144,59956.0859375,1298.67226561357
1831,Zone prioritaire de dÃ©veloppement,145,79512.46484375,1326.01184420595
1832,Zone d'expansion urbaine,146,5099.93359375,381.03570609557
1833,Zone prioritaire de dÃ©veloppement,147,22500.7421875,768.319928483131
1834,Zone prioritaire de dÃ©veloppement,148,19397.62109375,607.591070181473
1835,Zone d'expansion urbaine Ã  long terme,149,16463.8671875,705.179877219205
1836,Zone prioritaire de dÃ©veloppement,150,106332.6328125,2015.67634040546
1837,Zone d'expansion urbaine,151,138323.828125,2544.78228659739
1838,Zone d'expansion urbaine,152,1328.00390625,155.767975257212
1839,Zone prioritaire de dÃ©veloppement,153,5030.41796875,401.508637321769
1840,Zone d'expansion urbaine,154,39447.31640625,1351.7227231273
1841,Zone d'expansion urbaine Ã  long terme,155,65103.046875,1101.95518241094
1842,Zone d'expansion urbaine,156,77109.859375,1129.7101608455
1843,Zone prioritaire de dÃ©veloppement,157,66668.0234375,1446.26729976533
1844,Zone d'expansion urbaine,158,83195.31640625,2139.89971707589
1845,Zone prioritaire de dÃ©veloppement,159,1371.06640625,265.517366975952
1846,Zone d'expansion urbaine,160,30089.31640625,1119.88561921606
1847,Zone d'expansion urbaine,161,58348.796875,997.842113825212
1848,Zone prioritaire de dÃ©veloppement,162,17568.19140625,820.679470414261
1849,Zone d'expansion urbaine,163,180158.01171875,1826.52740299806
1850,Zone prioritaire de dÃ©veloppement,164,11748.81640625,436.597021472618
1851,Zone d'expansion urbaine,165,8820.58984375,535.970226351883
1852,Zone d'expansion urbaine,166,4726.1015625,329.390743078983
1853,Zone prioritaire de dÃ©veloppement,167,182628.58203125,5457.53813250844
1854,Zone d'expansion urbaine,168,591.76171875,207.544655064624
1855,Zone d'expansion urbaine,169,12686.58984375,1365.77623909966
1856,Zone d'expansion urbaine,170,190.31640625,82.1557588596957
1857,Zone prioritaire de dÃ©veloppement,171,5831.5546875,467.271744609251
1858,Zone d'expansion urbaine,172,184979.06640625,1896.05406720764
1859,Zone d'expansion urbaine,173,37480.5625,1052.66885261777
1860,Zone d'expansion urbaine,174,353242.328125,2498.95851507063
