IdentifiantDepot,NomDepot,TypeDepot,Capacite,Latitude,Longitude,VolumeDeverse,IdentifiantArrondissement,ArrondissementCode,Arrondissement
27,"Millen (AHU)","Chute_Egout",0.00,45.557280,-73.667768,217948.24,22,"AHU","Ahuntsic / Cartierville"
34,"Lafarge (sud) (MHM)","Entassement",1100000.00,45.617708,-73.523766,593863.14,21,"MHM","Mercier / Hochelaga / Maisonneuve"
45,"Armand-Chaput (RDP)","Entassement",1400000.00,45.660361,-73.527110,976127.26,17,"RDP","R.D.P. /  P.A.T."
30,"Jules-Poitras 1 (AHU)","Chute_Egout",0.00,45.529812,-73.692688,254237.14,22,"AHU","Ahuntsic / Cartierville"
47,"Château Pierrefonds (PRF)","Entassement",200000.00,45.460858,-73.899178,162317.35,11,"PRF","Pierrefonds / Roxboro"
49,"Thimens (SLA)","Entassement",478210.00,45.495180,-73.721363,453178.34,13,"SLA","Saint-Laurent"
39,"Newman (S-O)","Entassement",375000.00,45.456310,-73.608968,324794.43,19,"S-O","Sud-Ouest"
57,"Langelier (SLE)","Entassement",700000.00,45.607497,-73.607308,646981.73,12,"SLE","Saint-Léonard"
58,"St-Michel - Charland (VSP)","Carierre",1260000.00,45.578529,-73.633005,554168.44,24,"VSP","Villeray / St-Michel / Parc-Extension"
28,"Sauvé (AHU)","Chute_Egout",0.00,45.540365,-73.664776,45827.23,22,"AHU","Ahuntsic / Cartierville"
51,"Jules-Poitras 2 (SLA)","Chute_Egout",0.00,45.529281,-73.686676,20939.27,13,"SLA","Saint-Laurent"
60,"Riverside (VMA)","Chute_Egout",0.00,45.490900,-73.552162,154580.01,18,"VMA","Ville-Marie"
35,"De la Salle (MHM)","Chute_Egout",0.00,45.549463,-73.531399,285988.02,21,"MHM","Mercier / Hochelaga / Maisonneuve"
37,"Fullum (VMA)","Chute_Egout",0.00,45.524818,-73.545051,324200.71,18,"VMA","Ville-Marie"
42,"Butler (S-O)","Chute_Egout",0.00,45.474879,-73.569028,205922.70,19,"S-O","Sud-Ouest"
44,"Verdun (VER)","Chute_Egout",0.00,45.471204,-73.559850,180192.49,10,"VER","Verdun"
55,"Saint-Pierre (LAC)","Chute_Egout",0.00,45.467577,-73.598836,99508.71,15,"LAC","Lachine"
56,"Lausanne (MTN)","Chute_Egout",0.00,45.587811,-73.648882,67738.04,14,"MTN","Montréal-Nord"
31,"St-Michel - Robert (VSP)","Carierre",3780000.00,45.573425,-73.612205,1783961.39,24,"VSP","Villeray / St-Michel / Parc-Extension"
46,"Ray-Lawson (ANJ)","Entassement",2450000.00,45.622152,-73.578990,1132512.42,9,"ANJ","Anjou"
50,"Sartelon (SLA)","Entassement",345000.00,45.512461,-73.737365,289108.41,13,"SLA","Saint-Laurent"
63,"St-Michel-17ième(Sous-Sol)","Carierre",2000000.00,45.576419,-73.625385,5.00,24,"VSP","Villeray / St-Michel / Parc-Extension"
36,"Iberville (PMR)","Chute_Egout",0.00,45.533362,-73.554816,24157.30,20,"PMR","Plateau Mont-Royal"
43,"Angrignon (LAS)","Entassement",1500000.00,45.452893,-73.615930,1288863.85,16,"LAS","LaSalle"
54,"46 ieme (LAC)","Entassement",250000.00,45.449769,-73.710405,200454.14,15,"LAC","Lachine"
