IdentifiantDepot,NomDepot,TypeDepot,Capacite,Latitude,Longitude,VolumeDeverse,IdentifiantArrondissement,ArrondissementCode,Arrondissement
27,"Millen (AHU)","Chute_Egout",0.00,45.557450,-73.667600,162108.95,22,"AHU","Ahuntsic-Cartierville"
28,"Sauvé (AHU)","Chute_Egout",0.00,45.540330,-73.664890,28006.11,22,"AHU","Ahuntsic-Cartierville"
30,"Jules-Poitras 1 (AHU)","Chute_Egout",0.00,45.529290,-73.686700,175153.60,22,"AHU","Ahuntsic-Cartierville"
31,"St-Michel - Robert (VSP)","Carierre",3780000.00,45.573425,-73.612205,1333492.53,24,"VSP","Villeray–Saint-Michel–Parc-Extension"
34,"Lafarge (sud) (MHM)","Entassement",1100000.00,45.617708,-73.523766,382438.65,21,"MHM","Mercier–Hochelaga-Maisonneuve"
35,"De la Salle (MHM)","Chute_Egout",0.00,45.549350,-73.531620,220261.42,21,"MHM","Mercier–Hochelaga-Maisonneuve"
36,"Iberville (PMR)","Chute_Egout",0.00,45.533140,-73.554640,7767.51,20,"PMR","Le Plateau-Mont-Royal"
37,"Fullum (VMA)","Chute_Egout",0.00,45.524818,-73.545051,267135.73,18,"VMA","Ville-Marie"
39,"Newman (S-O)","Entassement",375000.00,45.456310,-73.608968,140586.00,19,"S-O","Le Sud-Ouest"
41,"Turcot (CDN)","Chute_Egout",0.00,45.466760,-73.598530,23338.74,25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce"
42,"Butler (S-O)","Chute_Egout",0.00,45.474960,-73.568770,111404.33,19,"S-O","Le Sud-Ouest"
43,"Angrignon (LAS)","Entassement",1500000.00,45.452893,-73.615930,707900.55,16,"LAS","LaSalle"
44,"Verdun (VER)","Chute_Egout",0.00,45.471420,-73.559910,78510.99,10,"VER","Verdun"
45,"Armand-Chaput (RDP)","Entassement",1400000.00,45.660830,-73.527630,687811.13,17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles"
46,"Ray-Lawson (ANJ)","Entassement",2450000.00,45.622152,-73.578990,753048.70,9,"ANJ","Anjou"
47,"Château Pierrefonds (PRF)","Entassement",200000.00,45.460858,-73.899178,145648.79,11,"PRF","Pierrefonds-Roxboro"
49,"Thimens (SLA)","Entassement",478210.00,45.495180,-73.721363,249208.68,13,"SLA","Saint-Laurent"
50,"Sartelon (SLA)","Entassement",345000.00,45.512461,-73.737365,170483.45,13,"SLA","Saint-Laurent"
54,"46 ieme (LAC)","Entassement",250000.00,45.449850,-73.710480,64844.89,15,"LAC","Lachine"
55,"Saint-Pierre (LAC)","Chute_Egout",0.00,45.440490,-73.653050,48547.31,15,"LAC","Lachine"
56,"Lausanne (MTN)","Chute_Egout",0.00,45.588030,-73.648760,33419.68,14,"MTN","Montréal-Nord"
57,"Langelier (SLE)","Entassement",700000.00,45.607190,-73.608360,445660.24,12,"SLE","Saint-Léonard"
58,"St-Michel - Charland (VSP)","Carierre",1260000.00,45.578529,-73.633005,404606.70,24,"VSP","Villeray–Saint-Michel–Parc-Extension"
60,"Riverside (VMA)","Chute_Egout",0.00,45.490630,-73.550560,32050.44,18,"VMA","Ville-Marie"
