IdentifiantDepot,NomDepot,TypeDepot,Capacite,Latitude,Longitude,VolumeDeverse,IdentifiantArrondissement,ArrondissementCode,Arrondissement,MTM8_X,MTM8_Y
55,"Saint-Pierre (LAC)","Chute_Egout",0,45.467577,-73.598836,168702.09,15,"LAC","Lachine",297071.5,5036410.2
56,"Lausanne (MTN)","Chute_Egout",0,45.587811,-73.648882,62295.03,14,"MTN","Montréal-Nord",293182.9,5049778
30,"Jules-Poitras 1 (AHU)","Chute_Egout",0,45.529812,-73.692688,337523.87,22,"AHU","Ahuntsic / Cartierville",289749.3,5043339.7
47,"Château Pierrefonds (PRF)","Entassement",200000,45.460858,-73.899178,229395.56,11,"PRF","Pierrefonds / Roxboro",273582.5,5035736.3
49,"Thimens (SLA)","Entassement",478210,45.49518,-73.721363,634490.55,13,"SLA","Saint-Laurent",287499,5039496.8
28,"Sauvé (AHU)","Chute_Egout",0,45.540365,-73.664776,139456.57,22,"AHU","Ahuntsic / Cartierville",291931.9,5044507.7
51,"Jules-Poitras 2 (SLA)","Chute_Egout",0,45.529281,-73.686676,85942.39,13,"SLA","Saint-Laurent",290218.8,5043279.6
60,"Riverside (VMA)","Chute_Egout",0,45.4909,-73.552162,143269.02,18,"VMA","Ville-Marie",300722.9,5038998.7
39,"Newman (S-O)","Entassement",375000,45.45631,-73.608968,417366.96,19,"S-O","Sud-Ouest",296277.5,5035159.2
57,"Langelier (SLE)","Entassement",700000,45.607497,-73.607308,952323.16,12,"SLE","Saint-Léonard",296429.8,5051960.6
58,"St-Michel - Charland (VSP)","Carierre",1260000,45.578529,-73.633005,773163.71,24,"VSP","Villeray / St-Michel / Parc-Extension",294420.1,5048744.3
31,"St-Michel - Robert (VSP)","Carierre",3780000,45.573425,-73.612205,2674472.3,24,"VSP","Villeray / St-Michel / Parc-Extension",296042.6,5048174.6
46,"Ray-Lawson (ANJ)","Entassement",2450000,45.622152,-73.57899,1561276.13,9,"ANJ","Anjou",298640.3,5053586.6
50,"Sartelon (SLA)","Entassement",345000,45.512461,-73.737365,328628.66,13,"SLA","Saint-Laurent",286254,5041420.9
63,"St-Michel-17ième(Sous-Sol)","Carierre",2000000,45.576419,-73.625385,27823.7,24,"VSP","Villeray / St-Michel / Parc-Extension",295014.4,5048508.8
29,"Poincaré (AHU)","Chute_Egout",0,45.541486,-73.680235,-1,22,"AHU","Ahuntsic / Cartierville",290724.9,5044634.8
36,"Iberville (PMR)","Chute_Egout",0,45.533362,-73.554816,23029.91,20,"PMR","Plateau Mont-Royal",300518.6,5043717.7
43,"Angrignon (LAS)","Entassement",1500000,45.452893,-73.61593,1654980.89,16,"LAS","LaSalle",295732.5,5034780.2
54,"46 ieme (LAC)","Entassement",250000,45.449769,-73.710405,235809,15,"LAC","Lachine",288342.2,5034448
27,"Millen (AHU)","Chute_Egout",0,45.55728,-73.667768,269811.32,22,"AHU","Ahuntsic / Cartierville",291702.2,5046387.9
34,"Lafarge (sud) (MHM)","Entassement",1100000,45.617708,-73.523766,820051.11,21,"MHM","Mercier / Hochelaga / Maisonneuve",302946.6,5053090
45,"Armand-Chaput (RDP)","Entassement",1400000,45.660361,-73.52711,1233857.54,17,"RDP","R.D.P. /  P.A.T.",302687.4,5057830.3
52,"Stinson (SLA)","Chute_Egout",0,45.520833,-73.660417,137617.68,13,"SLA","Saint-Laurent",292268,5042336.4
35,"De la Salle (MHM)","Chute_Egout",0,45.549463,-73.531399,396816.98,21,"MHM","Mercier / Hochelaga / Maisonneuve",302348.3,5045506
37,"Fullum (VMA)","Chute_Egout",0,45.524818,-73.545051,550958.34,18,"VMA","Ville-Marie",301280.8,5042767.7
42,"Butler (S-O)","Chute_Egout",0,45.474879,-73.569028,269251.41,19,"S-O","Sud-Ouest",299403,5037219.3
44,"Verdun (VER)","Chute_Egout",0,45.471204,-73.55985,171194.06,10,"VER","Verdun",300120.3,5036810.3
