IdentifiantDepot,NomDepot,TypeDepot,Capacite,Latitude,Longitude,VolumeDeverse,IdentifiantArrondissement,ArrondissementCode,Arrondissement,MTM8_X,MTM8_Y
63,"St-Michel-17ième(Sous-Sol)","Carierre",2000000,45.576419,-73.625385,1,24,"VSP","Villeray / St-Michel / Parc-Extension",295014.4,5048508.8
47,"Château Pierrefonds (PRF)","Entassement",200000,45.460858,-73.899178,226048.87,11,"PRF","Pierrefonds / Roxboro",273582.5,5035736.3
37,"Fullum (VMA)","Chute_Egout",0,45.524818,-73.545051,503729.08,18,"VMA","Ville-Marie",301280.8,5042767.7
55,"Saint-Pierre (LAC)","Chute_Egout",0,45.467577,-73.598836,149806.87,15,"LAC","Lachine",297071.5,5036410.2
58,"St-Michel - Charland (VSP)","Carierre",1260000,45.578529,-73.633005,716037.05,24,"VSP","Villeray / St-Michel / Parc-Extension",294420.1,5048744.3
45,"Armand-Chaput (RDP)","Entassement",1400000,45.660361,-73.52711,1039400.33,17,"RDP","R.D.P. /  P.A.T.",302687.4,5057830.3
51,"Jules-Poitras 2 (SLA)","Chute_Egout",0,45.529281,-73.686676,65786.79,13,"SLA","Saint-Laurent",290218.8,5043279.6
28,"Sauvé (AHU)","Chute_Egout",0,45.540365,-73.664776,84659.7,22,"AHU","Ahuntsic / Cartierville",291931.9,5044507.7
43,"Angrignon (LAS)","Entassement",1500000,45.452893,-73.61593,1684904.09,16,"LAS","LaSalle",295732.5,5034780.2
31,"St-Michel - Robert (VSP)","Carierre",3780000,45.573425,-73.612205,2341996.51,24,"VSP","Villeray / St-Michel / Parc-Extension",296042.6,5048174.6
49,"Thimens (SLA)","Entassement",478210,45.49518,-73.721363,605842.49,13,"SLA","Saint-Laurent",287499,5039496.8
60,"Riverside (VMA)","Chute_Egout",0,45.4909,-73.552162,139330.44,18,"VMA","Ville-Marie",300722.9,5038998.7
30,"Jules-Poitras 1 (AHU)","Chute_Egout",0,45.529812,-73.692688,276896.87,22,"AHU","Ahuntsic / Cartierville",289749.3,5043339.7
46,"Ray-Lawson (ANJ)","Entassement",2450000,45.622152,-73.57899,1391370.77,9,"ANJ","Anjou",298640.3,5053586.6
57,"Langelier (SLE)","Entassement",700000,45.607497,-73.607308,844211.8,12,"SLE","Saint-Léonard",296429.8,5051960.6
39,"Newman (S-O)","Entassement",375000,45.45631,-73.608968,397232.28,19,"S-O","Sud-Ouest",296277.5,5035159.2
50,"Sartelon (SLA)","Entassement",345000,45.512461,-73.737365,359700.12,13,"SLA","Saint-Laurent",286254,5041420.9
56,"Lausanne (MTN)","Chute_Egout",0,45.587811,-73.648882,65795.98,14,"MTN","Montréal-Nord",293182.9,5049778
34,"Lafarge (sud) (MHM)","Entassement",1100000,45.617708,-73.523766,665307.12,21,"MHM","Mercier / Hochelaga / Maisonneuve",302946.6,5053090
35,"De la Salle (MHM)","Chute_Egout",0,45.549463,-73.531399,294942.54,21,"MHM","Mercier / Hochelaga / Maisonneuve",302348.3,5045506
36,"Iberville (PMR)","Chute_Egout",0,45.533362,-73.554816,27647.64,20,"PMR","Plateau Mont-Royal",300518.6,5043717.7
44,"Verdun (VER)","Chute_Egout",0,45.471204,-73.55985,187885.23,10,"VER","Verdun",300120.3,5036810.3
54,"46 ieme (LAC)","Entassement",250000,45.449769,-73.710405,218183.83,15,"LAC","Lachine",288342.2,5034448
27,"Millen (AHU)","Chute_Egout",0,45.55728,-73.667768,225132.03,22,"AHU","Ahuntsic / Cartierville",291702.2,5046387.9
42,"Butler (S-O)","Chute_Egout",0,45.474879,-73.569028,211660.06,19,"S-O","Sud-Ouest",299403,5037219.3
